watersystem_code,unit_basin_code,watersystem_name,source_files,source_paths,source_layers,source_input_feature_n,source_file_count,basin_id,basin_unit_id,source_vector_area_m2
830303,393,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1111,1,48,B_830303_393,11608833.563289568
830303,423,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,27,1,49,B_830303_423,243214.80541373327
830303,424,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,29,1,50,B_830303_424,283544.5654312892
830303,425,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,291,1,51,B_830303_425,3043743.035069105
830303,426,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,304,1,52,B_830303_426,3178705.1999385934
830303,427,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,553,1,53,B_830303_427,5780712.014739217
830303,430,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,92,1,54,B_830303_430,822060.4173844997
830303,432,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1721,1,55,B_830303_432,17983202.624791764
830303,468,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,78,1,56,B_830303_468,769291.7453107706
830303,469,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,95,1,57,B_830303_469,993833.3835139198
830303,470,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,234,1,58,B_830303_470,2448245.128377834
830303,471,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,95,1,59,B_830303_471,993770.8479253992
830303,472,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,13,1,60,B_830303_472,135966.69191448204
830303,473,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,33,1,61,B_830303_473,345175.5564761127
830303,474,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,219,1,62,B_830303_474,2289892.6322821043
830303,475,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,138,1,63,B_830303_475,1301826.7324757883
830303,476,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,21,1,64,B_830303_476,131504.709463065
830303,478,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,324,1,65,B_830303_478,3224752.8616323844
830303,513,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,97,1,66,B_830303_513,897152.7121148411
