landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m
48007,48,7,830303,,393,B_830303_393,自然堤防,LF_CLASS::自然堤防,B_830303_393_LF_CLASS::自然堤防,31226,3122600.0,3.1226,116072,11607200.0,114075,11407500.0,0.9827951616238197,0.2737321937321937,0.26902267558067405,10.0
48009,48,9,830303,,393,B_830303_393,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_393_LF_CLASS::砂州・砂丘,1748,174800.0,0.1748,116072,11607200.0,114075,11407500.0,0.9827951616238197,0.01532325224632917,0.015059618168033634,10.0
48011,48,11,830303,,393,B_830303_393,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_393_LF_CLASS::氾濫平野・海岸平野,72262,7226200.0,7.2262,116072,11607200.0,114075,11407500.0,0.9827951616238197,0.6334604426912119,0.622561858157006,10.0
48013,48,13,830303,,393,B_830303_393,旧河道,LF_CLASS::旧河道,B_830303_393_LF_CLASS::旧河道,904,90400.0,0.0904,116072,11607200.0,114075,11407500.0,0.9827951616238197,0.007924611001534078,0.007788269350058584,10.0
48016,48,16,830303,,393,B_830303_393,水部,LF_CLASS::水部,B_830303_393_LF_CLASS::水部,7773,777300.0,0.7773,116072,11607200.0,114075,11407500.0,0.9827951616238197,0.06813938198553583,0.06696705493142188,10.0
48017,48,17,830303,,393,B_830303_393,旧水部,LF_CLASS::旧水部,B_830303_393_LF_CLASS::旧水部,162,16200.0,0.0162,116072,11607200.0,114075,11407500.0,0.9827951616238197,0.0014201183431952662,0.0013956854366255428,10.0
49009,49,9,830303,,423,B_830303_423,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_423_LF_CLASS::砂州・砂丘,123,12300.0,0.0123,2444,244400.0,2444,244400.0,1.0,0.05032733224222586,0.05032733224222586,10.0
49011,49,11,830303,,423,B_830303_423,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_423_LF_CLASS::氾濫平野・海岸平野,1393,139300.0,0.1393,2444,244400.0,2444,244400.0,1.0,0.5699672667757774,0.5699672667757774,10.0
49016,49,16,830303,,423,B_830303_423,水部,LF_CLASS::水部,B_830303_423_LF_CLASS::水部,928,92800.0,0.0928,2444,244400.0,2444,244400.0,1.0,0.37970540098199673,0.37970540098199673,10.0
50009,50,9,830303,,424,B_830303_424,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_424_LF_CLASS::砂州・砂丘,680,68000.0,0.068,2834,283400.0,2834,283400.0,1.0,0.2399435426958363,0.2399435426958363,10.0
50011,50,11,830303,,424,B_830303_424,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_424_LF_CLASS::氾濫平野・海岸平野,1829,182900.0,0.1829,2834,283400.0,2834,283400.0,1.0,0.6453775582215949,0.6453775582215949,10.0
50016,50,16,830303,,424,B_830303_424,水部,LF_CLASS::水部,B_830303_424_LF_CLASS::水部,325,32500.0,0.0325,2834,283400.0,2834,283400.0,1.0,0.11467889908256881,0.11467889908256881,10.0
51007,51,7,830303,,425,B_830303_425,自然堤防,LF_CLASS::自然堤防,B_830303_425_LF_CLASS::自然堤防,4790,479000.0,0.479,30458,3045800.0,30401,3040100.0,0.9981285704905115,0.15756060655899476,0.15726574299034737,10.0
51011,51,11,830303,,425,B_830303_425,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_425_LF_CLASS::氾濫平野・海岸平野,25215,2521500.0,2.5215,30458,3045800.0,30401,3040100.0,0.9981285704905115,0.8294135061346666,0.8278613172237179,10.0
51016,51,16,830303,,425,B_830303_425,水部,LF_CLASS::水部,B_830303_425_LF_CLASS::水部,396,39600.0,0.0396,30458,3045800.0,30401,3040100.0,0.9981285704905115,0.013025887306338607,0.013001510276446254,10.0
52007,52,7,830303,,426,B_830303_426,自然堤防,LF_CLASS::自然堤防,B_830303_426_LF_CLASS::自然堤防,6648,664800.0,0.6648,31769,3176900.0,31740,3174000.0,0.999087160439422,0.20945179584120982,0.20926059995593188,10.0
52011,52,11,830303,,426,B_830303_426,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_426_LF_CLASS::氾濫平野・海岸平野,24980,2498000.0,2.498,31769,3176900.0,31740,3174000.0,0.999087160439422,0.7870195337114052,0.7863011111460858,10.0
52016,52,16,830303,,426,B_830303_426,水部,LF_CLASS::水部,B_830303_426_LF_CLASS::水部,112,11200.0,0.0112,31769,3176900.0,31740,3174000.0,0.999087160439422,0.003528670447385003,0.003525449337404388,10.0
53007,53,7,830303,,427,B_830303_427,自然堤防,LF_CLASS::自然堤防,B_830303_427_LF_CLASS::自然堤防,15973,1597300.0,1.5973,57731,5773100.0,57645,5764500.0,0.9985103324037345,0.27709254922369675,0.27667977343195166,10.0
53011,53,11,830303,,427,B_830303_427,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_427_LF_CLASS::氾濫平野・海岸平野,33868,3386800.0,3.3868,57731,5773100.0,57645,5764500.0,0.9985103324037345,0.5875271055598924,0.5866518854688122,10.0
53013,53,13,830303,,427,B_830303_427,旧河道,LF_CLASS::旧河道,B_830303_427_LF_CLASS::旧河道,1367,136700.0,0.1367,57731,5773100.0,57645,5764500.0,0.9985103324037345,0.023714112238702404,0.023678786094126207,10.0
53016,53,16,830303,,427,B_830303_427,水部,LF_CLASS::水部,B_830303_427_LF_CLASS::水部,6437,643700.0,0.6437,57731,5773100.0,57645,5764500.0,0.9985103324037345,0.11166623297770839,0.11149988740884446,10.0
54007,54,7,830303,,430,B_830303_430,自然堤防,LF_CLASS::自然堤防,B_830303_430_LF_CLASS::自然堤防,3417,341700.0,0.3417,8214,821400.0,8207,820700.0,0.9991477964450938,0.41635189472401607,0.4159970781592403,10.0
54011,54,11,830303,,430,B_830303_430,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_430_LF_CLASS::氾濫平野・海岸平野,4208,420800.0,0.4208,8214,821400.0,8207,820700.0,0.9991477964450938,0.5127330327768977,0.5122960798636474,10.0
54013,54,13,830303,,430,B_830303_430,旧河道,LF_CLASS::旧河道,B_830303_430_LF_CLASS::旧河道,13,1300.0,0.0013,8214,821400.0,8207,820700.0,0.9991477964450938,0.0015840136468868039,0.001582663744825907,10.0
54016,54,16,830303,,430,B_830303_430,水部,LF_CLASS::水部,B_830303_430_LF_CLASS::水部,569,56900.0,0.0569,8214,821400.0,8207,820700.0,0.9991477964450938,0.06933105885219934,0.06927197467738008,10.0
55007,55,7,830303,,432,B_830303_432,自然堤防,LF_CLASS::自然堤防,B_830303_432_LF_CLASS::自然堤防,31045,3104500.0,3.1045,179872,17987200.0,179691,17969100.0,0.9989937288738658,0.17276880867711794,0.17259495641344957,10.0
55011,55,11,830303,,432,B_830303_432,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_432_LF_CLASS::氾濫平野・海岸平野,138429,13842900.0,13.8429,179872,17987200.0,179691,17969100.0,0.9989937288738658,0.7703724727448787,0.769597269169187,10.0
55013,55,13,830303,,432,B_830303_432,旧河道,LF_CLASS::旧河道,B_830303_432_LF_CLASS::旧河道,5071,507100.0,0.5071,179872,17987200.0,179691,17969100.0,0.9989937288738658,0.02822066770177694,0.028192270058708415,10.0
55016,55,16,830303,,432,B_830303_432,水部,LF_CLASS::水部,B_830303_432_LF_CLASS::水部,5095,509500.0,0.5095,179872,17987200.0,179691,17969100.0,0.9989937288738658,0.02835423031760077,0.02832569827432841,10.0
55017,55,17,830303,,432,B_830303_432,旧水部,LF_CLASS::旧水部,B_830303_432_LF_CLASS::旧水部,51,5100.0,0.0051,179872,17987200.0,179691,17969100.0,0.9989937288738658,0.0002838205586256407,0.0002835349581924924,10.0
56007,56,7,830303,,468,B_830303_468,自然堤防,LF_CLASS::自然堤防,B_830303_468_LF_CLASS::自然堤防,1087,108700.0,0.1087,7639,763900.0,7639,763900.0,1.0,0.1422961120565519,0.1422961120565519,10.0
56009,56,9,830303,,468,B_830303_468,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_468_LF_CLASS::砂州・砂丘,5,500.0,0.0005,7639,763900.0,7639,763900.0,1.0,0.0006545359340227779,0.0006545359340227779,10.0
56011,56,11,830303,,468,B_830303_468,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_468_LF_CLASS::氾濫平野・海岸平野,5060,506000.0,0.506,7639,763900.0,7639,763900.0,1.0,0.6623903652310512,0.6623903652310512,10.0
56016,56,16,830303,,468,B_830303_468,水部,LF_CLASS::水部,B_830303_468_LF_CLASS::水部,1487,148700.0,0.1487,7639,763900.0,7639,763900.0,1.0,0.19465898677837412,0.19465898677837412,10.0
57007,57,7,830303,,469,B_830303_469,自然堤防,LF_CLASS::自然堤防,B_830303_469_LF_CLASS::自然堤防,898,89800.0,0.0898,9988,998800.0,9945,994500.0,0.9956948338005607,0.09029663147310206,0.08990788946736084,10.0
57009,57,9,830303,,469,B_830303_469,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_469_LF_CLASS::砂州・砂丘,1702,170200.0,0.1702,9988,998800.0,9945,994500.0,0.9956948338005607,0.17114127702362997,0.17040448538245895,10.0
57011,57,11,830303,,469,B_830303_469,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_469_LF_CLASS::氾濫平野・海岸平野,6848,684800.0,0.6848,9988,998800.0,9945,994500.0,0.9956948338005607,0.6885872297637003,0.6856227472967561,10.0
57016,57,16,830303,,469,B_830303_469,水部,LF_CLASS::水部,B_830303_469_LF_CLASS::水部,497,49700.0,0.0497,9988,998800.0,9945,994500.0,0.9956948338005607,0.049974861739567625,0.04975971165398478,10.0
58007,58,7,830303,,470,B_830303_470,自然堤防,LF_CLASS::自然堤防,B_830303_470_LF_CLASS::自然堤防,96,9600.0,0.0096,24479,2447900.0,24479,2447900.0,1.0,0.003921728828792026,0.003921728828792026,10.0
58009,58,9,830303,,470,B_830303_470,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_470_LF_CLASS::砂州・砂丘,1898,189800.0,0.1898,24479,2447900.0,24479,2447900.0,1.0,0.07753584705257567,0.07753584705257567,10.0
58011,58,11,830303,,470,B_830303_470,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_470_LF_CLASS::氾濫平野・海岸平野,12950,1295000.0,1.295,24479,2447900.0,24479,2447900.0,1.0,0.5290248784672577,0.5290248784672577,10.0
58016,58,16,830303,,470,B_830303_470,水部,LF_CLASS::水部,B_830303_470_LF_CLASS::水部,26,2600.0,0.0026,24479,2447900.0,24479,2447900.0,1.0,0.0010621348911311736,0.0010621348911311736,10.0
58017,58,17,830303,,470,B_830303_470,旧水部,LF_CLASS::旧水部,B_830303_470_LF_CLASS::旧水部,9509,950900.0,0.9509,24479,2447900.0,24479,2447900.0,1.0,0.3884554107602435,0.3884554107602435,10.0
59007,59,7,830303,,471,B_830303_471,自然堤防,LF_CLASS::自然堤防,B_830303_471_LF_CLASS::自然堤防,1251,125100.0,0.1251,9967,996700.0,9940,994000.0,0.9972910604996489,0.12585513078470825,0.1255141968496037,10.0
59009,59,9,830303,,471,B_830303_471,砂州・砂丘,LF_CLASS::砂州・砂丘,B_830303_471_LF_CLASS::砂州・砂丘,256,25600.0,0.0256,9967,996700.0,9940,994000.0,0.9972910604996489,0.025754527162977867,0.02568475970703321,10.0
