code,class_id,gsi_landform_class,mapping_source
10101,1,山地斜面等,GSI_official_legend_builtin
11201,1,山地斜面等,GSI_official_legend_builtin
11202,1,山地斜面等,GSI_official_legend_builtin
11203,1,山地斜面等,GSI_official_legend_builtin
11204,1,山地斜面等,GSI_official_legend_builtin
1010101,1,山地斜面等,GSI_official_legend_builtin
10202,2,崖・段丘崖,GSI_official_legend_builtin
10204,2,崖・段丘崖,GSI_official_legend_builtin
2010201,2,崖・段丘崖,GSI_official_legend_builtin
10205,3,地すべり地形,GSI_official_legend_builtin
10206,3,地すべり地形,GSI_official_legend_builtin
10301,4,台地・段丘,GSI_official_legend_builtin
10302,4,台地・段丘,GSI_official_legend_builtin
10303,4,台地・段丘,GSI_official_legend_builtin
10304,4,台地・段丘,GSI_official_legend_builtin
10305,4,台地・段丘,GSI_official_legend_builtin
10306,4,台地・段丘,GSI_official_legend_builtin
10307,4,台地・段丘,GSI_official_legend_builtin
10308,4,台地・段丘,GSI_official_legend_builtin
10310,4,台地・段丘,GSI_official_legend_builtin
10312,4,台地・段丘,GSI_official_legend_builtin
10314,4,台地・段丘,GSI_official_legend_builtin
10508,4,台地・段丘,GSI_official_legend_builtin
2010101,4,台地・段丘,GSI_official_legend_builtin
10401,5,山麓堆積地形,GSI_official_legend_builtin
10402,5,山麓堆積地形,GSI_official_legend_builtin
10403,5,山麓堆積地形,GSI_official_legend_builtin
10404,5,山麓堆積地形,GSI_official_legend_builtin
10406,5,山麓堆積地形,GSI_official_legend_builtin
10407,5,山麓堆積地形,GSI_official_legend_builtin
3010101,5,山麓堆積地形,GSI_official_legend_builtin
10501,6,扇状地,GSI_official_legend_builtin
10502,6,扇状地,GSI_official_legend_builtin
3020101,6,扇状地,GSI_official_legend_builtin
10503,7,自然堤防,GSI_official_legend_builtin
3040101,7,自然堤防,GSI_official_legend_builtin
10506,8,天井川等,GSI_official_legend_builtin
10507,8,天井川等,GSI_official_legend_builtin
10801,8,天井川等,GSI_official_legend_builtin
10504,9,砂州・砂丘,GSI_official_legend_builtin
10505,9,砂州・砂丘,GSI_official_legend_builtin
10512,9,砂州・砂丘,GSI_official_legend_builtin
3050101,9,砂州・砂丘,GSI_official_legend_builtin
10601,10,凹地・浅い谷,GSI_official_legend_builtin
2010301,10,凹地・浅い谷,GSI_official_legend_builtin
10701,11,氾濫平野・海岸平野,GSI_official_legend_builtin
10702,11,氾濫平野・海岸平野,GSI_official_legend_builtin
10705,11,氾濫平野・海岸平野,GSI_official_legend_builtin
3030101,11,氾濫平野・海岸平野,GSI_official_legend_builtin
10703,12,後背低地・湿地,GSI_official_legend_builtin
10804,12,後背低地・湿地,GSI_official_legend_builtin
3030201,12,後背低地・湿地,GSI_official_legend_builtin
10704,13,旧河道,GSI_official_legend_builtin
3040201,13,旧河道,GSI_official_legend_builtin
3040202,13,旧河道,GSI_official_legend_builtin
3040301,14,落堀,GSI_official_legend_builtin
10802,15,河川敷・浜,GSI_official_legend_builtin
10803,15,河川敷・浜,GSI_official_legend_builtin
10807,15,河川敷・浜,GSI_official_legend_builtin
10808,15,河川敷・浜,GSI_official_legend_builtin
10805,16,水部,GSI_official_legend_builtin
10806,16,水部,GSI_official_legend_builtin
10901,16,水部,GSI_official_legend_builtin
10903,16,水部,GSI_official_legend_builtin
5010201,16,水部,GSI_official_legend_builtin
10904,17,旧水部,GSI_official_legend_builtin
5010301,17,旧水部,GSI_official_legend_builtin
