landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_130000_11_LF_CLASS::旧水部,130000,,11,旧水部,1086700.0,1.0867,0.9987133535520633,0.9987133535520633,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_12_LF_CLASS::水部,130000,,12,水部,35500.0,0.0355,0.047638217928073004,0.047638217928073004,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_12_LF_CLASS::旧水部,130000,,12,旧水部,709700.0,0.7097,0.952361782071927,0.952361782071927,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_13_LF_CLASS::水部,130000,,13,水部,24800.0,0.0248,0.0403580146460537,0.0403580146460537,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_13_LF_CLASS::旧水部,130000,,13,旧水部,589700.0,0.5897,0.9596419853539463,0.9596419853539463,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_14_LF_CLASS::水部,130000,,14,水部,30300.0,0.0303,0.03623535039464243,0.03623535039464243,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_14_LF_CLASS::旧水部,130000,,14,旧水部,805900.0,0.8059,0.9637646496053576,0.9637646496053576,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_15_LF_CLASS::水部,130000,,15,水部,31600.0,0.0316,0.07229466941203386,0.07229466941203386,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_15_LF_CLASS::旧水部,130000,,15,旧水部,405500.0,0.4055,0.9277053305879661,0.9277053305879661,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_16_LF_CLASS::水部,130000,,16,水部,64600.0,0.0646,0.08813096862210096,0.08813096862210096,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_16_LF_CLASS::旧水部,130000,,16,旧水部,668400.0,0.6684,0.9118690313778991,0.9118690313778991,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_17_LF_CLASS::水部,130000,,17,水部,28700.0,0.0287,0.05714854639585822,0.05714854639585822,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_17_LF_CLASS::旧水部,130000,,17,旧水部,473500.0,0.4735,0.9428514536041418,0.9428514536041418,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_18_LF_CLASS::水部,130000,,18,水部,19300.0,0.0193,0.05980787108769755,0.05980787108769755,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_18_LF_CLASS::旧水部,130000,,18,旧水部,303400.0,0.3034,0.9401921289123024,0.9401921289123024,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_19_LF_CLASS::水部,130000,,19,水部,211500.0,0.2115,0.22040433513964153,0.22040433513964153,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_19_LF_CLASS::旧水部,130000,,19,旧水部,748100.0,0.7481,0.7795956648603585,0.7795956648603585,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_2_LF_CLASS::山地斜面等,130000,,2,山地斜面等,979900.0,0.9799,0.11400151241928916,0.11400151241928916,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_2_LF_CLASS::台地・段丘,130000,,2,台地・段丘,5283200.0,5.2832,0.6146471991158164,0.6146471991158164,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_2_LF_CLASS::凹地・浅い谷,130000,,2,凹地・浅い谷,1140400.0,1.1404,0.1326740736431854,0.1326740736431854,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_2_LF_CLASS::氾濫平野・海岸平野,130000,,2,氾濫平野・海岸平野,1176500.0,1.1765,0.13687394566924554,0.13687394566924554,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_2_LF_CLASS::水部,130000,,2,水部,15500.0,0.0155,0.0018032691524634983,0.0018032691524634983,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_3_LF_CLASS::山地斜面等,130000,,3,山地斜面等,559300.0,0.5593,0.05181870402282877,0.05181822393106963,0.9999907351646824,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_3_LF_CLASS::台地・段丘,130000,,3,台地・段丘,6150800.0,6.1508,0.5698667704337836,0.5698614907120026,0.9999907351646824,10.0,GSI_natural_landform_GeoJSON_rasterized,True
