source_group,source_id,source_detail
input,13Tokyo_chronology_gsi_landform.csv,c2c7831a65c758bf04fa0ce78e78f51d
GSI_landform,GSI experimental_landformclassification1,zoom=14
W07_watershed,W07,year=2009
