model_id,metric,n_points,moran_i,expectation,variance,statistic,p_value,k
knn_k4,continuity_index,5624,0.202571356735523,-1.7784101013693757e-4,7.242759317241954e-5,23.823585137395842,9.513848733247562e-126,4
knn_k4,longest_run_length,5624,0.1748983068865688,-1.7784101013693757e-4,7.239057055159164e-5,20.577185975351565,2.1973189486611474e-94,4
knn_k4,gap_count,5624,0.1968590296599913,-1.7784101013693757e-4,7.246062983946687e-5,23.14709260329611,7.775770684195852e-119,4
knn_k4,max_gap_length,5624,0.18560947609479433,-1.7784101013693757e-4,7.24479204070462e-5,21.827454993511108,6.365730462481527e-106,4
knn_k4,intermittency_index,5624,0.18161776618161204,-1.7784101013693757e-4,7.245997130196317e-5,21.356707818873502,1.6889803195368363e-101,4
knn_k8,continuity_index,5624,0.1853977402696129,-1.7784101013693757e-4,3.6964164294422394e-5,30.52322257959322,6.410190176579685e-205,8
knn_k8,longest_run_length,5624,0.157776259736693,-1.7784101013693757e-4,3.6945269399734535e-5,25.986721165596787,3.4985227595647273e-149,8
knn_k8,gap_count,5624,0.18235219403615516,-1.7784101013693757e-4,3.6981024914517305e-5,30.015450465483884,3.08470919235535e-198,8
knn_k8,max_gap_length,5624,0.16732923260709537,-1.7784101013693757e-4,3.697453851831518e-5,27.547473271783936,2.3724090192284783e-167,8
knn_k8,intermittency_index,5624,0.16446786169175995,-1.7784101013693757e-4,3.698068882278468e-5,27.074653162210808,9.791033872120256e-162,8
knn_k12,continuity_index,5624,0.17430475795206857,-1.7784101013693757e-4,2.4834453482848515e-5,35.012636740662884,7.22511093970816e-269,12
knn_k12,longest_run_length,5624,0.14787065027892574,-1.7784101013693757e-4,2.4821758949839903e-5,29.715819324323135,2.3983994822702988e-194,12
knn_k12,gap_count,5624,0.1782006502690708,-1.7784101013693757e-4,2.4845781288685827e-5,35.78624718518631,9.037529070065053e-281,12
knn_k12,max_gap_length,5624,0.16129719942027146,-1.7784101013693757e-4,2.484142340407969e-5,32.39792258959941,1.467989869366219e-230,12
knn_k12,intermittency_index,5624,0.16072040078767852,-1.7784101013693757e-4,2.4845555485490613e-5,32.2795106975733,6.781865477058571e-229,12
