model_id,metric,n_points,moran_i,expectation,variance,statistic,p_value,k,weight_set
knn_k4,continuity_baseline,5624,0.202571356735523,-1.7784101013693757e-4,7.242759317241954e-5,23.823585137395842,9.513848733247562e-126,4,baseline
knn_k4,continuity_balanced,5624,0.204056486783048,-1.7784101013693757e-4,7.242977650875987e-5,23.99773027480749,1.4683669818386797e-127,4,balanced
knn_k4,continuity_coverage_heavy,5624,0.2070269709484899,-1.7784101013693757e-4,7.243373456284411e-5,24.34609981711162,3.1879203857219747e-131,4,coverage_heavy
knn_k4,continuity_run_heavy,5624,0.19674916750283564,-1.7784101013693757e-4,7.241946044851174e-5,23.1407612294912,9.005342229894825e-119,4,run_heavy
knn_k4,continuity_gap_span_heavy,5624,0.204414029680818,-1.7784101013693757e-4,7.243039149410427e-5,24.03963985231414,5.356893088351719e-128,4,gap_span_heavy
knn_k8,continuity_baseline,5624,0.1853977402696129,-1.7784101013693757e-4,3.6964164294422394e-5,30.52322257959322,6.410190176579685e-205,8,baseline
knn_k8,continuity_balanced,5624,0.18695051315645506,-1.7784101013693757e-4,3.6965278583721646e-5,30.778156678138025,2.5687989422172416e-208,8,balanced
knn_k8,continuity_coverage_heavy,5624,0.18982035763081223,-1.7784101013693757e-4,3.696729861940303e-5,31.24932390489478,1.1401159118629478e-214,8,coverage_heavy
knn_k8,continuity_run_heavy,5624,0.17954879163879986,-1.7784101013693757e-4,3.6960013670875845e-5,29.56285517779659,2.2446206918856748e-192,8,run_heavy
knn_k8,continuity_gap_span_heavy,5624,0.18736354778560582,-1.7784101013693757e-4,3.696559244813905e-5,30.845960082733814,3.1729607646211403e-209,8,gap_span_heavy
knn_k12,continuity_baseline,5624,0.17430475795206857,-1.7784101013693757e-4,2.4834453482848515e-5,35.012636740662884,7.22511093970816e-269,12,baseline
knn_k12,continuity_balanced,5624,0.17579335063190765,-1.7784101013693757e-4,2.4835202117997013e-5,35.310813706020454,2.0037489324771257e-273,12,balanced
knn_k12,continuity_coverage_heavy,5624,0.17875483416842486,-1.7784101013693757e-4,2.4836559278757072e-5,35.90409129711452,1.3185679595717613e-282,12,coverage_heavy
knn_k12,continuity_run_heavy,5624,0.1685806923017966,-1.7784101013693757e-4,2.4831664886855344e-5,33.86591569602647,1.0581453948829045e-251,12,run_heavy
knn_k12,continuity_gap_span_heavy,5624,0.1761628202764727,-1.7784101013693757e-4,2.4835412987772834e-5,35.38480217531022,1.4625550837000217e-274,12,gap_span_heavy
