scheme,group_id,group_label,n_places
unit_basin,B_830305_56,多摩川 / basin 56,64
unit_basin,B_830305_57,多摩川 / basin 57,2
unit_basin,B_830305_58,多摩川 / basin 58,1
unit_basin,B_830305_59,多摩川 / basin 59,1
unit_basin,B_830305_60,多摩川 / basin 60,1
unit_basin,B_830305_62,多摩川 / basin 62,17
unit_basin,B_830305_63,多摩川 / basin 63,1
unit_basin,B_830305_64,多摩川 / basin 64,1
unit_basin,B_830305_66,多摩川 / basin 66,7
unit_basin,B_830305_67,多摩川 / basin 67,3
unit_basin,B_830305_68,多摩川 / basin 68,8
unit_basin,B_830305_69,多摩川 / basin 69,5
unit_basin,B_830305_70,多摩川 / basin 70,7
unit_basin,B_830305_71,多摩川 / basin 71,1
unit_basin,B_830305_72,多摩川 / basin 72,12
unit_basin,B_830305_73,多摩川 / basin 73,7
unit_basin,B_830305_74,多摩川 / basin 74,2
unit_basin,B_830305_75,多摩川 / basin 75,19
unit_basin,B_830305_76,多摩川 / basin 76,3
unit_basin,B_830305_77,多摩川 / basin 77,2
unit_basin,B_830305_78,多摩川 / basin 78,5
unit_basin,B_830305_79,多摩川 / basin 79,1
unit_basin,B_830305_8,多摩川 / basin 8,51
unit_basin,B_830305_80,多摩川 / basin 80,2
unit_basin,B_830305_81,多摩川 / basin 81,9
unit_basin,B_830305_82,多摩川 / basin 82,2
unit_basin,B_830305_83,多摩川 / basin 83,2
unit_basin,B_830305_84,多摩川 / basin 84,2
unit_basin,B_830305_87,多摩川 / basin 87,4
unit_basin,B_830305_88,多摩川 / basin 88,4
unit_basin,B_830305_89,多摩川 / basin 89,3
unit_basin,B_830305_9,多摩川 / basin 9,1
unit_basin,B_830305_90,多摩川 / basin 90,16
unit_basin,B_830305_91,多摩川 / basin 91,9
unit_basin,B_830305_92,多摩川 / basin 92,4
unit_basin,B_830305_98,多摩川 / basin 98,13
unit_basin,B_830306_16,鶴見川 / basin 16,157
unit_basin,B_830306_17,鶴見川 / basin 17,14
unit_basin,B_830306_19,鶴見川 / basin 19,32
unit_basin,B_830306_20,鶴見川 / basin 20,367
unit_basin,B_830306_21,鶴見川 / basin 21,82
unit_basin,B_unknown_0,unknown / basin 0,446
watershed_x_landform,B_120000_6_LF_10314,名称不明 / basin 6 / 台地・段丘,1
watershed_x_landform,B_130000_1_LF_2010101,名称不明 / basin 1 / 台地・段丘,19
watershed_x_landform,B_130000_1_LF_2010201,名称不明 / basin 1 / 崖・段丘崖,1
watershed_x_landform,B_130000_1_LF_2010301,名称不明 / basin 1 / 凹地・浅い谷,1
watershed_x_landform,B_130000_1_LF_3010101,名称不明 / basin 1 / 山麓堆積地形,1
watershed_x_landform,B_130000_1_LF_3030101,名称不明 / basin 1 / 氾濫平野・海岸平野,2
watershed_x_landform,B_130000_2_LF_10101,名称不明 / basin 2 / 山地斜面等,3
watershed_x_landform,B_130000_2_LF_10314,名称不明 / basin 2 / 台地・段丘,1
watershed_x_landform,B_130000_2_LF_10601,名称不明 / basin 2 / 凹地・浅い谷,1
watershed_x_landform,B_130000_2_LF_10701,名称不明 / basin 2 / 氾濫平野・海岸平野,1
watershed_x_landform,B_130000_3_LF_10314,名称不明 / basin 3 / 台地・段丘,9
watershed_x_landform,B_130000_3_LF_10601,名称不明 / basin 3 / 凹地・浅い谷,4
watershed_x_landform,B_130000_4_LF_1010101,名称不明 / basin 4 / 山地斜面等,3
watershed_x_landform,B_130000_4_LF_10305,名称不明 / basin 4 / 台地・段丘,1
watershed_x_landform,B_130000_4_LF_10314,名称不明 / basin 4 / 台地・段丘,3
watershed_x_landform,B_130000_4_LF_10701,名称不明 / basin 4 / 氾濫平野・海岸平野,1
watershed_x_landform,B_130000_4_LF_2010101,名称不明 / basin 4 / 台地・段丘,33
watershed_x_landform,B_130000_4_LF_3030101,名称不明 / basin 4 / 氾濫平野・海岸平野,2
watershed_x_landform,B_130000_4_LF_3030201,名称不明 / basin 4 / 後背低地・湿地,4
watershed_x_landform,B_130000_5_LF_1010101,名称不明 / basin 5 / 山地斜面等,2
watershed_x_landform,B_130000_5_LF_2010101,名称不明 / basin 5 / 台地・段丘,51
watershed_x_landform,B_130000_5_LF_2010201,名称不明 / basin 5 / 崖・段丘崖,4
watershed_x_landform,B_130000_5_LF_3030101,名称不明 / basin 5 / 氾濫平野・海岸平野,2
watershed_x_landform,B_130000_5_LF_3030201,名称不明 / basin 5 / 後背低地・湿地,4
watershed_x_landform,B_130000_5_LF_5010201,名称不明 / basin 5 / 水部,1
watershed_x_landform,B_130000_6_LF_10101,名称不明 / basin 6 / 山地斜面等,7
watershed_x_landform,B_130000_6_LF_10314,名称不明 / basin 6 / 台地・段丘,12
watershed_x_landform,B_130000_6_LF_10701,名称不明 / basin 6 / 氾濫平野・海岸平野,1
watershed_x_landform,B_130000_8_LF_5010301,名称不明 / basin 8 / 旧水部,2
watershed_x_landform,B_140013_16_LF_10314,境川 / basin 16 / 台地・段丘,1
watershed_x_landform,B_140013_17_LF_10101,境川 / basin 17 / 山地斜面等,157
