place_id,Pa,Jo,Ya,Ko,Na,He,Me,JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,gsi_landform_code,gsi_landform_class,gsi_landform_match_status,gsi_landform_zoom,gsi_landform_source,watershed_mesh_code_100m,watershed_first_mesh_code,watersystem_code,watersystem_name,river_code,river_name,unit_basin_code,w07_match_status,w07_source_year,w07_source_id,watersystem_unit_id,watersystem_unit_label,basin_unit_id,basin_unit_label,landscape_unit_id,landscape_unit_label,sequence_string_7digit,sequence_display,sequence_phases
13101000200,0,1,0,0,0,0,0,13101000200,13101,2,きゅうほんまるにしかいづか,旧本丸西貝塚,千代田区 千代田,[縄文時代（前期〜晩期）],貝塚,NA,縄文土器　打斧　石鏃　有溝土錘　骨角器,139.7550845,35.6866013,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339462034,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0100000,seq_0100000,Jo
13101000300,0,0,1,0,0,0,0,13101000300,13101,3,NA,千代田区No.3遺跡,千代田区 千代田,[弥生時代],包蔵地,NA,弥生土器,139.7568012,35.6844541,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339462015,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0010000,seq_0010000,Ya
13101000400,0,1,0,0,0,0,0,13101000400,13101,4,もみじやまいせき,紅葉山遺跡,千代田区 千代田,[縄文前期],包蔵地,NA,縄文土器,139.751926,35.68495605,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339462011,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0100000,seq_0100000,Jo
13101000500,0,0,0,0,1,1,0,13101000500,13101,5,NA,千代田区No.5遺跡,千代田区 千代田,[奈良時代][平安時代],包蔵地,NA,土師器,139.7534709,35.68565319,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339462022,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3030101,荒川 / basin 38 / 氾濫平野・海岸平野,0000110,seq_0000110,Na-He
13101000600,0,0,0,0,0,0,0,13101000600,13101,6,NA,千代田区No.6遺跡,千代田区 千代田,NA,貝塚,NA,土師器,139.7535053,35.68158178,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339461072,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0000000,seq_0000000,none
13101000800,0,1,1,1,1,1,0,13101000800,13101,8,うしがふちかいづか,牛ヶ淵貝塚,千代田区 九段南一丁目,[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代],貝塚,NA,縄文土器　弥生土器　土師器,139.7510672,35.69479204,1010101,山地斜面等,matched,14,GSI experimental_landformclassification1,5339463030,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_1010101,荒川 / basin 38 / 山地斜面等,0111110,seq_0111110,Jo-Ya-Ko-Na-He
13101000900,0,1,1,0,0,1,0,13101000900,13101,9,くだんざかうえかいづか,九段坂上貝塚,千代田区 九段北一丁目,[縄文時代（中期）][弥生時代][平安時代],貝塚,[弥生時代]V字溝　住居,縄文土器　弥生土器　土師器　須恵器,139.7491794,35.69628581,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339453959,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0110010,seq_0110010,Jo-Ya-He
13101001000,0,1,1,0,0,0,0,13101001000,13101,10,ながたちょうにちょうめいせき,永田町二丁目遺跡,千代田区 永田町二丁目,[縄文時代（後期）][弥生時代（中期）][近世],包蔵地・集落・貝塚・屋敷,[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址,石器　弥生土器　陶磁器類　金属　木製品　瓦,139.7438231,35.67281761,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339450975,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_2010101,荒川 / basin 37 / 台地・段丘,0110000,seq_0110000,Jo-Ya
13101001100,0,1,0,0,0,0,0,13101001100,13101,11,NA,千代田区No.11遺跡,千代田区 永田町二丁目,[縄文時代（中期）],包蔵地,NA,縄文土器,139.7395316,35.6742121,1010101,山地斜面等,matched,14,GSI experimental_landformclassification1,5339450991,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_1010101,荒川 / basin 37 / 山地斜面等,0100000,seq_0100000,Jo
13101001200,0,1,0,0,0,0,0,13101001200,13101,12,NA,千代田区No.12遺跡,千代田区 神田神保町一丁目,[縄文時代][近世],貝塚　その他（上水道）,竹樋,縄文土器　陶磁器,139.7591696,35.69663226,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339463057,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3030101,荒川 / basin 38 / 氾濫平野・海岸平野,0100000,seq_0100000,Jo
