model_id,k,phase_pair,phase_pair_order,n_points,n_edges,n_isolates,mean_degree,median_degree,max_degree,edge_min_m,edge_median_m,edge_p90_m,edge_p95_m,edge_p99_m,edge_max_m,analysis_universe,n_edges_gt_2000m,prop_edges_gt_2000m,n_edges_gt_5000m,prop_edges_gt_5000m
transition_Pa_Jo_knn_k4,4,Pa->Jo,1,3906,9700,0,4.966717869943676,5,10,0,311.26374546578495,761.1435549727814,997.5739481017437,1904.3797995766868,9396.566754972842,active_transition_only_excluding_0to0,84,0.00865979381443299,11,0.001134020618556701
transition_Jo_Ya_knn_k4,4,Jo->Ya,2,3944,9791,0,4.96501014198783,5,10,0,310.82218735724484,753.4715857000166,997.0408418264823,1992.8167184120864,7009.986482816183,active_transition_only_excluding_0to0,97,0.009907057501787355,6,6.128076805229292e-4
transition_Ya_Ko_knn_k4,4,Ya->Ko,3,1926,4939,0,5.1287642782969884,5,9,0,357.7731470598121,968.2871013555309,1296.5939423347654,2339.0928169995072,6920.986572167004,active_transition_only_excluding_0to0,76,0.015387730309779307,3,6.074104069649726e-4
transition_Ko_Na_knn_k4,4,Ko->Na,4,2691,6837,0,5.081382385730212,5,10,0,290.74667841327374,827.5235672885083,1153.289249735285,2067.7105816568046,7076.908719714321,active_transition_only_excluding_0to0,73,0.010677197601287115,7,0.0010238408658768466
transition_Na_He_knn_k4,4,Na->He,5,2394,6024,0,5.032581453634085,5,10,23.06940198861529,306.9982853469045,932.149493971784,1308.0622032155702,2309.4709429946397,5155.747271122928,active_transition_only_excluding_0to0,98,0.016268260292164674,1,1.6600265604249667e-4
transition_He_Me_knn_k4,4,He->Me,6,2626,6602,0,5.028179741051028,5,10,9.05440332202003,308.7669225933163,992.8852528665909,1356.0799024657374,2340.84634430424,8866.32496835131,active_transition_only_excluding_0to0,106,0.016055740684641016,5,7.57346258709482e-4
transition_Pa_Jo_knn_k8,8,Pa->Jo,1,3906,18840,0,9.646697388632873,9,16,0,430.4525714481708,1067.3213366690306,1369.4288270704487,2390.128993375187,10146.801300347899,active_transition_only_excluding_0to0,337,0.017887473460721868,29,0.0015392781316348196
transition_Jo_Ya_knn_k8,8,Jo->Ya,2,3944,19031,0,9.650608519269777,9,16,0,430.7376837095745,1059.532614377577,1368.1606966464346,2554.210657725944,9294.98261317885,active_transition_only_excluding_0to0,360,0.018916504650307392,31,0.00162892123377647
transition_Ya_Ko_knn_k8,8,Ya->Ko,3,1926,9710,0,10.083073727933542,10,18,0,505.55701697682446,1349.484884303618,1736.274814906922,2803.2851368617726,7352.9788703763015,active_transition_only_excluding_0to0,304,0.03130792996910402,17,0.0017507723995880534
transition_Ko_Na_knn_k8,8,Ko->Na,4,2691,13391,0,9.95243403939056,10,17,0,404.4440865068659,1176.2156235803582,1532.3850948221339,2640.00938736353,7358.062692536207,active_transition_only_excluding_0to0,295,0.022029721454708388,26,0.0019416025688895526
transition_Na_He_knn_k8,8,Na->He,5,2394,11764,0,9.827903091060985,10,18,23.06940198861529,431.48215450865507,1329.2935137620354,1807.4400097266532,3177.270327780322,6594.1006828514855,active_transition_only_excluding_0to0,464,0.03944236654199252,24,0.002040122407344441
transition_He_Me_knn_k8,8,He->Me,6,2626,12825,0,9.767707539984768,9,17,9.05440332202003,432.56816188471294,1390.8543496753236,1800.1375882544153,3068.417368825342,10501.220812912674,active_transition_only_excluding_0to0,479,0.037348927875243666,23,0.0017933723196881092
transition_Pa_Jo_knn_k12,12,Pa->Jo,1,3906,27949,0,14.310803891449053,14,24,0,528.9800249978829,1295.1670006696954,1656.7621894173003,2895.1447238011124,10468.941250141494,active_transition_only_excluding_0to0,803,0.02873090271566067,58,0.0020752084153279186
transition_Jo_Ya_knn_k12,12,Jo->Ya,2,3944,28243,0,14.322008113590263,14,24,0,529.4705214219149,1292.0711253085378,1662.8457375755263,3022.7529801844157,10882.028487311378,active_transition_only_excluding_0to0,836,0.02960025493042524,80,0.002832560280423468
transition_Ya_Ko_knn_k12,12,Ya->Ko,3,1926,14389,0,14.941848390446522,14,25,0,625.3381543488646,1662.03851621792,2102.6104689544454,3171.2799919222575,7801.393508646127,active_transition_only_excluding_0to0,837,0.05816943498505803,37,0.0025714087149906178
transition_Ko_Na_knn_k12,12,Ko->Na,4,2691,19922,0,14.806391675956894,14,25,0,504.10961831943763,1442.6543228399817,1867.7846962193642,3022.805760622543,7801.393508646127,active_transition_only_excluding_0to0,817,0.041009938761168555,48,0.002409396646923
transition_Na_He_knn_k12,12,Na->He,5,2394,17435,0,14.565580618212197,14,26,23.06940198861529,536.3977245495659,1643.1522212761301,2209.683517936106,3861.3919882157734,8159.006658609879,active_transition_only_excluding_0to0,1148,0.06584456552910811,77,0.004416403785488959
transition_He_Me_knn_k12,12,He->Me,6,2626,19085,0,14.535415079969535,14,26,9.05440332202003,536.7475344026038,1710.1558140839657,2212.2435888369973,3663.5604966783067,10811.0159648993,active_transition_only_excluding_0to0,1256,0.06581084621430443,64,0.0033534189153785698
