model_id,k,phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_points,n_apparent_absence_continue_excluded,analysis_universe,moran_i,expectation,variance,statistic,p_value
transition_Ko_Na_knn_k8,8,Ko->Na,4,continue,651,0.241917502787068,2691,2933,active_transition_only_excluding_0to0,0.15821619625704922,-3.717472118959108e-4,7.567466786602441e-5,18.230345756502643,1.4822052029613328e-74
transition_Ko_Na_knn_k8,8,Ko->Na,4,drop,986,0.3664065403195838,2691,2933,active_transition_only_excluding_0to0,0.4093778315202274,-3.717472118959108e-4,7.570692575566567e-5,47.09238763540401,0
transition_Ko_Na_knn_k8,8,Ko->Na,4,new,1054,0.3916759568933482,2691,2933,active_transition_only_excluding_0to0,0.4425682486700892,-3.717472118959108e-4,7.571003863510441e-5,50.905905079911015,0
transition_Na_He_knn_k8,8,Na->He,5,continue,1485,0.6203007518796992,2394,3230,active_transition_only_excluding_0to0,0.3394440273416267,-4.178854993731718e-4,8.59422648083216e-5,36.66056047394768,1.553153645399989e-294
transition_Na_He_knn_k8,8,Na->He,5,drop,220,0.091896407685881365,2394,3230,active_transition_only_excluding_0to0,0.31022078211921195,-4.178854993731718e-4,8.566414336982873e-5,33.56262933375849,2.945376138341761e-247
transition_Na_He_knn_k8,8,Na->He,5,new,689,0.2878028404344194,2394,3230,active_transition_only_excluding_0to0,0.363625137552662,-4.178854993731718e-4,8.591951388202863e-5,39.274151089278654,0
transition_He_Me_knn_k8,8,He->Me,6,continue,571,0.21744097486671743,2626,2998,active_transition_only_excluding_0to0,0.1243020780309163,-3.8095238095238096e-4,7.876787666519472e-5,14.048591357667393,3.9290779396020846e-45
transition_He_Me_knn_k8,8,He->Me,6,drop,1603,0.6104341203351105,2626,2998,active_transition_only_excluding_0to0,0.2103117907480337,-3.8095238095238096e-4,7.881811012876226e-5,23.73212181391606,8.404758237018485e-125
transition_He_Me_knn_k8,8,He->Me,6,new,452,0.17212490479817213,2626,2998,active_transition_only_excluding_0to0,0.2150334190353461,-3.8095238095238096e-4,7.873359462524393e-5,24.276978519683947,1.7161140020732996e-130
transition_Pa_Jo_knn_k12,12,Pa->Jo,1,continue,634,0.16231438812083973,3906,1718,active_transition_only_excluding_0to0,0.14446143755427568,-2.5608194622279127e-4,3.6019257379785895e-5,24.113138058765237,9.10073862566677e-129
transition_Pa_Jo_knn_k12,12,Pa->Jo,1,drop,60,0.015360983102918587,3906,1718,active_transition_only_excluding_0to0,0.06367525607055494,-2.5608194622279127e-4,3.547652567459767e-5,10.733546773181804,3.541224730150641e-27
transition_Pa_Jo_knn_k12,12,Pa->Jo,1,new,3212,0.8223246287762417,3906,1718,active_transition_only_excluding_0to0,0.16250330757207335,-2.5608194622279127e-4,3.602397103107211e-5,27.11753815336562,3.0583416212731073e-162
transition_Jo_Ya_knn_k12,12,Jo->Ya,2,continue,549,0.13919878296146046,3944,1680,active_transition_only_excluding_0to0,0.17772392318040106,-2.53613999492772e-4,3.56428125702248e-5,29.811182920633218,1.3991086638797424e-195
transition_Jo_Ya_knn_k12,12,Jo->Ya,2,drop,3297,0.8359533468559838,3944,1680,active_transition_only_excluding_0to0,0.2369541424835606,-2.53613999492772e-4,3.56523517813606e-5,39.72691072686897,0
transition_Jo_Ya_knn_k12,12,Jo->Ya,2,new,98,0.02484787018255578,3944,1680,active_transition_only_excluding_0to0,0.13469036282453345,-2.53613999492772e-4,3.534471871862134e-5,22.698190669163704,2.3340743566195325e-114
transition_Ya_Ko_knn_k12,12,Ya->Ko,3,continue,358,0.18587746625129803,1926,3698,active_transition_only_excluding_0to0,0.1554714785149233,-5.194805194805195e-4,7.003048399113273e-5,18.640427326612137,7.551475406815407e-78
transition_Ya_Ko_knn_k12,12,Ya->Ko,3,drop,289,0.15005192107995846,1926,3698,active_transition_only_excluding_0to0,0.1531377210974086,-5.194805194805195e-4,6.998553534553924e-5,18.3674461437629,1.197076265697111e-75
transition_Ya_Ko_knn_k12,12,Ya->Ko,3,new,1279,0.6640706126687436,1926,3698,active_transition_only_excluding_0to0,0.2568926792536989,-5.194805194805195e-4,7.010798835297856e-5,30.742933494047044,7.599370869314765e-208
transition_Ko_Na_knn_k12,12,Ko->Na,4,continue,651,0.241917502787068,2691,2933,active_transition_only_excluding_0to0,0.1398340410333334,-3.717472118959108e-4,5.0674168384479736e-5,19.695754770891092,1.1723812312335174e-86
transition_Ko_Na_knn_k12,12,Ko->Na,4,drop,986,0.3664065403195838,2691,2933,active_transition_only_excluding_0to0,0.39393264722417576,-3.717472118959108e-4,5.069576905406374e-5,55.379082899916376,0
transition_Ko_Na_knn_k12,12,Ko->Na,4,new,1054,0.3916759568933482,2691,2933,active_transition_only_excluding_0to0,0.42785813867002476,-3.717472118959108e-4,5.0697853514050404e-5,60.14259834604432,0
transition_Na_He_knn_k12,12,Na->He,5,continue,1485,0.6203007518796992,2394,3230,active_transition_only_excluding_0to0,0.32736891029065945,-4.178854993731718e-4,5.774818755698666e-5,43.134252449450756,0
transition_Na_He_knn_k12,12,Na->He,5,drop,220,0.091896407685881365,2394,3230,active_transition_only_excluding_0to0,0.3020829374124274,-4.178854993731718e-4,5.7561307453659184e-5,39.871377063878924,0
transition_Na_He_knn_k12,12,Na->He,5,new,689,0.2878028404344194,2394,3230,active_transition_only_excluding_0to0,0.3470678960460401,-4.178854993731718e-4,5.7732900366328256e-5,45.732542936734625,0
transition_He_Me_knn_k12,12,He->Me,6,continue,571,0.21744097486671743,2626,2998,active_transition_only_excluding_0to0,0.11307552756633853,-3.8095238095238096e-4,5.275317767517846e-5,15.620861888155495,2.6245624274533185e-55
transition_He_Me_knn_k12,12,He->Me,6,drop,1603,0.6104341203351105,2626,2998,active_transition_only_excluding_0to0,0.18987014678810712,-3.8095238095238096e-4,5.2786820171397654e-5,26.18571422391194,1.932720691743541e-151
transition_He_Me_knn_k12,12,He->Me,6,new,452,0.17212490479817213,2626,2998,active_transition_only_excluding_0to0,0.18999039097880588,-3.8095238095238096e-4,5.273021821115744e-5,26.21632366907117,8.656844332715912e-152
