scheme,group_id,group_label,activity_domain,phase_pair,phase_pair_order,transition,n_places,active_total_places,active_transition_composition
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Jo->Ya,2,new,1,42,0.023809523809523808
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Ko->Na,4,continue,4,14,0.2857142857142857
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Ko->Na,4,drop,8,14,0.5714285714285714
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Ko->Na,4,new,2,14,0.14285714285714285
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Na->He,5,continue,4,10,0.4
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Na->He,5,drop,2,10,0.2
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Na->He,5,new,4,10,0.4
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Pa->Jo,1,continue,8,41,0.1951219512195122
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Pa->Jo,1,drop,0,41,0
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Pa->Jo,1,new,33,41,0.8048780487804879
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Ya->Ko,3,continue,6,19,0.3157894736842105
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Ya->Ko,3,drop,7,19,0.3684210526315789
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,Ya->Ko,3,new,6,19,0.3157894736842105
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,He->Me,6,continue,11,35,0.3142857142857143
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,He->Me,6,drop,22,35,0.6285714285714286
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,He->Me,6,new,2,35,0.05714285714285714
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Jo->Ya,2,continue,22,43,0.5116279069767442
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Jo->Ya,2,drop,18,43,0.4186046511627907
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Jo->Ya,2,new,3,43,0.06976744186046512
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Ko->Na,4,continue,16,43,0.37209302325581395
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Ko->Na,4,drop,13,43,0.3023255813953488
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Ko->Na,4,new,14,43,0.32558139534883723
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Na->He,5,continue,30,33,0.9090909090909091
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Na->He,5,drop,0,33,0
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Na->He,5,new,3,33,0.09090909090909091
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Pa->Jo,1,continue,7,40,0.175
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Pa->Jo,1,drop,0,40,0
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Pa->Jo,1,new,33,40,0.825
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Ya->Ko,3,continue,12,42,0.2857142857142857
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Ya->Ko,3,drop,13,42,0.30952380952380953
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,Ya->Ko,3,new,17,42,0.40476190476190477
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,He->Me,6,continue,0,3,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,He->Me,6,drop,3,3,1
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,He->Me,6,new,0,3,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Jo->Ya,2,continue,0,16,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Jo->Ya,2,drop,16,16,1
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Jo->Ya,2,new,0,16,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Ko->Na,4,continue,3,9,0.3333333333333333
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Ko->Na,4,drop,5,9,0.5555555555555556
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Ko->Na,4,new,1,9,0.1111111111111111
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Na->He,5,continue,3,4,0.75
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Na->He,5,drop,1,4,0.25
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Na->He,5,new,0,4,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Pa->Jo,1,continue,1,16,0.0625
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Pa->Jo,1,drop,0,16,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Pa->Jo,1,new,15,16,0.9375
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Ya->Ko,3,continue,0,8,0
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Ya->Ko,3,drop,0,8,0
