scheme,group_id,group_label,activity_domain,phase_code,phase_order,n_places,presence_rate
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Me,7,241,0.16597510373443983
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Na,5,241,0.6887966804979253
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Pa,1,241,0.08713692946058091
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ya,3,241,0.0995850622406639
unit_basin,B_140013_19,境川 / basin 19,all_land_use,He,6,24,0.625
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Jo,2,24,0.75
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ko,4,24,0.08333333333333333
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Me,7,24,0.16666666666666666
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Na,5,24,0.4166666666666667
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Pa,1,24,0.125
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ya,3,24,0.08333333333333333
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,He,6,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Jo,2,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ko,4,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Me,7,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Na,5,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Pa,1,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ya,3,1,1
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,He,6,8,0.75
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Jo,2,8,0.125
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ko,4,8,0.75
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Me,7,8,0.75
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Na,5,8,0.75
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Pa,1,8,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ya,3,8,0.25
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,He,6,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Jo,2,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Ko,4,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Me,7,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Na,5,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Pa,1,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Ya,3,1,1
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,He,6,2,0.5
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Jo,2,2,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ko,4,2,0.5
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Me,7,2,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Na,5,2,0.5
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Pa,1,2,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ya,3,2,0.5
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,He,6,2,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Jo,2,2,0.5
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ko,4,2,0.5
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Me,7,2,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Na,5,2,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Pa,1,2,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ya,3,2,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,He,6,6,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Jo,2,6,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ko,4,6,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Me,7,6,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Na,5,6,0.5
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Pa,1,6,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ya,3,6,0.3333333333333333
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,He,6,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,Jo,2,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,Ko,4,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,Me,7,1,1
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,Na,5,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,Pa,1,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,Ya,3,1,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,He,6,5,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,Jo,2,5,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,Ko,4,5,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,Me,7,5,0.6
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,Na,5,5,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,Pa,1,5,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,Ya,3,5,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,He,6,9,0.4444444444444444
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Jo,2,9,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ko,4,9,0.7777777777777778
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Me,7,9,0.5555555555555556
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Na,5,9,0.4444444444444444
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Pa,1,9,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ya,3,9,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,He,6,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,Jo,2,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,Ko,4,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,Me,7,2,1
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,Na,5,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,Pa,1,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,Ya,3,2,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,He,6,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,Jo,2,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,Ko,4,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,Me,7,1,1
