phase_code,phase_order,phase_label_ja,n_places,presence_count,apparent_absence_count,presence_rate
Pa,1,旧石器,5624,694,4930,0.12339971550497866
Jo,2,縄文,5624,3846,1778,0.683854907539118
Ya,3,弥生,5624,647,4977,0.11504267425320057
Ko,4,古墳,5624,1637,3987,0.29107396870554764
Na,5,奈良,5624,1705,3919,0.30316500711237554
He,6,平安,5624,2174,3450,0.3865576102418208
Me,7,中世,5624,1023,4601,0.1818990042674253
