output_type,output_name,path,exists,note
csv,coordinate_quality_summary.csv,Continuity_results_v3_1/csv/coordinate_quality_summary.csv,TRUE,ok
csv,coordinate_excluded_points.csv,Continuity_results_v3_1/csv/coordinate_excluded_points.csv,TRUE,ok
csv,context_field_status.csv,Continuity_results_v3_1/csv/context_field_status.csv,TRUE,ok
csv,context_match_summary.csv,Continuity_results_v3_1/csv/context_match_summary.csv,TRUE,ok
csv,analysis_population_summary.csv,Continuity_results_v3_1/csv/analysis_population_summary.csv,TRUE,ok
csv,em_only_exclusion_summary.csv,Continuity_results_v3_1/csv/em_only_exclusion_summary.csv,TRUE,ok
csv,activity_domain_availability.csv,Continuity_results_v3_1/csv/activity_domain_availability.csv,TRUE,ok
csv,landscape_unit_overview.csv,Continuity_results_v3_1/csv/landscape_unit_overview.csv,TRUE,ok
csv,chronology_phase_table.csv,Continuity_results_v3_1/csv/chronology_phase_table.csv,TRUE,ok
csv,place_phase_long.csv,Continuity_results_v3_1/csv/place_phase_long.csv,TRUE,ok
csv,place_phase_sequence_wide.csv,Continuity_results_v3_1/csv/place_phase_sequence_wide.csv,TRUE,ok
csv,place_run_events.csv,Continuity_results_v3_1/csv/place_run_events.csv,TRUE,ok
csv,place_gap_events.csv,Continuity_results_v3_1/csv/place_gap_events.csv,TRUE,ok
csv,sequence_class_definition.csv,Continuity_results_v3_1/csv/sequence_class_definition.csv,TRUE,ok
csv,continuity_weight_sets.csv,Continuity_results_v3_1/csv/continuity_weight_sets.csv,TRUE,ok
csv,continuity_weight_scores.csv,Continuity_results_v3_1/csv/continuity_weight_scores.csv,TRUE,ok
csv,continuity_weight_robustness.csv,Continuity_results_v3_1/csv/continuity_weight_robustness.csv,TRUE,ok
csv,continuity_weight_place_sensitivity.csv,Continuity_results_v3_1/csv/continuity_weight_place_sensitivity.csv,TRUE,ok
csv,place_continuity_summary.csv,Continuity_results_v3_1/csv/place_continuity_summary.csv,TRUE,ok
csv,run_gap_by_activity_domain.csv,Continuity_results_v3_1/csv/run_gap_by_activity_domain.csv,TRUE,ok
csv,run_gap_by_landscape_unit.csv,Continuity_results_v3_1/csv/run_gap_by_landscape_unit.csv,TRUE,ok
csv,sequence_pattern_frequency.csv,Continuity_results_v3_1/csv/sequence_pattern_frequency.csv,TRUE,ok
csv,sequence_cluster_k_evaluation.csv,Continuity_results_v3_1/csv/sequence_cluster_k_evaluation.csv,TRUE,ok
csv,sequence_cluster_selection.csv,Continuity_results_v3_1/csv/sequence_cluster_selection.csv,TRUE,ok
csv,sequence_pattern_cluster.csv,Continuity_results_v3_1/csv/sequence_pattern_cluster.csv,TRUE,ok
