scheme,phase_a,phase_b,js_divergence,hellinger_distance
landform,Pa,Jo,0.028996215616758924,0.14410455857747384
landform,Pa,Ya,0.022326744477772397,0.13764593685895202
landform,Pa,Ko,0.03120242327624329,0.16037729487198094
landform,Pa,Na,0.06926736169471652,0.22924597265675742
landform,Pa,He,0.06941245137258717,0.2274016850427069
landform,Pa,Me,0.06808853735463685,0.23453034872569595
landform,Jo,Ya,0.03778897207678407,0.16381026012245062
landform,Jo,Ko,0.05295990695729945,0.19406960918968988
landform,Jo,Na,0.016210391167504584,0.10885207507500749
landform,Jo,He,0.01286030583057818,0.09611179173479292
landform,Jo,Me,0.030202022826493438,0.15035039290166394
landform,Ya,Ko,0.008567055126684061,0.08281379527298632
landform,Ya,Na,0.05428601397997626,0.19558412088963723
landform,Ya,He,0.0638526204076061,0.2124468455413653
landform,Ya,Me,0.03884875126470533,0.16813778992776876
landform,Ko,Na,0.06359463581823044,0.21140372791492237
landform,Ko,He,0.07920954114688011,0.23626243650379453
landform,Ko,Me,0.046653482110402614,0.18171927891572257
landform,Na,He,0.004103573414558491,0.054916947316045996
landform,Na,Me,0.011463952560699701,0.0910726821269428
landform,He,Me,0.018594817833759516,0.11442878765389373
watersystem,Pa,Jo,0.030586849892685352,0.14735626385746275
watersystem,Pa,Ya,0.042444697789689526,0.1777976063695167
watersystem,Pa,Ko,0.042013221708841766,0.18068450948418519
watersystem,Pa,Na,0.10275294504872791,0.27424404775258915
watersystem,Pa,He,0.08897096474151556,0.2538671596062481
watersystem,Pa,Me,0.048570643749106794,0.1943269612002255
watersystem,Jo,Ya,0.04310521329342146,0.1744245848729189
watersystem,Jo,Ko,0.025851366904523727,0.13754120953342666
watersystem,Jo,Na,0.028018542055912532,0.14103227510295963
watersystem,Jo,He,0.026224456057940368,0.13615226731720165
watersystem,Jo,Me,0.0219387869003011,0.12797071310747735
watersystem,Ya,Ko,0.06764131284172076,0.2175718427308734
watersystem,Ya,Na,0.10148164320709116,0.26759698462472864
watersystem,Ya,He,0.10867016828386279,0.2773886561548329
watersystem,Ya,Me,0.07524909432960267,0.23001035452963312
watersystem,Ko,Na,0.04578571029191823,0.17989495367106265
watersystem,Ko,He,0.04469764420886386,0.178339894556113
watersystem,Ko,Me,0.0030884074100437633,0.04633908256110431
watersystem,Na,He,0.005964270859549265,0.06454989586069743
watersystem,Na,Me,0.03271778761861873,0.15167512337614134
watersystem,He,Me,0.030990114647352202,0.1481617710499067
unit_basin,Pa,Jo,0.12276455197589328,0.3138476977868441
unit_basin,Pa,Ya,0.18838172625284855,0.3851035549405093
unit_basin,Pa,Ko,0.2306667173931209,0.4316534635287888
unit_basin,Pa,Na,0.2169353044352273,0.41585032039582925
unit_basin,Pa,He,0.23251364485104273,0.425758013527905
unit_basin,Pa,Me,0.18880320013394444,0.3969316338846161
unit_basin,Jo,Ya,0.16756335247009857,0.3651269699126547
unit_basin,Jo,Ko,0.20378304521608914,0.403222673161211
unit_basin,Jo,Na,0.09998848561358736,0.28660861546788974
unit_basin,Jo,He,0.08564129979774128,0.2581774080571681
unit_basin,Jo,Me,0.10986050434903671,0.30550721931847696
unit_basin,Ya,Ko,0.16466208019090878,0.36862862572672633
unit_basin,Ya,Na,0.19583168655225888,0.3867639429447053
unit_basin,Ya,He,0.23659759937909364,0.4268367181130703
unit_basin,Ya,Me,0.1915644651680269,0.39251174145599244
unit_basin,Ko,Na,0.18078336818677013,0.36901701233310324
unit_basin,Ko,He,0.2365376234933007,0.428863101452271
unit_basin,Ko,Me,0.15915682806101467,0.3537036798419725
unit_basin,Na,He,0.04704425257886183,0.1953286898680559
unit_basin,Na,Me,0.08213364661925113,0.2556262813939621
unit_basin,He,Me,0.09512235641360148,0.2754091759683179
watersystem_x_unit_basin_x_landform,Pa,Jo,0.16546123747420266,0.3702585221953497
watersystem_x_unit_basin_x_landform,Pa,Ya,0.2700448601658061,0.48756856547831734
watersystem_x_unit_basin_x_landform,Pa,Ko,0.31471573825789345,0.5233079849556636
watersystem_x_unit_basin_x_landform,Pa,Na,0.2933507907046685,0.5028300381666669
watersystem_x_unit_basin_x_landform,Pa,He,0.29751934159921356,0.4986036616137836
watersystem_x_unit_basin_x_landform,Pa,Me,0.27332569329542494,0.49604969244560987
watersystem_x_unit_basin_x_landform,Jo,Ya,0.21818356847388404,0.42634147860899196
watersystem_x_unit_basin_x_landform,Jo,Ko,0.2413146186685058,0.44669312717943277
watersystem_x_unit_basin_x_landform,Jo,Na,0.1290151074769743,0.33366479891496253
watersystem_x_unit_basin_x_landform,Jo,He,0.10781371677750873,0.29680736743254604
watersystem_x_unit_basin_x_landform,Jo,Me,0.16216782314365671,0.37928015565374124
watersystem_x_unit_basin_x_landform,Ya,Ko,0.2372684024001257,0.4574423764283399
watersystem_x_unit_basin_x_landform,Ya,Na,0.275158984384891,0.4822972294817289
watersystem_x_unit_basin_x_landform,Ya,He,0.31009728433730266,0.5101835592131063
watersystem_x_unit_basin_x_landform,Ya,Me,0.28551065512762197,0.5008451164980661
watersystem_x_unit_basin_x_landform,Ko,Na,0.22209732311716177,0.4205321235639005
watersystem_x_unit_basin_x_landform,Ko,He,0.28830334687930437,0.48803864717634216
watersystem_x_unit_basin_x_landform,Ko,Me,0.24475857794755188,0.4574550988804035
watersystem_x_unit_basin_x_landform,Na,He,0.0693243668875049,0.24467995205180812
watersystem_x_unit_basin_x_landform,Na,Me,0.1443926300297269,0.3544646682621748
watersystem_x_unit_basin_x_landform,He,Me,0.15128132897311827,0.36073728042856307
