scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_22_LF_CLASS::台地・段丘,多摩川 / basin 22 / 台地・段丘,5,691,0.00723589001447178
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_25_LF_CLASS::台地・段丘,多摩川 / basin 25 / 台地・段丘,5,691,0.00723589001447178
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_35_LF_CLASS::台地・段丘,多摩川 / basin 35 / 台地・段丘,5,691,0.00723589001447178
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_40_LF_CLASS::山地斜面等,多摩川 / basin 40 / 山地斜面等,5,691,0.00723589001447178
watersystem_x_unit_basin_x_landform,Pa,1,B_830306_21_LF_CLASS::山地斜面等,鶴見川 / basin 21 / 山地斜面等,5,691,0.00723589001447178
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_27_LF_CLASS::台地・段丘,荒川 / basin 27 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_42_LF_CLASS::台地・段丘,荒川 / basin 42 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_52_LF_CLASS::山地斜面等,荒川 / basin 52 / 山地斜面等,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_55_LF_CLASS::台地・段丘,荒川 / basin 55 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_68_LF_CLASS::台地・段丘,荒川 / basin 68 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_80_LF_CLASS::山地斜面等,荒川 / basin 80 / 山地斜面等,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_86_LF_CLASS::台地・段丘,荒川 / basin 86 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_86_LF_CLASS::山地斜面等,荒川 / basin 86 / 山地斜面等,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_18_LF_CLASS::山地斜面等,多摩川 / basin 18 / 山地斜面等,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_20_LF_CLASS::台地・段丘,多摩川 / basin 20 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_22_LF_CLASS::山麓堆積地形,多摩川 / basin 22 / 山麓堆積地形,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_23_LF_CLASS::台地・段丘,多摩川 / basin 23 / 台地・段丘,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_35_LF_CLASS::山地斜面等,多摩川 / basin 35 / 山地斜面等,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_unknown_0_LF_CLASS::山地斜面等,古川・目黒川・立会川・呑川 / basin 0 / 山地斜面等,4,691,0.005788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_140013_17_LF_CLASS::氾濫平野・海岸平野,境川 / basin 17 / 氾濫平野・海岸平野,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_140013_19_LF_CLASS::山地斜面等,境川 / basin 19 / 山地斜面等,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_37_LF_CLASS::台地・段丘,荒川 / basin 37 / 台地・段丘,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_39_LF_CLASS::台地・段丘,荒川 / basin 39 / 台地・段丘,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_47_LF_CLASS::凹地・浅い谷,荒川 / basin 47 / 凹地・浅い谷,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_53_LF_CLASS::台地・段丘,荒川 / basin 53 / 台地・段丘,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_53_LF_CLASS::山地斜面等,荒川 / basin 53 / 山地斜面等,3,691,0.004341534008683068
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_56_LF_CLASS::台地・段丘,荒川 / basin 56 / 台地・段丘,3,691,0.004341534008683068
