scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share,baseline_place_count,baseline_total,baseline_share,phase_share_minus_baseline,relative_concentration_ratio,interpretation_class,selection_inference_allowed
watersystem,Ya,3,WS_130000,130000 / 名称不明,55,647,0.08500772797527048,168,5479,0.03066252965869684,0.05434519831657364,2.772365128431589,higher_than_archaeological_sample,FALSE
watersystem,Ya,3,WS_140013,140013 / 境川,26,647,0.0401854714064915,263,5479,0.048001460120459936,-0.007815988713968436,0.8371718548903686,similar_to_archaeological_sample,FALSE
watersystem,Ya,3,WS_830303,830303 / 利根川,8,647,0.012364760432766615,54,5479,0.009855813104581128,0.0025089473281854867,1.2545652298357088,higher_than_archaeological_sample,FALSE
watersystem,Ko,4,WS_830305,830305 / 多摩川,887,1637,0.5418448381185095,2664,5479,0.48622011315933567,0.05562472495917381,1.1144023528721145,similar_to_archaeological_sample,FALSE
watersystem,Ko,4,WS_830304,830304 / 荒川,340,1637,0.20769700671960903,1263,5479,0.23051651761270306,-0.02281951089309403,0.9010070465690719,similar_to_archaeological_sample,FALSE
watersystem,Ko,4,WS_unknown,unknown / 古川・目黒川・立会川・呑川,138,1637,0.08430054978619425,424,5479,0.07738638437671108,0.0069141654094831695,1.0893460195249016,similar_to_archaeological_sample,FALSE
watersystem,Ko,4,WS_830306,830306 / 鶴見川,107,1637,0.06536346976175932,642,5479,0.11717466691002007,-0.051811197148260754,0.5578293626552637,lower_than_archaeological_sample,FALSE
watersystem,Ko,4,WS_140013,140013 / 境川,68,1637,0.04153940134392181,263,5479,0.048001460120459936,-0.006462058776538125,0.8653778705830708,similar_to_archaeological_sample,FALSE
watersystem,Ko,4,WS_130000,130000 / 名称不明,61,1637,0.03726328649969456,168,5479,0.03066252965869684,0.006600756840997722,1.2152711114989674,similar_to_archaeological_sample,FALSE
watersystem,Ko,4,WS_830303,830303 / 利根川,36,1637,0.021991447770311544,54,5479,0.009855813104581128,0.012135634665730416,2.2313174506210545,higher_than_archaeological_sample,FALSE
watersystem,Na,5,WS_830305,830305 / 多摩川,820,1705,0.4809384164222874,2664,5479,0.48622011315933567,-0.005281696737048258,0.9891372310727149,similar_to_archaeological_sample,FALSE
watersystem,Na,5,WS_830306,830306 / 鶴見川,327,1705,0.19178885630498535,642,5479,0.11717466691002007,0.07461418939496528,1.6367774823909889,higher_than_archaeological_sample,FALSE
watersystem,Na,5,WS_830304,830304 / 荒川,240,1705,0.14076246334310852,1263,5479,0.23051651761270306,-0.08975405426959454,0.6106393797758445,lower_than_archaeological_sample,FALSE
watersystem,Na,5,WS_140013,140013 / 境川,176,1705,0.1032258064516129,263,5479,0.048001460120459936,0.05522434633115297,2.15047221881516,higher_than_archaeological_sample,FALSE
watersystem,Na,5,WS_unknown,unknown / 古川・目黒川・立会川・呑川,74,1705,0.04340175953079179,424,5479,0.07738638437671108,-0.03398462484591929,0.5608449067670005,lower_than_archaeological_sample,FALSE
watersystem,Na,5,WS_130000,130000 / 名称不明,44,1705,0.025806451612903226,168,5479,0.03066252965869684,-0.004856078045793615,0.8416282642089095,similar_to_archaeological_sample,FALSE
watersystem,Na,5,WS_830303,830303 / 利根川,23,1705,0.013489736070381233,54,5479,0.009855813104581128,0.0036339229658001043,1.3687085912892365,higher_than_archaeological_sample,FALSE
watersystem,Na,5,WS_120000,120000 / 名称不明,1,1705,5.865102639296188e-4,1,5479,1.825150574922431e-4,4.0399520643737564e-4,3.2134897360703816,higher_than_archaeological_sample,FALSE
watersystem,He,6,WS_830305,830305 / 多摩川,1147,2174,0.5275988960441582,2664,5479,0.48622011315933567,0.04137878288482255,1.085102984769498,similar_to_archaeological_sample,FALSE
watersystem,He,6,WS_830306,830306 / 鶴見川,364,2174,0.16743330266789327,642,5479,0.11717466691002007,0.050258635757873205,1.4289206624881423,higher_than_archaeological_sample,FALSE
watersystem,He,6,WS_830304,830304 / 荒川,353,2174,0.1623735050597976,1263,5479,0.23051651761270306,-0.06814301255290545,0.7043898924961449,lower_than_archaeological_sample,FALSE
watersystem,He,6,WS_140013,140013 / 境川,197,2174,0.0906163753449862,263,5479,0.048001460120459936,0.04261491522452627,1.8877837281945986,higher_than_archaeological_sample,FALSE
watersystem,He,6,WS_130000,130000 / 名称不明,49,2174,0.022539098436062558,168,5479,0.03066252965869684,-0.008123431222634283,0.7350697638761117,lower_than_archaeological_sample,FALSE
watersystem,He,6,WS_unknown,unknown / 古川・目黒川・立会川・呑川,42,2174,0.019319227230910764,424,5479,0.07738638437671108,-0.05806715714580032,0.24964633490132093,lower_than_archaeological_sample,FALSE
watersystem,He,6,WS_830303,830303 / 利根川,21,2174,0.009659613615455382,54,5479,0.009855813104581128,-1.9619948912574618e-4,0.9800930185014821,similar_to_archaeological_sample,FALSE
watersystem,He,6,WS_120000,120000 / 名称不明,1,2174,4.5998160073597056e-4,1,5479,1.825150574922431e-4,2.7746654324372743e-4,2.520239190432383,higher_than_archaeological_sample,FALSE
watersystem,Me,7,WS_830305,830305 / 多摩川,560,1023,0.5474095796676441,2664,5479,0.48622011315933567,0.06118946650830848,1.1258472548795129,similar_to_archaeological_sample,FALSE
watersystem,Me,7,WS_830304,830304 / 荒川,206,1023,0.2013685239491691,1263,5479,0.23051651761270306,-0.02914799366353396,0.8735535571793329,similar_to_archaeological_sample,FALSE
watersystem,Me,7,WS_830306,830306 / 鶴見川,90,1023,0.08797653958944282,642,5479,0.11717466691002007,-0.02919812732057725,0.750815358894949,lower_than_archaeological_sample,FALSE
watersystem,Me,7,WS_unknown,unknown / 古川・目黒川・立会川・呑川,73,1023,0.07135874877810362,424,5479,0.07738638437671108,-0.006027635598607459,0.9221098692340324,similar_to_archaeological_sample,FALSE
