scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share
landform,He,6,LF_CLASS::凹地・浅い谷,凹地・浅い谷,27,2126,0.012699905926622766
landform,He,6,LF_CLASS::自然堤防,自然堤防,22,2126,0.010348071495766699
landform,He,6,LF_CLASS::砂州・砂丘,砂州・砂丘,21,2126,0.009877704609595485
landform,He,6,LF_CLASS::水部,水部,19,2126,0.008936970837253057
landform,He,6,LF_CLASS::崖・段丘崖,崖・段丘崖,15,2126,0.0070555032925682035
landform,He,6,LF_CLASS::後背低地・湿地,後背低地・湿地,8,2126,0.0037629350893697085
landform,He,6,LF_CLASS::旧河道,旧河道,5,2126,0.0023518344308560675
landform,He,6,LF_CLASS::扇状地,扇状地,2,2126,9.407337723424271e-4
landform,Me,7,LF_CLASS::台地・段丘,台地・段丘,381,995,0.3829145728643216
landform,Me,7,LF_CLASS::山地斜面等,山地斜面等,374,995,0.3758793969849246
landform,Me,7,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,131,995,0.13165829145728644
landform,Me,7,LF_CLASS::山麓堆積地形,山麓堆積地形,32,995,0.032160804020100506
landform,Me,7,LF_CLASS::自然堤防,自然堤防,23,995,0.023115577889447236
landform,Me,7,LF_CLASS::砂州・砂丘,砂州・砂丘,21,995,0.021105527638190954
landform,Me,7,LF_CLASS::崖・段丘崖,崖・段丘崖,10,995,0.010050251256281407
landform,Me,7,LF_CLASS::凹地・浅い谷,凹地・浅い谷,9,995,0.009045226130653266
landform,Me,7,LF_CLASS::後背低地・湿地,後背低地・湿地,6,995,0.006030150753768844
landform,Me,7,LF_CLASS::旧河道,旧河道,5,995,0.005025125628140704
landform,Me,7,LF_CLASS::扇状地,扇状地,2,995,0.0020100502512562816
landform,Me,7,LF_CLASS::水部,水部,1,995,0.0010050251256281408
