group_id,group_label,total_presence_records,mean_presence_count,sd_presence_count,max_presence_count,peak_phase,peak_phase_count,mean_phase_share,max_phase_share,active_phase_count,run_count,longest_run_length,gap_count,gap_phase_count,first_active_phase_order,last_active_phase_order,trajectory_class,interpretation_status
B_120000_6_LF_CLASS::台地・段丘,名称不明 / basin 6 / 台地・段丘,3,0.42857142857142855,0.5345224838248487,1,Jo,1,1.914160362862488e-4,5.959475566150178e-4,3,2,2,1,2,2,6,intermittent_gap1,low_n_descriptive_only
B_130000_1_LF_CLASS::台地・段丘,名称不明 / basin 1 / 台地・段丘,45,6.428571428571429,4.7207747548166585,12,Ya,12,0.00522882884525076,0.01866251944012442,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::崖・段丘崖,名称不明 / basin 1 / 崖・段丘崖,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_130000_1_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 1 / 氾濫平野・海岸平野,3,0.42857142857142855,0.7867957924694431,2,Ya,2,4.8343110255784474e-4,0.003110419906687403,2,1,2,0,0,2,3,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::凹地・浅い谷,名称不明 / basin 2 / 凹地・浅い谷,2,0.2857142857142857,0.48795003647426666,1,Pa,1,2.458251163016952e-4,0.001447178002894356,2,1,2,0,0,1,2,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::台地・段丘,名称不明 / basin 2 / 台地・段丘,2,0.2857142857142857,0.48795003647426666,1,Jo,1,2.6125825208017314e-4,0.0015552099533437014,2,1,2,0,0,2,3,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,名称不明 / basin 2 / 山地斜面等,5,0.7142857142857143,0.7559289460184545,2,Jo,2,5.742786378348988e-4,0.0015552099533437014,4,2,3,1,2,1,6,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 2 / 氾濫平野・海岸平野,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,名称不明 / basin 3 / 凹地・浅い谷,4,0.5714285714285714,1.1338934190276817,3,Jo,3,3.2399591950669815e-4,0.001447178002894356,2,1,2,0,0,1,2,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,名称不明 / basin 3 / 台地・段丘,11,1.5714285714285714,3.3094381626464866,9,Jo,9,7.806811795993785e-4,0.0024623803009575923,3,1,3,0,0,1,3,continuous_3_4phase,low_n_descriptive_only
