activity_domain,phase_code,phase_order,scheme,group_id,group_label,presence_count,phase_domain_total,phase_domain_share
general_activity,Pa,1,landform,LF_CLASS::旧河道,旧河道,1,691,0.001447178002894356
general_activity,Pa,1,landform,LF_CLASS::水部,水部,7,691,0.010130246020260492
general_activity,Pa,1,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,33,691,0.04775687409551375
general_activity,Ya,3,landform,LF_CLASS::凹地・浅い谷,凹地・浅い谷,9,626,0.01437699680511182
general_activity,Ya,3,landform,LF_CLASS::台地・段丘,台地・段丘,364,626,0.5814696485623003
general_activity,Ya,3,landform,LF_CLASS::山地斜面等,山地斜面等,167,626,0.26677316293929715
general_activity,Ya,3,landform,LF_CLASS::山麓堆積地形,山麓堆積地形,5,626,0.007987220447284345
general_activity,Ya,3,landform,LF_CLASS::崖・段丘崖,崖・段丘崖,7,626,0.011182108626198083
general_activity,Ya,3,landform,LF_CLASS::後背低地・湿地,後背低地・湿地,5,626,0.007987220447284345
general_activity,Ya,3,landform,LF_CLASS::水部,水部,2,626,0.003194888178913738
general_activity,Ya,3,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,54,626,0.08626198083067092
general_activity,Ya,3,landform,LF_CLASS::砂州・砂丘,砂州・砂丘,5,626,0.007987220447284345
general_activity,Ya,3,landform,LF_CLASS::自然堤防,自然堤防,8,626,0.012779552715654952
institutional,He,6,landform,LF_CLASS::台地・段丘,台地・段丘,3,5,0.6
institutional,He,6,landform,LF_CLASS::山地斜面等,山地斜面等,2,5,0.4
institutional,Me,7,landform,LF_CLASS::台地・段丘,台地・段丘,55,127,0.4330708661417323
institutional,Me,7,landform,LF_CLASS::山地斜面等,山地斜面等,47,127,0.3700787401574803
institutional,Me,7,landform,LF_CLASS::山麓堆積地形,山麓堆積地形,2,127,0.015748031496062992
institutional,Me,7,landform,LF_CLASS::崖・段丘崖,崖・段丘崖,3,127,0.023622047244094488
institutional,Me,7,landform,LF_CLASS::後背低地・湿地,後背低地・湿地,1,127,0.007874015748031496
institutional,Me,7,landform,LF_CLASS::扇状地,扇状地,1,127,0.007874015748031496
institutional,Me,7,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,11,127,0.08661417322834646
institutional,Me,7,landform,LF_CLASS::砂州・砂丘,砂州・砂丘,5,127,0.03937007874015748
institutional,Me,7,landform,LF_CLASS::自然堤防,自然堤防,2,127,0.015748031496062992
institutional,Na,5,landform,LF_CLASS::山地斜面等,山地斜面等,1,4,0.25
institutional,Na,5,landform,LF_CLASS::後背低地・湿地,後背低地・湿地,1,4,0.25
institutional,Na,5,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,1,4,0.25
institutional,Na,5,landform,LF_CLASS::砂州・砂丘,砂州・砂丘,1,4,0.25
monument,Ko,4,landform,LF_CLASS::凹地・浅い谷,凹地・浅い谷,7,682,0.010263929618768328
monument,Ko,4,landform,LF_CLASS::台地・段丘,台地・段丘,441,682,0.6466275659824047
monument,Ko,4,landform,LF_CLASS::山地斜面等,山地斜面等,124,682,0.18181818181818182
monument,Ko,4,landform,LF_CLASS::崖・段丘崖,崖・段丘崖,53,682,0.07771260997067449
monument,Ko,4,landform,LF_CLASS::旧河道,旧河道,4,682,0.005865102639296188
monument,Ko,4,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,39,682,0.05718475073313783
monument,Ko,4,landform,LF_CLASS::砂州・砂丘,砂州・砂丘,6,682,0.008797653958944282
monument,Ko,4,landform,LF_CLASS::自然堤防,自然堤防,8,682,0.011730205278592375
monument,Me,7,landform,LF_CLASS::台地・段丘,台地・段丘,28,70,0.4
monument,Me,7,landform,LF_CLASS::山地斜面等,山地斜面等,27,70,0.38571428571428573
monument,Me,7,landform,LF_CLASS::旧河道,旧河道,1,70,0.014285714285714285
monument,Me,7,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,7,70,0.1
monument,Me,7,landform,LF_CLASS::砂州・砂丘,砂州・砂丘,3,70,0.04285714285714286
monument,Me,7,landform,LF_CLASS::自然堤防,自然堤防,4,70,0.05714285714285714
monument,Ya,3,landform,LF_CLASS::台地・段丘,台地・段丘,29,40,0.725
monument,Ya,3,landform,LF_CLASS::山地斜面等,山地斜面等,9,40,0.225
monument,Ya,3,landform,LF_CLASS::崖・段丘崖,崖・段丘崖,1,40,0.025
monument,Ya,3,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,1,40,0.025
production,He,6,landform,LF_CLASS::台地・段丘,台地・段丘,5,97,0.05154639175257732
production,He,6,landform,LF_CLASS::山地斜面等,山地斜面等,85,97,0.8762886597938144
production,He,6,landform,LF_CLASS::山麓堆積地形,山麓堆積地形,2,97,0.020618556701030927
production,He,6,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,4,97,0.041237113402061855
production,He,6,landform,LF_CLASS::自然堤防,自然堤防,1,97,0.010309278350515464
production,Ko,4,landform,LF_CLASS::台地・段丘,台地・段丘,3,7,0.42857142857142855
production,Ko,4,landform,LF_CLASS::山地斜面等,山地斜面等,1,7,0.14285714285714285
production,Ko,4,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,2,7,0.2857142857142857
production,Ko,4,landform,LF_CLASS::自然堤防,自然堤防,1,7,0.14285714285714285
production,Me,7,landform,LF_CLASS::台地・段丘,台地・段丘,5,15,0.3333333333333333
production,Me,7,landform,LF_CLASS::山地斜面等,山地斜面等,8,15,0.5333333333333333
production,Me,7,landform,LF_CLASS::山麓堆積地形,山麓堆積地形,1,15,0.06666666666666667
production,Me,7,landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,1,15,0.06666666666666667
production,Na,5,landform,LF_CLASS::台地・段丘,台地・段丘,2,8,0.25
production,Na,5,landform,LF_CLASS::山地斜面等,山地斜面等,6,8,0.75
general_activity,He,6,watersystem,WS_120000,120000 / 名称不明,1,2037,4.909180166912126e-4
general_activity,He,6,watersystem,WS_130000,130000 / 名称不明,28,2037,0.013745704467353952
general_activity,He,6,watersystem,WS_140013,140013 / 境川,179,2037,0.08787432498772704
general_activity,He,6,watersystem,WS_830303,830303 / 利根川,21,2037,0.010309278350515464
general_activity,He,6,watersystem,WS_830304,830304 / 荒川,336,2037,0.16494845360824742
general_activity,He,6,watersystem,WS_830305,830305 / 多摩川,1071,2037,0.5257731958762887
general_activity,He,6,watersystem,WS_830306,830306 / 鶴見川,362,2037,0.17771232204221896
general_activity,He,6,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,39,2037,0.01914580265095729
general_activity,Jo,2,watersystem,WS_120000,120000 / 名称不明,1,3846,2.6001040041601667e-4
general_activity,Jo,2,watersystem,WS_130000,130000 / 名称不明,126,3846,0.0327613104524181
general_activity,Jo,2,watersystem,WS_140013,140013 / 境川,205,3846,0.053302132085283414
general_activity,Jo,2,watersystem,WS_830303,830303 / 利根川,4,3846,0.0010400416016640667
general_activity,Jo,2,watersystem,WS_830304,830304 / 荒川,1002,3846,0.26053042121684866
general_activity,Jo,2,watersystem,WS_830305,830305 / 多摩川,1739,3846,0.45215808632345295
general_activity,Jo,2,watersystem,WS_830306,830306 / 鶴見川,539,3846,0.14014560582423297
general_activity,Jo,2,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,230,3846,0.059802392095683825
general_activity,Ko,4,watersystem,WS_130000,130000 / 名称不明,46,966,0.047619047619047616
general_activity,Ko,4,watersystem,WS_140013,140013 / 境川,57,966,0.059006211180124224
general_activity,Ko,4,watersystem,WS_830303,830303 / 利根川,20,966,0.020703933747412008
general_activity,Ko,4,watersystem,WS_830304,830304 / 荒川,309,966,0.3198757763975155
general_activity,Ko,4,watersystem,WS_830305,830305 / 多摩川,409,966,0.42339544513457555
general_activity,Ko,4,watersystem,WS_830306,830306 / 鶴見川,88,966,0.09109730848861283
general_activity,Ko,4,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,37,966,0.038302277432712216
general_activity,Me,7,watersystem,WS_130000,130000 / 名称不明,16,794,0.020151133501259445
general_activity,Me,7,watersystem,WS_140013,140013 / 境川,40,794,0.05037783375314862
general_activity,Me,7,watersystem,WS_830303,830303 / 利根川,21,794,0.02644836272040302
general_activity,Me,7,watersystem,WS_830304,830304 / 荒川,165,794,0.20780856423173805
general_activity,Me,7,watersystem,WS_830305,830305 / 多摩川,441,794,0.5554156171284634
general_activity,Me,7,watersystem,WS_830306,830306 / 鶴見川,76,794,0.09571788413098237
general_activity,Me,7,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,35,794,0.04408060453400504
general_activity,Na,5,watersystem,WS_120000,120000 / 名称不明,1,1639,6.101281269066504e-4
general_activity,Na,5,watersystem,WS_130000,130000 / 名称不明,23,1639,0.014032946918852958
general_activity,Na,5,watersystem,WS_140013,140013 / 境川,173,1639,0.10555216595485052
general_activity,Na,5,watersystem,WS_830303,830303 / 利根川,23,1639,0.014032946918852958
general_activity,Na,5,watersystem,WS_830304,830304 / 荒川,221,1639,0.13483831604636973
general_activity,Na,5,watersystem,WS_830305,830305 / 多摩川,804,1639,0.4905430140329469
general_activity,Na,5,watersystem,WS_830306,830306 / 鶴見川,324,1639,0.19768151311775473
general_activity,Na,5,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,70,1639,0.04270896888346553
general_activity,Pa,1,watersystem,WS_130000,130000 / 名称不明,22,694,0.03170028818443804
general_activity,Pa,1,watersystem,WS_140013,140013 / 境川,24,694,0.0345821325648415
general_activity,Pa,1,watersystem,WS_830304,830304 / 荒川,279,694,0.4020172910662824
general_activity,Pa,1,watersystem,WS_830305,830305 / 多摩川,297,694,0.42795389048991356
general_activity,Pa,1,watersystem,WS_830306,830306 / 鶴見川,33,694,0.04755043227665706
general_activity,Pa,1,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,39,694,0.056195965417867436
general_activity,Ya,3,watersystem,WS_130000,130000 / 名称不明,53,630,0.08412698412698413
general_activity,Ya,3,watersystem,WS_140013,140013 / 境川,26,630,0.04126984126984127
general_activity,Ya,3,watersystem,WS_830303,830303 / 利根川,8,630,0.012698412698412698
general_activity,Ya,3,watersystem,WS_830304,830304 / 荒川,243,630,0.38571428571428573
general_activity,Ya,3,watersystem,WS_830305,830305 / 多摩川,170,630,0.2698412698412698
general_activity,Ya,3,watersystem,WS_830306,830306 / 鶴見川,74,630,0.11746031746031746
general_activity,Ya,3,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,56,630,0.08888888888888889
institutional,He,6,watersystem,WS_130000,130000 / 名称不明,3,5,0.6
institutional,He,6,watersystem,WS_830305,830305 / 多摩川,1,5,0.2
institutional,He,6,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,1,5,0.2
institutional,Me,7,watersystem,WS_130000,130000 / 名称不明,1,142,0.007042253521126761
institutional,Me,7,watersystem,WS_140013,140013 / 境川,1,142,0.007042253521126761
institutional,Me,7,watersystem,WS_830303,830303 / 利根川,3,142,0.02112676056338028
institutional,Me,7,watersystem,WS_830304,830304 / 荒川,33,142,0.2323943661971831
institutional,Me,7,watersystem,WS_830305,830305 / 多摩川,73,142,0.5140845070422535
institutional,Me,7,watersystem,WS_830306,830306 / 鶴見川,8,142,0.056338028169014086
institutional,Me,7,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,23,142,0.1619718309859155
institutional,Na,5,watersystem,WS_130000,130000 / 名称不明,1,5,0.2
institutional,Na,5,watersystem,WS_830304,830304 / 荒川,2,5,0.4
institutional,Na,5,watersystem,WS_830305,830305 / 多摩川,1,5,0.2
institutional,Na,5,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,1,5,0.2
monument,Ko,4,watersystem,WS_130000,130000 / 名称不明,17,684,0.024853801169590642
monument,Ko,4,watersystem,WS_140013,140013 / 境川,10,684,0.014619883040935672
monument,Ko,4,watersystem,WS_830303,830303 / 利根川,17,684,0.024853801169590642
monument,Ko,4,watersystem,WS_830304,830304 / 荒川,38,684,0.05555555555555555
monument,Ko,4,watersystem,WS_830305,830305 / 多摩川,484,684,0.7076023391812866
monument,Ko,4,watersystem,WS_830306,830306 / 鶴見川,18,684,0.02631578947368421
monument,Ko,4,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,100,684,0.14619883040935672
monument,Me,7,watersystem,WS_130000,130000 / 名称不明,1,71,0.014084507042253521
monument,Me,7,watersystem,WS_140013,140013 / 境川,2,71,0.028169014084507043
monument,Me,7,watersystem,WS_830303,830303 / 利根川,3,71,0.04225352112676056
monument,Me,7,watersystem,WS_830304,830304 / 荒川,7,71,0.09859154929577464
monument,Me,7,watersystem,WS_830305,830305 / 多摩川,38,71,0.5352112676056338
monument,Me,7,watersystem,WS_830306,830306 / 鶴見川,6,71,0.08450704225352113
monument,Me,7,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,14,71,0.19718309859154928
monument,Ya,3,watersystem,WS_130000,130000 / 名称不明,2,40,0.05
monument,Ya,3,watersystem,WS_140013,140013 / 境川,1,40,0.025
monument,Ya,3,watersystem,WS_830304,830304 / 荒川,21,40,0.525
monument,Ya,3,watersystem,WS_830305,830305 / 多摩川,10,40,0.25
monument,Ya,3,watersystem,WS_830306,830306 / 鶴見川,3,40,0.075
monument,Ya,3,watersystem,WS_unknown,unknown / 古川・目黒川・立会川・呑川,3,40,0.075
production,He,6,watersystem,WS_140013,140013 / 境川,17,97,0.17525773195876287
production,He,6,watersystem,WS_830303,830303 / 利根川,1,97,0.010309278350515464
production,He,6,watersystem,WS_830304,830304 / 荒川,3,97,0.030927835051546393
production,He,6,watersystem,WS_830305,830305 / 多摩川,75,97,0.7731958762886598
production,He,6,watersystem,WS_830306,830306 / 鶴見川,1,97,0.010309278350515464
production,Ko,4,watersystem,WS_140013,140013 / 境川,1,7,0.14285714285714285
production,Ko,4,watersystem,WS_830303,830303 / 利根川,2,7,0.2857142857142857
production,Ko,4,watersystem,WS_830305,830305 / 多摩川,4,7,0.5714285714285714
production,Me,7,watersystem,WS_140013,140013 / 境川,1,16,0.0625
production,Me,7,watersystem,WS_830305,830305 / 多摩川,14,16,0.875
production,Me,7,watersystem,WS_830306,830306 / 鶴見川,1,16,0.0625
production,Na,5,watersystem,WS_140013,140013 / 境川,2,8,0.25
production,Na,5,watersystem,WS_830305,830305 / 多摩川,4,8,0.5
production,Na,5,watersystem,WS_830306,830306 / 鶴見川,2,8,0.25
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_120000_6_LF_CLASS::台地・段丘,名称不明 / basin 6 / 台地・段丘,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_1_LF_CLASS::台地・段丘,名称不明 / basin 1 / 台地・段丘,4,1989,0.002011060834590246
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_2_LF_CLASS::山地斜面等,名称不明 / basin 2 / 山地斜面等,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_4_LF_CLASS::台地・段丘,名称不明 / basin 4 / 台地・段丘,5,1989,0.002513826043237808
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_4_LF_CLASS::後背低地・湿地,名称不明 / basin 4 / 後背低地・湿地,2,1989,0.001005530417295123
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_5_LF_CLASS::台地・段丘,名称不明 / basin 5 / 台地・段丘,10,1989,0.005027652086475616
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_5_LF_CLASS::山地斜面等,名称不明 / basin 5 / 山地斜面等,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_5_LF_CLASS::後背低地・湿地,名称不明 / basin 5 / 後背低地・湿地,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_5_LF_CLASS::水部,名称不明 / basin 5 / 水部,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_6_LF_CLASS::台地・段丘,名称不明 / basin 6 / 台地・段丘,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_6_LF_CLASS::山地斜面等,名称不明 / basin 6 / 山地斜面等,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_130000_6_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 6 / 氾濫平野・海岸平野,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_17_LF_CLASS::台地・段丘,境川 / basin 17 / 台地・段丘,31,1989,0.01558572146807441
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_17_LF_CLASS::山地斜面等,境川 / basin 17 / 山地斜面等,101,1989,0.05077928607340372
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_17_LF_CLASS::山麓堆積地形,境川 / basin 17 / 山麓堆積地形,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_17_LF_CLASS::氾濫平野・海岸平野,境川 / basin 17 / 氾濫平野・海岸平野,31,1989,0.01558572146807441
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_19_LF_CLASS::台地・段丘,境川 / basin 19 / 台地・段丘,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_19_LF_CLASS::山地斜面等,境川 / basin 19 / 山地斜面等,10,1989,0.005027652086475616
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_140013_19_LF_CLASS::氾濫平野・海岸平野,境川 / basin 19 / 氾濫平野・海岸平野,3,1989,0.0015082956259426848
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_345_LF_CLASS::自然堤防,利根川 / basin 345 / 自然堤防,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_347_LF_CLASS::自然堤防,利根川 / basin 347 / 自然堤防,5,1989,0.002513826043237808
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_389_LF_CLASS::自然堤防,利根川 / basin 389 / 自然堤防,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_393_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 393 / 氾濫平野・海岸平野,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_393_LF_CLASS::自然堤防,利根川 / basin 393 / 自然堤防,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_427_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 427 / 氾濫平野・海岸平野,2,1989,0.001005530417295123
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_427_LF_CLASS::自然堤防,利根川 / basin 427 / 自然堤防,2,1989,0.001005530417295123
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_478_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 478 / 氾濫平野・海岸平野,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_478_LF_CLASS::自然堤防,利根川 / basin 478 / 自然堤防,2,1989,0.001005530417295123
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_517_LF_CLASS::旧河道,利根川 / basin 517 / 旧河道,2,1989,0.001005530417295123
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_517_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 517 / 氾濫平野・海岸平野,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830303_517_LF_CLASS::自然堤防,利根川 / basin 517 / 自然堤防,1,1989,5.027652086475615e-4
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830304_120_LF_CLASS::台地・段丘,荒川 / basin 120 / 台地・段丘,18,1989,0.00904977375565611
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830304_120_LF_CLASS::山地斜面等,荒川 / basin 120 / 山地斜面等,7,1989,0.003519356460532931
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830304_120_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 120 / 氾濫平野・海岸平野,5,1989,0.002513826043237808
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830304_15_LF_CLASS::台地・段丘,荒川 / basin 15 / 台地・段丘,2,1989,0.001005530417295123
general_activity,He,6,watersystem_x_unit_basin_x_landform,B_830304_15_LF_CLASS::砂州・砂丘,荒川 / basin 15 / 砂州・砂丘,1,1989,5.027652086475615e-4
