scheme,group_id,group_label,baseline_place_count,baseline_total,baseline_share
unit_basin,B_830304_56,荒川 / basin 56,19,5479,0.003467786092352619
unit_basin,B_830304_57,荒川 / basin 57,64,5479,0.011680963679503558
unit_basin,B_830304_61,荒川 / basin 61,42,5479,0.00766563241467421
unit_basin,B_830304_63,荒川 / basin 63,3,5479,5.475451724767294e-4
unit_basin,B_830304_67,荒川 / basin 67,72,5479,0.013141084139441504
unit_basin,B_830304_68,荒川 / basin 68,70,5479,0.012776054024457018
unit_basin,B_830304_69,荒川 / basin 69,30,5479,0.005475451724767293
unit_basin,B_830304_70,荒川 / basin 70,60,5479,0.010950903449534586
unit_basin,B_830304_77,荒川 / basin 77,3,5479,5.475451724767294e-4
unit_basin,B_830304_79,荒川 / basin 79,11,5479,0.002007665632414674
unit_basin,B_830304_80,荒川 / basin 80,68,5479,0.012411023909472532
unit_basin,B_830304_82,荒川 / basin 82,43,5479,0.007848147472166453
unit_basin,B_830304_83,荒川 / basin 83,25,5479,0.004562876437306078
unit_basin,B_830304_86,荒川 / basin 86,110,5479,0.020076656324146742
unit_basin,B_830304_87,荒川 / basin 87,18,5479,0.003285271034860376
unit_basin,B_830304_88,荒川 / basin 88,31,5479,0.005657966782259536
unit_basin,B_830304_98,荒川 / basin 98,2,5479,3.650301149844862e-4
unit_basin,B_830305_1,多摩川 / basin 1,6,5479,0.0010950903449534588
unit_basin,B_830305_10,多摩川 / basin 10,64,5479,0.011680963679503558
unit_basin,B_830305_101,多摩川 / basin 101,1,5479,1.825150574922431e-4
unit_basin,B_830305_12,多摩川 / basin 12,64,5479,0.011680963679503558
unit_basin,B_830305_13,多摩川 / basin 13,33,5479,0.006022996897244022
unit_basin,B_830305_14,多摩川 / basin 14,54,5479,0.009855813104581128
unit_basin,B_830305_16,多摩川 / basin 16,15,5479,0.0027377258623836466
unit_basin,B_830305_17,多摩川 / basin 17,110,5479,0.020076656324146742
unit_basin,B_830305_18,多摩川 / basin 18,125,5479,0.02281438218653039
unit_basin,B_830305_19,多摩川 / basin 19,130,5479,0.023726957473991603
unit_basin,B_830305_2,多摩川 / basin 2,73,5479,0.013323599196933747
unit_basin,B_830305_20,多摩川 / basin 20,33,5479,0.006022996897244022
unit_basin,B_830305_21,多摩川 / basin 21,2,5479,3.650301149844862e-4
unit_basin,B_830305_22,多摩川 / basin 22,239,5479,0.043621098740646104
unit_basin,B_830305_23,多摩川 / basin 23,215,5479,0.03924073736083227
unit_basin,B_830305_24,多摩川 / basin 24,7,5479,0.0012776054024457018
unit_basin,B_830305_25,多摩川 / basin 25,30,5479,0.005475451724767293
unit_basin,B_830305_26,多摩川 / basin 26,10,5479,0.001825150574922431
unit_basin,B_830305_27,多摩川 / basin 27,24,5479,0.004380361379813835
unit_basin,B_830305_28,多摩川 / basin 28,216,5479,0.03942325241832451
unit_basin,B_830305_29,多摩川 / basin 29,1,5479,1.825150574922431e-4
unit_basin,B_830305_3,多摩川 / basin 3,46,5479,0.008395692644643182
unit_basin,B_830305_30,多摩川 / basin 30,234,5479,0.04270852345318489
unit_basin,B_830305_31,多摩川 / basin 31,4,5479,7.300602299689724e-4
unit_basin,B_830305_32,多摩川 / basin 32,7,5479,0.0012776054024457018
unit_basin,B_830305_33,多摩川 / basin 33,51,5479,0.0093082679321044
unit_basin,B_830305_34,多摩川 / basin 34,45,5479,0.00821317758715094
unit_basin,B_830305_35,多摩川 / basin 35,76,5479,0.013871144369410476
unit_basin,B_830305_36,多摩川 / basin 36,91,5479,0.016608870231794123
unit_basin,B_830305_37,多摩川 / basin 37,10,5479,0.001825150574922431
unit_basin,B_830305_38,多摩川 / basin 38,5,5479,9.125752874612155e-4
unit_basin,B_830305_39,多摩川 / basin 39,4,5479,7.300602299689724e-4
unit_basin,B_830305_40,多摩川 / basin 40,63,5479,0.011498448622011315
unit_basin,B_830305_41,多摩川 / basin 41,10,5479,0.001825150574922431
unit_basin,B_830305_42,多摩川 / basin 42,26,5479,0.004745391494798321
unit_basin,B_830305_43,多摩川 / basin 43,63,5479,0.011498448622011315
unit_basin,B_830305_44,多摩川 / basin 44,15,5479,0.0027377258623836466
