phase_code,phase_order,phase_label_ja,phase_label_en
Pa,1,旧石器,Palaeolithic
Jo,2,縄文,Jomon
Ya,3,弥生,Yayoi
Ko,4,古墳,Kofun
Na,5,奈良,Nara
He,6,平安,Heian
Me,7,中世,Medieval
