group_id,phase_code,group_label,presence_count,phase_share,phase_order,unit_total_presence_records,within_unit_temporal_share,trajectory_class,interpretation_status
B_130000_2_LF_CLASS::台地・段丘,Ya,名称不明 / basin 2 / 台地・段丘,1,0.0015552099533437014,3,2,0.5,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::台地・段丘,Ko,名称不明 / basin 2 / 台地・段丘,0,0,4,2,0,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::台地・段丘,Na,名称不明 / basin 2 / 台地・段丘,0,0,5,2,0,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::台地・段丘,He,名称不明 / basin 2 / 台地・段丘,0,0,6,2,0,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::台地・段丘,Me,名称不明 / basin 2 / 台地・段丘,0,0,7,2,0,continuous_2phase,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,Pa,名称不明 / basin 2 / 山地斜面等,1,0.001447178002894356,1,5,0.2,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,Jo,名称不明 / basin 2 / 山地斜面等,2,5.471956224350205e-4,2,5,0.4,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,Ya,名称不明 / basin 2 / 山地斜面等,1,0.0015552099533437014,3,5,0.2,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,Ko,名称不明 / basin 2 / 山地斜面等,0,0,4,5,0,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,Na,名称不明 / basin 2 / 山地斜面等,0,0,5,5,0,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,He,名称不明 / basin 2 / 山地斜面等,1,4.7036688617121356e-4,6,5,0.2,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::山地斜面等,Me,名称不明 / basin 2 / 山地斜面等,0,0,7,5,0,intermittent_gap1,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,Pa,名称不明 / basin 2 / 氾濫平野・海岸平野,0,0,1,1,0,single_phase,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,Jo,名称不明 / basin 2 / 氾濫平野・海岸平野,1,2.7359781121751026e-4,2,1,1,single_phase,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,Ya,名称不明 / basin 2 / 氾濫平野・海岸平野,0,0,3,1,0,single_phase,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,Ko,名称不明 / basin 2 / 氾濫平野・海岸平野,0,0,4,1,0,single_phase,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,Na,名称不明 / basin 2 / 氾濫平野・海岸平野,0,0,5,1,0,single_phase,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,He,名称不明 / basin 2 / 氾濫平野・海岸平野,0,0,6,1,0,single_phase,low_n_descriptive_only
B_130000_2_LF_CLASS::氾濫平野・海岸平野,Me,名称不明 / basin 2 / 氾濫平野・海岸平野,0,0,7,1,0,single_phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,Pa,名称不明 / basin 3 / 凹地・浅い谷,1,0.001447178002894356,1,4,0.25,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,Jo,名称不明 / basin 3 / 凹地・浅い谷,3,8.207934336525308e-4,2,4,0.75,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,Ya,名称不明 / basin 3 / 凹地・浅い谷,0,0,3,4,0,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,Ko,名称不明 / basin 3 / 凹地・浅い谷,0,0,4,4,0,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,Na,名称不明 / basin 3 / 凹地・浅い谷,0,0,5,4,0,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,He,名称不明 / basin 3 / 凹地・浅い谷,0,0,6,4,0,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::凹地・浅い谷,Me,名称不明 / basin 3 / 凹地・浅い谷,0,0,7,4,0,continuous_2phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,Pa,名称不明 / basin 3 / 台地・段丘,1,0.001447178002894356,1,11,0.09090909090909091,continuous_3_4phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,Jo,名称不明 / basin 3 / 台地・段丘,9,0.0024623803009575923,2,11,0.8181818181818182,continuous_3_4phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,Ya,名称不明 / basin 3 / 台地・段丘,1,0.0015552099533437014,3,11,0.09090909090909091,continuous_3_4phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,Ko,名称不明 / basin 3 / 台地・段丘,0,0,4,11,0,continuous_3_4phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,Na,名称不明 / basin 3 / 台地・段丘,0,0,5,11,0,continuous_3_4phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,He,名称不明 / basin 3 / 台地・段丘,0,0,6,11,0,continuous_3_4phase,low_n_descriptive_only
B_130000_3_LF_CLASS::台地・段丘,Me,名称不明 / basin 3 / 台地・段丘,0,0,7,11,0,continuous_3_4phase,low_n_descriptive_only
B_130000_4_LF_CLASS::台地・段丘,Pa,名称不明 / basin 4 / 台地・段丘,6,0.008683068017366137,1,69,0.08695652173913043,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::台地・段丘,Jo,名称不明 / basin 4 / 台地・段丘,33,0.009028727770177838,2,69,0.4782608695652174,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::台地・段丘,Ya,名称不明 / basin 4 / 台地・段丘,7,0.01088646967340591,3,69,0.10144927536231885,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::台地・段丘,Ko,名称不明 / basin 4 / 台地・段丘,8,0.004920049200492005,4,69,0.11594202898550725,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::台地・段丘,Na,名称不明 / basin 4 / 台地・段丘,4,0.0023837902264600714,5,69,0.057971014492753624,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::台地・段丘,He,名称不明 / basin 4 / 台地・段丘,6,0.0028222013170272815,6,69,0.08695652173913043,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::台地・段丘,Me,名称不明 / basin 4 / 台地・段丘,5,0.005025125628140704,7,69,0.07246376811594203,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::山地斜面等,Pa,名称不明 / basin 4 / 山地斜面等,1,0.001447178002894356,1,7,0.14285714285714285,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::山地斜面等,Jo,名称不明 / basin 4 / 山地斜面等,3,8.207934336525308e-4,2,7,0.42857142857142855,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::山地斜面等,Ya,名称不明 / basin 4 / 山地斜面等,2,0.003110419906687403,3,7,0.2857142857142857,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::山地斜面等,Ko,名称不明 / basin 4 / 山地斜面等,0,0,4,7,0,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::山地斜面等,Na,名称不明 / basin 4 / 山地斜面等,0,0,5,7,0,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::山地斜面等,He,名称不明 / basin 4 / 山地斜面等,0,0,6,7,0,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::山地斜面等,Me,名称不明 / basin 4 / 山地斜面等,1,0.0010050251256281408,7,7,0.14285714285714285,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,Pa,名称不明 / basin 4 / 後背低地・湿地,1,0.001447178002894356,1,16,0.0625,continuous_5_7phase,low_n_descriptive_only
