item_type,item,axis1,axis2
phase,Pa,-0.293026448900648,-0.22488642877691792
phase,Jo,0.06221941108857163,-0.13439795292789253
phase,Ya,-0.32731940413275146,0.011641626893385533
phase,Ko,-0.414225740046687,0.09712102577675841
phase,Na,0.17399607515397772,0.10583026143244215
phase,He,0.23920301443418585,0.010758149830129564
phase,Me,0.05884998596928441,0.2821725437269829
