axis,singular_value,inertia,inertia_share
1,0.22875048515345367,0.05232678445794043,0.6813469625128472
2,0.13713554623911017,0.018806158042299126,0.24487494867865228
3,0.05906820271655274,0.0034890525721637685,0.04543094701342152
4,0.03566483389943622,0.001271980377074375,0.016562454109752933
5,0.021843618955139896,4.7714368905734696e-4,0.006212887082383385
6,0.020685958294614278,4.279088705665213e-4,0.0055718006029426455
7,3.8964086527128444e-17,1.5182000388935523e-33,1.9768479865573666e-32
