"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11207009700,11207,"秩父市","97","金室古墳群8号墳","古墳",36.0112132636897,139.081078560769,0,0,0,1,0,0,0,0,NA,0
11207009800,11207,"秩父市","98","金室古墳群9号墳","古墳",36.0116861085058,139.081389886333,0,0,0,1,0,0,0,0,NA,0
11207009900,11207,"秩父市","99","金室古墳群10号墳","古墳",36.0118403554758,139.082019931496,0,0,0,1,0,0,0,0,NA,0
11207010000,11207,"秩父市","100","金室古墳群11号墳","古墳",36.0130067381758,139.082105762184,0,0,0,1,0,0,0,0,NA,0
11207010100,11207,"秩父市","101","金室古墳群12号墳","古墳",36.0136095571729,139.082219858867,0,0,0,1,0,0,0,0,NA,0
11207010200,11207,"秩父市","102","","古墳群",35.9787350510326,139.074752865839,0,0,0,1,0,0,0,0,NA,0
11207010300,11207,"秩父市","103","飯塚招木古墳群1号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207010400,11207,"秩父市","104","飯塚招木古墳群2号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207010500,11207,"秩父市","105","飯塚招木古墳群3号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207010600,11207,"秩父市","106","飯塚招木古墳群4号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207010700,11207,"秩父市","107","飯塚招木古墳群5号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207010800,11207,"秩父市","108","飯塚招木古墳群6号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207010900,11207,"秩父市","109","飯塚招木古墳群7号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011000,11207,"秩父市","110","飯塚招木古墳群8号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011100,11207,"秩父市","111","飯塚招木古墳群9号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011200,11207,"秩父市","112","飯塚招木古墳群10号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011300,11207,"秩父市","113","飯塚招木古墳群11号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011400,11207,"秩父市","114","飯塚招木古墳群12号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011500,11207,"秩父市","115","飯塚招木古墳群13号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011600,11207,"秩父市","116","飯塚招木古墳群14号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011700,11207,"秩父市","117","飯塚招木古墳群15号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011800,11207,"秩父市","118","飯塚招木古墳群16号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207011900,11207,"秩父市","119","飯塚招木古墳群17号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012000,11207,"秩父市","120","飯塚招木古墳群18号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012100,11207,"秩父市","121","飯塚招木古墳群19号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012200,11207,"秩父市","122","飯塚招木古墳群20号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012300,11207,"秩父市","123","飯塚招木古墳群21号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012400,11207,"秩父市","124","飯塚招木古墳群22号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012500,11207,"秩父市","125","飯塚招木古墳群23号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012600,11207,"秩父市","126","飯塚招木古墳群24号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012700,11207,"秩父市","127","飯塚招木古墳群25号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012800,11207,"秩父市","128","飯塚招木古墳群26号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207012900,11207,"秩父市","129","飯塚招木古墳群27号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013000,11207,"秩父市","130","飯塚招木古墳群28号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013100,11207,"秩父市","131","飯塚招木古墳群29号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013200,11207,"秩父市","132","飯塚招木古墳群30号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013300,11207,"秩父市","133","飯塚招木古墳群31号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013400,11207,"秩父市","134","飯塚招木古墳群32号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013500,11207,"秩父市","135","飯塚招木古墳群33号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013600,11207,"秩父市","136","飯塚招木古墳群34号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013700,11207,"秩父市","137","飯塚招木古墳群35号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013800,11207,"秩父市","138","飯塚招木古墳群36号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207013900,11207,"秩父市","139","飯塚招木古墳群37号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014000,11207,"秩父市","140","飯塚招木古墳群38号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014100,11207,"秩父市","141","飯塚招木古墳群39号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014200,11207,"秩父市","142","飯塚招木古墳群40号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014300,11207,"秩父市","143","飯塚招木古墳群41号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014400,11207,"秩父市","144","飯塚招木古墳群42号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014500,11207,"秩父市","145","飯塚招木古墳群43号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014600,11207,"秩父市","146","飯塚招木古墳群44号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014700,11207,"秩父市","147","飯塚招木古墳群45号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014800,11207,"秩父市","148","飯塚招木古墳群46号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207014900,11207,"秩父市","149","飯塚招木古墳群47号墳","古墳",36.0454199480764,139.097008128637,0,0,0,1,0,0,0,0,NA,0
11207015000,11207,"秩父市","150","飯塚招木古墳群48号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015100,11207,"秩父市","151","飯塚招木古墳群49号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015200,11207,"秩父市","152","飯塚招木古墳群50号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015300,11207,"秩父市","153","飯塚招木古墳群51号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015400,11207,"秩父市","154","飯塚招木古墳群52号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015500,11207,"秩父市","155","飯塚招木古墳群53号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015600,11207,"秩父市","156","飯塚招木古墳群54号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015700,11207,"秩父市","157","飯塚招木古墳群55号墳","古墳",36.060669,139.08783,0,0,0,1,0,0,0,0,NA,0
11207015800,11207,"秩父市","158","飯塚招木古墳群56号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207015900,11207,"秩父市","159","飯塚招木古墳群57号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016000,11207,"秩父市","160","飯塚招木古墳群58号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016100,11207,"秩父市","161","飯塚招木古墳群59号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016200,11207,"秩父市","162","飯塚招木古墳群60号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
