"JASID","自治体コード","遺跡番号","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11209006400,11209,"64","横穴",35.7781512586451,139.475532916559,0,0,0,1,0,0,1,0,0,0
11209006600,11209,"66","集落跡 その他",35.7802972656218,139.456289141718,0,1,0,1,0,1,1,1,0,0
11209006800,11209,"68","集落跡",35.8092343939261,139.520696367488,0,0,0,1,0,0,1,0,0,0
11209006900,11209,"69","その他",35.814091277648,139.533974831143,0,0,0,0,0,0,1,1,0,0
11209007000,11209,"70","その他",35.7939568822595,139.50358340287,0,0,0,0,0,0,1,0,0,0
11209009100,11209,"91","散布地",35.7983367503645,139.482556802697,1,1,0,0,0,0,1,0,0,0
11209009100,11209,"91","散布地",35.8065656315649,139.491856830647,0,1,0,0,0,0,1,0,0,0
11209011100,11209,"111","集落跡",35.7897891220696,139.400096245405,0,1,0,0,1,1,1,0,0,0
11209013100,11209,"131","集落跡",35.7877464909213,139.430577566076,0,1,0,0,1,1,1,0,0,0
11209013100,11209,"131","集落跡",35.7877464909213,139.430577566076,0,1,0,0,1,1,1,0,0,0
11209014400,11209,"144","散布地",35.7864740532253,139.497552259614,0,1,0,0,0,0,1,0,0,0
11209014700,11209,"147","散布地",35.7900788770987,139.495032030252,0,1,1,1,0,0,1,0,0,0
11209014800,11209,"148","散布地",35.7847564187725,139.478552539374,0,1,0,0,1,1,1,0,0,0
11209015100,11209,"151","城跡",35.7869817289705,139.487013053153,0,0,0,0,0,0,1,0,0,0
11209000700,11209,"7","集落跡",35.8661212764051,139.354041626923,0,1,0,1,1,1,1,1,0,0
11209000900,11209,"9","集落跡",35.8643751893347,139.336695942526,0,1,0,0,1,1,1,0,0,0
11209001100,11209,"11","集落跡",35.8420891596509,139.339121051812,0,1,0,1,1,1,1,0,0,0
11209001300,11209,"13","集落跡",35.8384710582861,139.325353809904,0,1,0,0,0,0,1,1,0,0
11209001400,11209,"14","その他",35.8568133471237,139.345605815707,0,0,0,0,0,0,1,0,0,0
11209003300,11209,"33","集落跡",35.8348079009924,139.319575657988,1,1,0,1,0,1,1,0,0,0
11209003400,11209,"34","散布地",35.8402202938065,139.314838865353,1,1,0,0,0,0,1,0,0,0
11209003500,11209,"35","散布地",35.8421658382429,139.314280733468,0,1,0,0,0,1,1,0,0,0
11209003900,11209,"39","城跡",35.8616331316823,139.330305826112,0,0,0,0,0,1,1,0,0,0
11209004000,11209,"40","城跡",35.8653347867054,139.328037470203,0,0,0,0,0,1,1,0,0,0
11209004400,11209,"44","城跡",35.8553599990046,139.323993000632,0,0,0,0,0,0,1,0,0,0
11209004500,11209,"45","城跡",35.8575553624267,139.313866066089,0,0,0,0,0,0,1,0,0,0
11209004600,11209,"46","城跡",35.8551510940924,139.291867858061,0,0,0,0,0,0,1,0,0,0
11209004800,11209,"48","城跡",35.9072663906074,139.220285717042,0,0,0,0,0,0,1,0,0,0
11209005900,11209,"59","城跡",35.863186409712,139.320083001428,0,0,0,0,0,0,1,0,0,0
11209006100,11209,"61","集落跡",35.8821319505631,139.327807764045,0,1,0,0,0,0,1,0,0,0
11209006200,11209,"62","集落跡",35.8402963533781,139.333105305184,0,1,0,0,1,0,1,0,0,0
11209006200,11209,"62","集落跡",35.8402963533781,139.333105305184,0,1,0,0,1,0,1,0,0,0
11209006400,11209,"64","集落跡",35.8591413278252,139.327014881073,0,0,0,0,0,0,1,1,0,0
11209006600,11209,"66","集落跡",35.8608447766496,139.3316665822,0,1,0,0,0,1,1,0,0,0
11209006800,11209,"68","散布地",35.8537655181313,139.333946457106,0,0,0,0,0,0,1,0,0,0
11209006900,11209,"69","散布地",35.8520489204761,139.335001799094,0,1,0,0,0,0,1,0,0,0
11209007000,11209,"70","散布地",35.8664065639436,139.30860027814,0,0,0,0,0,1,1,0,0,0
11209008300,11209,"83","集落跡",35.8564017512202,139.344331059602,0,0,0,0,0,0,1,0,0,0
11209009100,11209,"91","集落跡",35.8469560893469,139.327187398276,0,0,0,0,1,1,1,0,0,0
11209011100,11209,"111","集落跡",35.8455392362355,139.329658382936,0,0,0,0,1,1,1,0,0,0
11209013100,11209,"131","墓",35.861642941536,139.218769585606,0,0,0,0,0,0,1,0,0,0
11209013100,11209,"131","墓",35.861642941536,139.218769585606,0,0,0,0,0,0,1,0,0,0
11209014400,11209,"144","その他",35.8419743398359,139.312288095991,0,0,0,1,0,0,1,0,0,0
11209014700,11209,"147","城跡",35.8677639947587,139.215611016335,0,0,0,0,0,0,1,0,0,0
11209014800,11209,"148","城跡",35.8667873710847,139.338335285643,0,0,0,0,0,0,1,0,0,0
11209015100,11209,"151","集落跡",35.8666204387036,139.325872668629,0,1,0,0,0,0,1,0,0,0
11209300500,11209,"5","城跡",35.8536539371829,139.190981429595,0,0,0,0,0,0,1,0,0,0
11215006600,11215,"66","集落跡",35.8615453714014,139.41192152398,0,1,0,1,0,1,1,0,0,0
11215008900,11215,"89","その他",35.8375611689786,139.42652724061,0,0,0,0,0,0,1,0,0,0
11225001300,11225,"13","集落跡",35.8302601005822,139.376070206936,1,1,0,0,1,1,1,0,0,0
11225004400,11225,"44","墓",35.8389432389995,139.345744593907,0,0,0,0,0,0,1,0,0,0
11227000900,11227,"9","集落跡",35.8246695263466,139.585401183165,0,1,1,1,1,1,1,1,0,0
11227001100,11227,"11","集落跡 その他",35.8265423758391,139.591240599417,1,1,1,1,1,1,1,1,0,0
11227001300,11227,"13","集落跡 古墳",35.8216671050128,139.596592703531,1,1,1,1,1,1,1,1,0,0
11227001400,11227,"14","集落跡",35.8189665480014,139.595963260296,1,1,1,1,1,1,1,1,0,0
11227002000,11227,"20","集落跡",35.8072682724075,139.581026743405,1,1,1,1,1,1,1,1,0,0
11227003100,11227,"31","集落跡",35.7931946519537,139.586779938538,0,1,0,0,0,0,1,0,0,0
11227003800,11227,"38","集落跡",35.8019007435609,139.584200148013,0,1,1,1,0,0,1,0,0,0
11227004000,11227,"40","集落跡",35.8069057703793,139.589973613844,0,1,0,1,0,0,1,0,0,0
11227004100,11227,"41","集落跡",35.8088708120198,139.5925938487,0,1,0,1,0,0,1,0,0,0
11227004200,11227,"42","集落跡",35.8061174446764,139.59114426272,0,1,0,1,0,0,1,0,0,0
11227004500,11227,"45","集落跡 寺院跡 城跡",35.8108188223397,139.597589153315,0,1,1,1,0,0,1,0,0,0
11227004600,11227,"46","貝塚 城跡",35.8123499933387,139.60278769933,0,1,0,0,0,0,1,0,0,0
11227005200,11227,"52","集落跡",35.8004247856519,139.602016150364,0,1,0,1,0,0,1,0,0,0
11227005300,11227,"53","集落跡",35.8043370377113,139.602722051652,0,1,0,1,0,1,1,0,0,0
11227005400,11227,"54","集落跡",35.8069032722896,139.605048873461,1,1,1,1,1,1,1,1,0,0
11227005500,11227,"55","集落跡 古墳",35.8096534392788,139.605494168065,1,1,1,1,1,1,1,1,0,0
11227005600,11227,"56","集落跡 石造遺物",35.807822503706,139.60765733838,0,1,0,0,0,0,1,0,0,0
11227005700,11227,"57","集落跡",35.8067315403972,139.608959589741,0,1,0,1,0,0,1,0,0,0
11227005800,11227,"58","集落跡",35.805030332876,139.608417266882,0,1,1,1,0,1,1,0,0,0
11227005900,11227,"59","集落跡",35.8032431742864,139.611124566124,0,1,1,1,0,0,1,0,0,0
11227006000,11227,"60","集落跡 石造遺物",35.8004643068166,139.611145146926,0,1,0,1,0,1,1,0,0,0
11227006100,11227,"61","集落跡",35.7977716021534,139.612969318894,0,1,1,1,0,0,1,0,0,0
11227006200,11227,"62","集落跡",35.8014436936353,139.607799735894,0,1,0,1,0,0,1,0,0,0
11227006300,11227,"63","集落跡",35.8007598051784,139.604176179445,0,1,0,1,0,1,1,0,0,0
11227006500,11227,"65","集落跡",35.7977749449049,139.604822473634,0,1,0,1,0,0,1,0,0,0
11227006600,11227,"66","集落跡",35.7957018619784,139.60425060587,0,1,0,0,0,0,1,0,0,0
11227006700,11227,"67","集落跡",35.7955138052877,139.606773924174,0,1,0,1,0,0,1,0,0,0
11227006900,11227,"69","集落跡",35.793458802105,139.60265707372,0,1,0,1,0,0,1,1,0,0
11227007000,11227,"70","集落跡",35.7939848164228,139.599147552527,0,1,0,1,0,0,1,1,0,0
11227007100,11227,"71","集落跡",35.7917171781868,139.600281435429,0,1,0,1,0,0,1,0,0,0
11227007200,11227,"72","集落跡",35.7906426285517,139.602412038861,0,1,0,1,0,0,1,0,0,0
11227007300,11227,"73","集落跡",35.7896719038259,139.601199674469,0,0,0,0,0,0,1,0,0,0
11228000200,11228,"2","旧石器 集落跡 墓",35.8334709608062,139.573111521771,1,1,1,1,0,1,1,1,0,0
11228000300,11228,"3","旧石器 貝塚 集落跡 城跡",35.8323266688993,139.569602000577,1,1,1,1,1,1,1,1,0,0
11228000500,11228,"5","旧石器 集落跡 墓",35.8294813309497,139.568915353105,1,1,1,1,1,1,1,1,0,0
11228000700,11228,"7","旧石器 集落跡 墓",35.8244398814343,139.565711007184,1,1,1,1,1,1,1,1,0,0
11228000800,11228,"8","貝塚 集落跡 墓",35.8283988384278,139.567503915262,0,1,0,1,0,0,1,1,0,0
11228001000,11228,"10","集落跡 墓",35.8319138365892,139.582762706362,0,1,1,1,1,1,1,1,0,1
11228001300,11228,"13","城跡",35.8516703253938,139.587098191441,0,0,0,0,0,0,1,0,0,0
11228001400,11228,"14","城跡",35.8459036301911,139.578972886484,0,0,0,0,0,0,1,0,0,0
13230004400,13230,"44","その他",35.8140453502231,139.549664320672,0,1,1,0,1,1,1,0,0,0
13230004600,13230,"46","散布地",35.8175783719757,139.554568211196,0,1,1,0,1,1,1,0,0,0
13230004700,13230,"47","散布地",35.8043992536798,139.548144817203,0,1,0,1,0,1,1,0,0,0
13230005500,13230,"55","散布地",35.7973450954727,139.571032998286,0,0,0,0,0,0,1,0,0,0
13230008300,13230,"83","散布地",35.7740674209908,139.571122714612,0,1,0,0,0,1,1,1,0,0
13230008700,13230,"87","散布地",35.773213774937,139.566105059514,0,1,0,0,0,0,1,0,0,0
13230009500,13230,"95","散布地",35.7650114962464,139.560041181163,0,1,0,0,0,1,1,0,0,0
13230010500,13230,"105","寺院跡",35.8149280442099,139.554005255694,0,0,0,0,0,0,1,0,0,0
13230010600,13230,"106","寺院跡",35.815086844158,139.552305477658,0,0,0,0,0,0,1,0,0,0
13230010700,13230,"107","寺院跡",35.8127369005777,139.55087293465,0,0,0,0,0,0,1,0,0,0
13230010800,13230,"108","寺院跡",35.7812436696937,139.571222412965,0,0,0,0,0,0,1,0,0,0
11239004700,11239,"47","集落跡",35.9733338731516,139.432335845985,0,0,0,1,0,1,1,0,0,0
11239005300,11239,"53","集落跡",35.9689542820897,139.424606003405,0,0,0,0,0,1,1,0,0,0
11239005400,11239,"54","城跡",35.9682318337061,139.422923721387,0,0,0,1,1,1,1,0,0,0
11239006400,11239,"64","集落跡 墓",35.9642722665395,139.437779650872,0,1,0,0,1,1,1,1,0,0
11239007500,11239,"75","集落跡 城跡",35.9669512238747,139.409760105711,0,0,0,0,1,1,1,1,0,0
