landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
195011,195,11,830305,NA,34,B_830305_34,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_34_LF_CLASS::氾濫平野・海岸平野,3388,338800,0.3388,466751,46675100,466746,46674600,0.9999892876501604,0.00725876600977833,0.00725868825133743,10,10,1,0.0725876600977833,13.77644628099175,1.3893940166222234,3.4422425744112712,expected_lt_1,Pa,1,0.95
183002,183,2,830305,NA,23,B_830305_23,崖・段丘崖,LF_CLASS::崖・段丘崖,B_830305_23_LF_CLASS::崖・段丘崖,470,47000,0.047,128010,12801000,126208,12620800,0.9859229747675964,0.00372401115618661,0.00367158815717522,10,23,1,0.08565225659229203,11.675115633672533,1.3568463074186181,3.1242227657874886,expected_lt_1,Pa,1,0.95
177002,177,2,830305,NA,18,B_830305_18,崖・段丘崖,LF_CLASS::崖・段丘崖,B_830305_18_LF_CLASS::崖・段丘崖,9234,923400,0.9234,301312,30131200,300094,30009400,0.9959576784197112,0.03077035862096543,0.03064597493627867,10,59,6,1.8154511586369604,3.304963601722448,1.4891463925118833,3.10567750562927,expected_1_to_5,Pa,1,0.95
135001,135,1,830304,NA,54,B_830304_54,山地斜面等,LF_CLASS::山地斜面等,B_830304_54_LF_CLASS::山地斜面等,18232,1823200,1.8232,129440,12944000,129439,12943900,0.9999922744128554,0.14085399300056398,0.14085290482076637,10,11,5,1.5493939230062037,3.2270682915154176,1.4242343008838976,2.7721355270951835,expected_1_to_5,Pa,1,0.95
172010,172,10,830305,NA,12,B_830305_12,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830305_12_LF_CLASS::凹地・浅い谷,1522,152200,0.1522,55436,5543600,55305,5530500,0.997636914640306,0.02752011572190579,0.02745508333934627,10,4,1,0.11008046288762316,9.084264126149804,1.2978910648124176,2.6822275423679898,expected_lt_1,Pa,1,0.95
202010,202,10,830305,NA,40,B_830305_40,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830305_40_LF_CLASS::凹地・浅い谷,913,91300,0.0913,111140,11114000,107269,10726900,0.9651700557854958,0.00851131268120333,0.00821486413532481,10,13,1,0.1106470648556433,9.037745387142976,1.2965518078700704,2.6736477800934475,expected_lt_1,Pa,1,0.95
202004,202,4,830305,NA,40,B_830305_40,台地・段丘,LF_CLASS::台地・段丘,B_830305_40_LF_CLASS::台地・段丘,21933,2193300,2.1933,111140,11114000,107269,10726900,0.9651700557854958,0.20446727386290545,0.19734569012056863,10,13,7,2.658074560217771,2.6334851944207704,1.24784536285666,2.663169337680795,expected_1_to_5,Pa,1,0.95
175002,175,2,830305,NA,16,B_830305_16,崖・段丘崖,LF_CLASS::崖・段丘崖,B_830305_16_LF_CLASS::崖・段丘崖,1157,115700,0.1157,82546,8254600,82544,8254400,0.9999757710852132,0.01401676681527427,0.01401642720422552,10,8,1,0.11213413452219416,8.917891097666384,1.2930427760135932,2.6514194749583813,expected_lt_1,Pa,1,0.95
157016,157,16,830304,NA,86,B_830304_86,水部,LF_CLASS::水部,B_830304_86_LF_CLASS::水部,12262,1226200,1.2262,83424,8342400,83423,8342300,0.9999880130418104,0.14698584323268163,0.14698408131952437,10,15,6,2.2047876484902242,2.7213505137824177,1.2649243849007534,2.5559520205169597,expected_1_to_5,Pa,1,0.95
121004,121,4,830304,NA,37,B_830304_37,台地・段丘,LF_CLASS::台地・段丘,B_830304_37_LF_CLASS::台地・段丘,33406,3340600,3.3406,128210,12821000,128204,12820400,0.9999532017783324,0.26056909300801845,0.26055689883784416,10,3,3,0.7817072790240553,3.83775369694067,1.4492881104291135,2.5089775546716364,expected_lt_1,Pa,1,0.95
195010,195,10,830305,NA,34,B_830305_34,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830305_34_LF_CLASS::凹地・浅い谷,20460,2046000,2.046,466751,46675100,466746,46674600,0.9999892876501604,0.04383540512398606,0.04383493554379102,10,10,2,0.4383540512398606,4.562521994134898,1.413723819706883,2.3586856593259,expected_lt_1,Pa,1,0.95
137004,137,4,830304,NA,56,B_830304_56,台地・段丘,LF_CLASS::台地・段丘,B_830304_56_LF_CLASS::台地・段丘,11326,1132600,1.1326,40138,4013800,40099,4009900,0.999028352184962,0.2824509339385022,0.2821764911056854,10,3,3,0.8473528018155065,3.5404379304255698,1.3772272547871665,2.3385180335187106,expected_lt_1,Pa,1,0.95
37001,37,1,140013,NA,17,B_140013_17,山地斜面等,LF_CLASS::山地斜面等,B_140013_17_LF_CLASS::山地斜面等,53840,5384000,5.384,164420,16442000,164408,16440800,0.9999270161780806,0.32747798160673447,0.3274540810120423,10,21,13,6.8770376137414235,1.8903488289818158,0.8718459105343604,2.3348602507441485,expected_ge_5,Pa,1,0.95
277010,277,10,unknown,NA,0,B_unknown_0,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_unknown_0_LF_CLASS::凹地・浅い谷,42563,4256300,4.2563,1844542,184454200,1835378,183537800,0.9950318290394038,0.0231903182886577,0.02307510482276901,10,39,3,0.9044224132576503,3.317034115943968,1.317377996489871,2.2035255299382293,expected_lt_1,Pa,1,0.95
177011,177,11,830305,NA,18,B_830305_18,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_18_LF_CLASS::氾濫平野・海岸平野,15932,1593200,1.5932,301312,30131200,300094,30009400,0.9959576784197112,0.05309003179003912,0.05287542480883602,10,59,7,3.132311875612308,2.234771082184028,1.0460025157543644,2.1853396648806114,expected_1_to_5,Pa,1,0.95
123002,123,2,830304,NA,39,B_830304_39,崖・段丘崖,LF_CLASS::崖・段丘崖,B_830304_39_LF_CLASS::崖・段丘崖,1349,134900,0.1349,51640,5164000,51640,5164000,1,0.02612316034082107,0.02612316034082107,10,6,1,0.1567389620449264,6.380034593526069,1.1915705477362775,2.1299703180023415,expected_lt_1,Pa,1,0.95
237004,237,4,830305,NA,72,B_830305_72,台地・段丘,LF_CLASS::台地・段丘,B_830305_72_LF_CLASS::台地・段丘,6151,615100,0.6151,39190,3919000,39093,3909300,0.9975248787956112,0.1573427467833116,0.15695330441439145,10,1,1,0.1573427467833116,6.355551942773533,1.1902447895231008,2.124357476875501,expected_lt_1,Pa,1,0.95
132001,132,1,830304,NA,51,B_830304_51,山地斜面等,LF_CLASS::山地斜面等,B_830304_51_LF_CLASS::山地斜面等,825,82500,0.0825,10472,1047200,10472,1047200,1,0.07878151260504201,0.07878151260504201,10,2,1,0.15756302521008403,6.346666666666667,1.1897614170964814,2.1223170573401022,expected_lt_1,Pa,1,0.95
188011,188,11,830305,NA,28,B_830305_28,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_28_LF_CLASS::氾濫平野・海岸平野,7920,792000,0.792,40713,4071300,40286,4028600,0.9895119495001596,0.19659435039467804,0.19453245891975535,10,22,0,4.325075708682917,0,-3.2705515794137727,-2.079681636376808,expected_1_to_5,Pa,1,0.95
78004,78,4,830304,NA,120,B_830304_120,台地・段丘,LF_CLASS::台地・段丘,B_830304_120_LF_CLASS::台地・段丘,32561,3256100,3.2561,95979,9597900,95976,9597600,0.9999687431625668,0.33926189880803537,0.33925129455401704,10,6,5,2.035571392848212,2.4563127668069162,1.117120722399571,2.077771697488151,expected_1_to_5,Pa,1,0.95
176011,176,11,830305,NA,17,B_830305_17,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_17_LF_CLASS::氾濫平野・海岸平野,39155,3915500,3.9155,129141,12914100,128500,12850000,0.9950364330460504,0.3047081712062257,0.3031957317970281,10,14,0,4.265914396887159,0,-3.2527530387511194,-2.0654090144296258,expected_1_to_5,Pa,1,0.95
190004,190,4,830305,NA,3,B_830305_3,台地・段丘,LF_CLASS::台地・段丘,B_830305_3_LF_CLASS::台地・段丘,7240,724000,0.724,22750,2275000,22314,2231400,0.9808351648351648,0.3244599802814377,0.31824175824175827,10,3,3,0.9733799408443131,3.0820441988950273,1.2482254155864172,2.0541452084819602,expected_lt_1,Pa,1,0.95
277011,277,11,unknown,NA,0,B_unknown_0,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_unknown_0_LF_CLASS::氾濫平野・海岸平野,281050,28105000,28.105,1844542,184454200,1835378,183537800,0.9950318290394038,0.1531292191581244,0.15236844701828425,10,39,1,5.972039547166852,0.16744698224150276,-2.109257922610267,-2.034572812510861,expected_ge_5,Pa,1,0.95
144010,144,10,830304,NA,67,B_830304_67,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830304_67_LF_CLASS::凹地・浅い谷,12939,1293900,1.2939,91694,9169400,91692,9169200,0.9999781883220276,0.14111372856955895,0.14111065064235392,10,29,0,4.09229812851721,0,-3.1992163037235013,-2.0229429375336343,expected_1_to_5,Pa,1,0.95
108004,108,4,830304,NA,27,B_830304_27,台地・段丘,LF_CLASS::台地・段丘,B_830304_27_LF_CLASS::台地・段丘,21420,2142000,2.142,56798,5679800,56475,5647500,0.9943131800415508,0.3792828685258964,0.37712595513926545,10,4,4,1.5171314741035855,2.63655462184874,1.1576198813706358,2.015775275545006,expected_1_to_5,Pa,1,0.95
177010,177,10,830305,NA,18,B_830305_18,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830305_18_LF_CLASS::凹地・浅い谷,37552,3755200,3.7552,301312,30131200,300094,30009400,0.9959576784197112,0.12513412464094584,0.12462829226847918,10,59,2,7.3829133538158045,0.27089577029457007,-1.656800822144912,-1.9810867962825214,expected_ge_5,Pa,1,0.95
30001,30,1,130000,NA,6,B_130000_6,山地斜面等,LF_CLASS::山地斜面等,B_130000_6_LF_CLASS::山地斜面等,12753,1275300,1.2753,71422,7142200,71422,7142200,1,0.17855842737531852,0.17855842737531852,10,1,1,0.17855842737531852,5.600407747196738,1.1444175511427324,1.9439563201296624,expected_lt_1,Pa,1,0.95
182013,182,13,830305,NA,22,B_830305_22,旧河道,LF_CLASS::旧河道,B_830305_22_LF_CLASS::旧河道,953,95300,0.0953,144663,14466300,143763,14376300,0.9937786441591836,0.00662896572831674,0.0065877245736643,10,27,1,0.178982074664552,5.587151684738256,1.1435171082282323,1.9406529209013157,expected_lt_1,Pa,1,0.95
191011,191,11,830305,NA,30,B_830305_30,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_30_LF_CLASS::氾濫平野・海岸平野,17788,1778800,1.7788,99214,9921400,98452,9845200,0.9923196323099562,0.18067687807256327,0.1792892132158768,10,30,1,5.420306342176898,0.18449141743497488,-1.9807093283264496,-1.8986304958079319,expected_ge_5,Pa,1,0.95
152001,152,1,830304,NA,79,B_830304_79,山地斜面等,LF_CLASS::山地斜面等,B_830304_79_LF_CLASS::山地斜面等,1637,163700,0.1637,17359,1735900,17359,1735900,1,0.09430266720433204,0.09430266720433204,10,2,1,0.1886053344086641,5.302076970067196,1.1232132385532652,1.8683367749085977,expected_lt_1,Pa,1,0.95
271011,271,11,830306,NA,20,B_830306_20,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830306_20_LF_CLASS::氾濫平野・海岸平野,60286,6028600,6.0286,264495,26449500,263669,26366900,0.9968770676194256,0.2286427300896199,0.22792869430424015,10,15,0,3.4296409513442985,0,-2.9743975004281946,-1.8519289811826745,expected_1_to_5,Pa,1,0.95
87004,87,4,830304,NA,161,B_830304_161,台地・段丘,LF_CLASS::台地・段丘,B_830304_161_LF_CLASS::台地・段丘,9470,947000,0.947,51118,5111800,49471,4947100,0.967780429594272,0.19142527945665136,0.18525763918776164,10,1,1,0.19142527945665136,5.223970432946146,1.1173172441342807,1.848078924830538,expected_lt_1,Pa,1,0.95
133011,133,11,830304,NA,52,B_830304_52,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830304_52_LF_CLASS::氾濫平野・海岸平野,24234,2423400,2.4234,170131,17013100,170122,17012200,0.9999470995879646,0.1424507118420898,0.14244317614073862,10,23,0,3.276366372368065,0,-2.9169987376758733,-1.8100735820314224,expected_1_to_5,Pa,1,0.95
133004,133,4,830304,NA,52,B_830304_52,台地・段丘,LF_CLASS::台地・段丘,B_830304_52_LF_CLASS::台地・段丘,95438,9543800,9.5438,170131,17013100,170122,17012200,0.9999470995879646,0.5609974018645443,0.5609677248708348,10,23,19,12.902940242884519,1.4725325888785525,0.5409246002680893,1.6973683841691576,expected_ge_5,Pa,1,0.95
196004,196,4,830305,NA,35,B_830305_35,台地・段丘,LF_CLASS::台地・段丘,B_830305_35_LF_CLASS::台地・段丘,53764,5376400,5.3764,205561,20556100,201906,20190600,0.982219389864809,0.26628232940081026,0.261547667115844,10,9,5,2.396540964607292,2.086340302060859,0.9251005500308642,1.6817379328871627,expected_1_to_5,Pa,1,0.95
26001,26,1,130000,NA,2,B_130000_2,山地斜面等,LF_CLASS::山地斜面等,B_130000_2_LF_CLASS::山地斜面等,9799,979900,0.9799,85955,8595500,85955,8595500,1,0.11400151241928916,0.11400151241928916,10,2,1,0.22800302483857832,4.385906725176039,1.0429461508019229,1.6167590265758893,expected_lt_1,Pa,1,0.95
175001,175,1,830305,NA,16,B_830305_16,山地斜面等,LF_CLASS::山地斜面等,B_830305_16_LF_CLASS::山地斜面等,2449,244900,0.2449,82546,8254600,82544,8254400,0.9999757710852132,0.0296690250048459,0.02966830615656724,10,8,1,0.2373522000387672,4.213148223764802,1.0245367010132664,1.5654074306082646,expected_lt_1,Pa,1,0.95
159004,159,4,830304,NA,88,B_830304_88,台地・段丘,LF_CLASS::台地・段丘,B_830304_88_LF_CLASS::台地・段丘,87759,8775900,8.7759,123284,12328400,123283,12328300,0.9999918886473508,0.7118499712044645,0.7118441971383148,10,8,2,5.694799769635716,0.3511975979671601,-1.309129556966483,-1.5482877528321524,expected_ge_5,Pa,1,0.95
127011,127,11,830304,NA,42,B_830304_42,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830304_42_LF_CLASS::氾濫平野・海岸平野,27804,2780400,2.7804,46439,4643900,46439,4643900,1,0.5987209026895497,0.5987209026895497,10,4,0,2.3948836107581988,0,-2.5335053456040035,-1.5475411499401877,expected_1_to_5,Pa,1,0.95
183011,183,11,830305,NA,23,B_830305_23,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_23_LF_CLASS::氾濫平野・海岸平野,30877,3087700,3.0877,128010,12801000,126208,12620800,0.9859229747675964,0.24465168610547663,0.24120771814701977,10,23,2,5.626988780425963,0.3554298894209986,-1.2932501146066548,-1.5290024719626714,expected_ge_5,Pa,1,0.95
175010,175,10,830305,NA,16,B_830305_16,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830305_16_LF_CLASS::凹地・浅い谷,24042,2404200,2.4042,82546,8254600,82544,8254400,0.9999757710852132,0.291262841635976,0.29125578465340535,10,8,0,2.330102733087808,0,-2.500854424020485,-1.5264674032182304,expected_1_to_5,Pa,1,0.95
122004,122,4,830304,NA,38,B_830304_38,台地・段丘,LF_CLASS::台地・段丘,B_830304_38_LF_CLASS::台地・段丘,22706,2270600,2.2706,91652,9165200,91652,9165200,1,0.24774145681490856,0.24774145681490856,10,1,1,0.24774145681490856,4.036466132299833,1.0043510734215966,1.5113595168307048,expected_lt_1,Pa,1,0.95
129011,129,11,830304,NA,47,B_830304_47,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830304_47_LF_CLASS::氾濫平野・海岸平野,33166,3316600,3.3166,319540,31954000,319532,31953200,0.9999749640107656,0.10379555099332774,0.10379295236903048,10,38,1,3.944230937746454,0.25353485021121824,-1.5669712854219164,-1.482486353379913,expected_1_to_5,Pa,1,0.95
177001,177,1,830305,NA,18,B_830305_18,山地斜面等,LF_CLASS::山地斜面等,B_830305_18_LF_CLASS::山地斜面等,9955,995500,0.9955,301312,30131200,300094,30009400,0.9959576784197112,0.03317293914573434,0.03303884345794392,10,59,4,1.957203409598326,2.043732388970707,0.8729077111528679,1.4601825110174256,expected_1_to_5,Pa,1,0.95
245011,245,11,830305,NA,8,B_830305_8,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_8_LF_CLASS::氾濫平野・海岸平野,12656,1265600,1.2656,53837,5383700,53730,5373000,0.9980125192711332,0.23554811092499536,0.23507996359381095,10,9,0,2.119932998324958,0,-2.3895299170221436,-1.4559989692046345,expected_1_to_5,Pa,1,0.95
