gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,phase_code,phase_order,coverage_threshold,selection_model,available_area_m2,available_share
氾濫平野・海岸平野,33,131.03100545432432,0.2518487886556237,-1.9731699215917244,-8.563995298922103,5e-4,0.00175,eligible,underrepresented,Pa,1,0.95,area_based,202058400,0.19883308870155433
旧水部,0,59.43923704799704,0,-6.905428815140645,-7.709684627012771,5e-4,0.00175,eligible,underrepresented,Pa,1,0.95,area_based,91659200,0.09019611084673297
台地・段丘,371,249.3958178593401,1.487595113600682,0.5720354534131941,7.700234087688053,5e-4,0.00175,eligible,overrepresented,Pa,1,0.95,area_based,384584700,0.37844585411128995
山地斜面等,211,127.86654854277792,1.6501579373545825,0.7203883685099836,7.351861895098058,5e-4,0.00175,eligible,overrepresented,Pa,1,0.95,area_based,197178600,0.19403118140026995
自然堤防,0,12.835900490956107,0,-4.737243339346843,-3.58272249706227,0.002,0.0056,eligible,underrepresented,Pa,1,0.95,area_based,19793800,0.019477845965032024
水部,7,22.108204099658625,0.31662454211321883,-1.5918838943129898,-3.2131878087735797,0.0025,0.005833333333333334,eligible,underrepresented,Pa,1,0.95,area_based,34092300,0.033548109407676205
砂州・砂丘,0,8.650151069471884,0,-4.193795562563756,-2.9411139164391242,0.0065,0.013,eligible,underrepresented,Pa,1,0.95,area_based,13339100,0.01312617764715005
凹地・浅い谷,19,29.93698930902052,0.6346663588604409,-0.6423515369769893,-1.9989122360346134,0.05,0.08750000000000001,eligible,no_clear_signal,Pa,1,0.95,area_based,46164800,0.045427904869530376
崖・段丘崖,9,4.861790720366787,1.8511697680234611,0.8252126038174922,1.8767841198651314,0.0645,0.10033333333333334,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,area_based,7497200,0.007377527648508022
旧河道,1,4.895900813720478,0.20425250389010294,-1.8469013285011326,-1.7607252249032446,0.101,0.1414,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,area_based,7549800,0.007429288032959753
山麓堆積地形,7,3.9703889271351556,1.7630514613214148,0.7464902432065809,1.5204437366719816,0.1365,0.17372727272727273,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,area_based,6122600,0.006024869388672466
後背低地・湿地,1,3.4454436691539208,0.29023838321686,-1.3952250411647322,-1.3174528653317281,0.29,0.3383333333333333,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,area_based,5313100,0.005228290848488498
扇状地,0,0.46029171601615876,0,-0.9415446373211042,-0.6784480201284094,1,1,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,area_based,709800,6.984699787802105e-4
河川敷・浜,0,0.10233028006107332,0,-0.2686266923348497,-0.31989104404636487,1,1,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,area_based,157800,1.552811533551947e-4
山地斜面等,1621,657.7657049469152,2.4644033396828164,1.3005870820850212,37.55746954432315,5e-4,7.777777777777778e-4,eligible,overrepresented,Jo,2,0.95,area_based,197178600,0.19403118140026995
旧水部,0,305.76481577042483,0,-9.258635826939742,-17.486132098621034,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,91659200,0.09019611084673297
氾濫平野・海岸平野,290,674.0441706982693,0.430238866541309,-1.2153747536147181,-14.792344033156102,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,202058400,0.19883308870155433
凹地・浅い谷,50,154.000597507708,0.32467406496586754,-1.613257124568375,-8.380590716411426,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,46164800,0.045427904869530376
水部,25,113.72809089202235,0.21982255926318084,-2.1633483286884934,-8.320075412735264,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,34092300,0.033548109407676205
自然堤防,3,66.02989782145858,0.04543396399176392,-4.248575990818736,-7.7566874188298875,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,19793800,0.019477845965032024
山麓堆積地形,45,20.424307227599662,2.20325710431886,1.1206866872120136,5.4379110807320465,5e-4,7.777777777777778e-4,eligible,overrepresented,Jo,2,0.95,area_based,6122600,0.006024869388672466
砂州・砂丘,10,44.49774222383868,0.22473050317242213,-2.0994632876800785,-5.171561394353054,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,13339100,0.01312617764715005
旧河道,2,25.185286431733566,0.079411445465237665,-3.3609421621153746,-4.619968541306752,5e-4,7.777777777777778e-4,eligible,underrepresented,Jo,2,0.95,area_based,7549800,0.007429288032959753
後背低地・湿地,9,17.723905976376013,0.5077887465661347,-0.9398327902439024,-2.0721980348101927,0.0385,0.053899999999999997,eligible,no_clear_signal,Jo,2,0.95,area_based,5313100,0.005228290848488498
崖・段丘崖,30,25.009818728442195,1.1995288860643667,0.25775659542101365,0.9978403230844068,0.371,0.47218181818181815,eligible,no_clear_signal,Jo,2,0.95,area_based,7497200,0.007377527648508022
扇状地,1,2.367813228064914,0.42233060789902166,-0.9349885680471395,-0.8889003521002428,0.53,0.5707692307692308,low_expected_descriptive_only,no_clear_signal,Jo,2,0.95,area_based,709800,6.984699787802105e-4
河川敷・浜,0,0.5264031098741101,0,-1.0375974467338802,-0.7255364290468881,0.7145,0.7145,low_expected_descriptive_only,no_clear_signal,Jo,2,0.95,area_based,157800,1.552811533551947e-4
台地・段丘,1304,1282.9314454372732,1.0164221982691724,0.02349070782060224,0.5882108297829757,0.482,0.5623333333333334,eligible,no_clear_signal,Jo,2,0.95,area_based,384584700,0.37844585411128995
台地・段丘,353,230.09507929966432,1.5341484097548668,0.6163484875858195,8.102435926505827,5e-4,0.0014,eligible,overrepresented,Ya,3,0.95,area_based,384584700,0.37844585411128995
