basin_unit_id,basin_grid_area_m2,landform_known_area_m2,landform_coverage_ratio
B_830304_8,961100,961100,1
B_830304_80,5526400,5526400,1
B_830304_82,6416900,6416800,0.999984416151101
B_830304_83,2348400,2348400,1
B_830304_86,8342400,8342300,0.9999880130418104
B_830304_87,2597400,2597400,1
B_830304_88,12328400,12328300,0.9999918886473508
B_830304_9,1373800,1373100,0.9994904644052992
B_830304_96,200,200,1
B_830304_98,1418100,1418100,1
B_830305_1,7547600,6531600,0.8653876729026445
B_830305_10,4536600,4439900,0.978684477361901
B_830305_11,26800,26800,1
B_830305_12,5543600,5530500,0.997636914640306
B_830305_13,5135400,4043200,0.7873193908945749
B_830305_14,22933600,22933000,0.9999738375135172
B_830305_16,8254600,8254400,0.9999757710852132
B_830305_17,12914100,12850000,0.9950364330460504
B_830305_18,30131200,30009400,0.9959576784197112
B_830305_19,28983800,27204700,0.938617434566896
B_830305_2,8683800,8036300,0.9254358690895692
B_830305_20,16768300,15686000,0.9354555918011964
B_830305_21,1322800,1141800,0.8631690353794981
B_830305_22,14466300,14376300,0.9937786441591836
B_830305_23,12801000,12620800,0.9859229747675964
B_830305_24,4503900,4487900,0.9964475232576212
B_830305_25,11831700,10877800,0.9193776042326968
B_830305_26,6241100,6191600,0.992068705837112
B_830305_27,12940400,12093400,0.934546072764366
B_830305_28,4071300,4028600,0.9895119495001596
B_830305_29,1037800,608900,0.5867219117363653
B_830305_3,2275000,2231400,0.9808351648351648
B_830305_30,9921400,9845200,0.9923196323099562
B_830305_31,2753600,2613800,0.9492300987797792
B_830305_32,3197400,3139100,0.9817664352286232
B_830305_33,14214300,11369700,0.7998775880627256
B_830305_34,46675100,46674600,0.9999892876501604
B_830305_35,20556100,20190600,0.982219389864809
B_830305_36,5964300,5932000,0.994584444109116
B_830305_37,5966000,5618500,0.9417532685216226
B_830305_38,4007500,3988900,0.9953587024329382
B_830305_39,2914200,2320100,0.7961361608674765
B_830305_4,758600,256500,0.33812285789612445
B_830305_40,11114000,10726900,0.9651700557854958
B_830305_41,5647400,5525800,0.9784679675602932
B_830305_42,10934700,9851900,0.9009757926600638
B_830305_43,18381900,15962300,0.8683705166495302
B_830305_44,10182500,7154800,0.7026565185367051
B_830305_45,3637000,3306400,0.9091009073412152
B_830305_46,40524600,5681000,0.14018645464730065
B_830305_47,1731700,1535700,0.8868164231679853
B_830305_48,9602400,9322900,0.9708926934932932
B_830305_49,4902800,4444200,0.9064616137717224
B_830305_5,4913600,4913500,0.9999796483230218
B_830305_50,1813900,1688100,0.930646672914714
B_830305_51,1378300,1378200,0.9999274468548212
B_830305_52,1866900,1792600,0.960201403396004
B_830305_53,616000,616000,1
B_830305_54,10210300,3399700,0.33296768949002475
B_830305_55,3697700,3696400,0.9996484301052004
B_830305_56,6499700,6412600,0.986599381509916
B_830305_57,2595200,2588700,0.9974953760789148
B_830305_58,7423700,1992500,0.2683971604455999
B_830305_59,2393000,2386800,0.9974091099038864
B_830305_6,955700,675000,0.7062885842837711
B_830305_60,360100,219000,0.6081643987781172
B_830305_61,2318100,1541000,0.6647685604589966
B_830305_63,4554900,6300,0.00138312586445366
B_830305_7,58400,16900,0.2893835616438356
B_830305_71,1180900,1149800,0.973664154458464
B_830305_72,3919000,3909300,0.9975248787956112
B_830305_73,4451000,4275900,0.9606605257245564
B_830305_74,11889800,2873800,0.24170297229558108
B_830305_75,13809300,4471400,0.3237962822156083
B_830305_76,7069200,770500,0.10899394556668364
B_830305_8,5383700,5373000,0.9980125192711332
B_830305_9,93100,92300,0.99140708915145
B_830306_16,18883400,18882700,0.9999629304044824
B_830306_17,1435900,1435800,0.9999303572672192
B_830306_18,51900,51900,1
B_830306_19,2158600,2158600,1
B_830306_20,26449500,26366900,0.9968770676194256
B_830306_21,4505400,4505200,0.9999556088249656
B_unknown_0,184454200,183537800,0.9950318290394038
