phase_code,phase_order,gsi_landform_class,n_thresholds,min_selection_ratio,max_selection_ratio,min_log2_ratio,max_log2_ratio,log2_range,direction_stability
He,6,凹地・浅い谷,3,0.5273203586084056,0.6386483104999449,-0.9046990488495473,-0.636648053865004,0.2680509949845433,stable_under
He,6,台地・段丘,3,1.152147138603626,1.2439041523343868,0.20408244931585257,0.3145876349974331,0.11050518568158052,stable_over
He,6,山地斜面等,3,1.1360621363646224,1.2049388803968515,0.1839479605610593,0.26877367682605663,0.08482571626499733,stable_over
He,6,山麓堆積地形,3,0.9087438083919586,1.1286843452156707,-0.13556827056915624,0.17240702745379416,0.30797529802295043,crosses_neutral
He,6,崖・段丘崖,3,0.6753165500106852,0.8716202923208133,-0.5414974593624862,-0.19224129951777527,0.3492561598447109,stable_under
He,6,後背低地・湿地,3,1.8786843535004882,1.8786843535004882,0.8370168633734877,0.8370168633734877,0,stable_over
He,6,扇状地,3,0,1.4801772621972147,-1.4089347113643584,0.433475495055992,1.8424102064203505,crosses_neutral
He,6,旧水部,3,0,0,-5.145632075515766,-5.144248812730513,0.0013832627852528034,stable_under
He,6,旧河道,3,0.20954570222172317,0.34641495476205725,-2.1470783105434177,-1.4206585289434732,0.7264197815999445,stable_under
He,6,水部,3,0.5834448770275414,0.695071554674994,-0.7618395705946155,-0.5134422935264358,0.2483972770681797,stable_under
He,6,氾濫平野・海岸平野,3,0.5008103596387019,0.5151840179458367,-0.9953755948990415,-0.9551619622477955,0.040213632651246,stable_under
He,6,河川敷・浜,2,0,0,-0.2855536572037615,-0.18890548702472995,0.09664817017903157,insufficient_threshold_coverage
He,6,砂州・砂丘,3,1.8663758222368048,1.877050752851397,0.8714606652717936,0.8793377624157653,0.007877097143971779,stable_over
He,6,自然堤防,3,1.3702321651797418,1.696873837353592,0.4372923659823634,0.7261155640875926,0.2888231981052292,stable_over
He,6,落堀,1,0,0,-0.0026903244591422954,-0.0026903244591422954,0,insufficient_threshold_coverage
Jo,2,凹地・浅い谷,3,0.4182387054139376,0.4507317588356921,-1.248922842875458,-1.142502288377879,0.10642055449757892,stable_under
Jo,2,台地・段丘,3,1.2030153886864767,1.240195570881036,0.2665302031638315,0.3104418659462076,0.04391166278237607,stable_over
Jo,2,山地斜面等,3,1.23733736329714,1.3006033949336746,0.3071333294932965,0.37901189706999155,0.07187856757669503,stable_over
Jo,2,山麓堆積地形,3,0.6848803085657766,0.8668543308235047,-0.5383501117228744,-0.20402610704720284,0.3343240046756716,stable_under
Jo,2,崖・段丘崖,3,1.0543374674240993,1.1371366145198836,0.07513117897467482,0.18193876945335252,0.1068075904786777,stable_over
Jo,2,後背低地・湿地,3,0.8209698641240515,0.8209698641240515,-0.2709403848592008,-0.2709403848592008,0,stable_under
Jo,2,扇状地,3,0,0.4609939061426309,-2.0444317985608165,-0.8314589997370444,1.2129727988237722,stable_under
Jo,2,旧水部,3,0,0,-7.453254375279702,-7.453009100295848,2.452749838539603e-4,stable_under
Jo,2,旧河道,3,0.06819187498380995,0.08657850821146781,-3.5767159666007124,-3.2388126031694213,0.3379033634312911,stable_under
Jo,2,水部,3,0.4273328693200041,0.48567288352632354,-1.21027648055086,-1.0273199384842697,0.18295654206659018,stable_under
Jo,2,氾濫平野・海岸平野,3,0.46120312413578757,0.46764114323396966,-1.1151592788232856,-1.0952037115688047,0.019955567254480888,stable_under
Jo,2,河川敷・浜,3,0,0,-0.552957168078518,-0.009127802236247219,0.5438293658422708,stable_under
Jo,2,砂州・砂丘,3,0.5583538719503385,0.5602925136663812,-0.8100837589726616,-0.8052193408982404,0.004864418074421173,stable_under
Jo,2,自然堤防,3,0.27871189860522844,0.42309760903802607,-1.686267193532436,-1.1168518605337194,0.5694153329987166,stable_under
Jo,2,落堀,1,0,0,-0.005375641362542767,-0.005375641362542767,0,insufficient_threshold_coverage
Ko,4,凹地・浅い谷,3,0.32009579054487175,0.3980211527761076,-1.6151230476800265,-1.3007921850776587,0.31433086260236776,stable_under
Ko,4,台地・段丘,3,1.2959955499111024,1.4769246235184328,0.3736506101296603,0.5622116455703644,0.18856103544070413,stable_over
Ko,4,山地斜面等,3,1.0573607434557155,1.2965800399573881,0.08036089452608179,0.37397246914580495,0.29361157461972315,stable_over
Ko,4,山麓堆積地形,3,0.6177320889542883,0.8356965324719151,-0.662135576292716,-0.24305910702146766,0.41907646927124836,stable_under
Ko,4,崖・段丘崖,3,2.4610831267402995,3.008948132535955,1.27217458216249,1.5646977158631257,0.29252313370063576,stable_over
Ko,4,後背低地・湿地,3,0.9748141303150855,0.9748141303150855,-0.034003179503719436,-0.034003179503719436,0,stable_under
Ko,4,扇状地,3,0,1.037078627477572,-0.8137684011796952,0.03480351965576088,0.8485719208354561,crosses_neutral
Ko,4,旧水部,3,0.019518690761089075,0.0195367566492252,-5.108048901685179,-5.106727111747227,0.001321789937952289,stable_under
Ko,4,旧河道,3,0.18814339472746636,0.4099376431296573,-2.329818769790792,-1.2195078642751247,1.1103109055156672,stable_under
Ko,4,水部,3,0.07739287646189473,0.09097086239398633,-3.397374287755716,-3.209977529233475,0.1873967585222407,stable_under
Ko,4,氾濫平野・海岸平野,3,0.39381726021953134,0.4916588846445649,-1.3409409368358867,-1.0205803333994228,0.3203606034364639,stable_under
Ko,4,河川敷・浜,2,0,0,-0.7624472194072247,-0.3801409293431749,0.3823062900640498,insufficient_threshold_coverage
Ko,4,砂州・砂丘,3,1.2493486607021724,1.279337965906097,0.3114862235851516,0.34454646589076543,0.03306024230561383,stable_over
Ko,4,自然堤防,3,0.7417664692551986,1.0864750773571568,-0.42027922971684917,0.11563625893021212,0.5359154886470613,crosses_neutral
Ko,4,落堀,1,0,0,-0.025622331007088484,-0.025622331007088484,0,insufficient_threshold_coverage
Me,7,凹地・浅い谷,3,0.21715805209620762,0.31883485670587997,-2.071897161758852,-1.582070336492537,0.48982682526631494,stable_under
Me,7,台地・段丘,3,1.3623003656095687,1.3957799702232403,0.4450930692204479,0.4801920028066913,0.035098933586243386,stable_over
Me,7,山地斜面等,3,1.0208329844172046,1.0754545629575865,0.029704578553295977,0.10473521428147622,0.07503063572818025,stable_over
Me,7,山麓堆積地形,3,2.127322902666138,2.370902008256306,1.0533424705918844,1.215324872977233,0.16198240238534867,stable_over
Me,7,崖・段丘崖,3,1.220994938050176,1.3301556577620242,0.2729542491329983,0.3838452166365185,0.11089096750352018,stable_over
Me,7,後背低地・湿地,3,1.8274895197426608,1.8274895197426608,0.7808355073173495,0.7808355073173495,0,stable_over
Me,7,扇状地,3,0,2.215537897897492,-1.0952029898469313,0.8337058512240277,1.928908841070959,crosses_neutral
