phase_code,phase_order,gsi_landform_class,n_thresholds,min_selection_ratio,max_selection_ratio,min_log2_ratio,max_log2_ratio,log2_range,direction_stability
Me,7,旧水部,3,0,0,-5.875594349057383,-5.87477389377191,8.204552854733649e-4,stable_under
Me,7,旧河道,3,0.3628538408572996,0.4643706380763368,-1.3764573934472972,-0.9918063367667441,0.3846510566805531,stable_under
Me,7,水部,3,0.044264855273634,0.053665639807180525,-3.9443141087047593,-3.673096324943795,0.27121778376096417,stable_under
Me,7,氾濫平野・海岸平野,3,0.6085600840681775,0.6337345955516666,-0.7133342961438814,-0.6559592330251748,0.05737506311870666,stable_under
Me,7,河川敷・浜,2,0,0,-0.20379004451987812,-0.10130136214944915,0.10248868237042896,insufficient_threshold_coverage
Me,7,砂州・砂丘,3,1.9356464613114734,2.0249361443126674,0.9167866215892944,0.9804514367103848,0.06366481512109046,stable_over
Me,7,自然堤防,3,1.5378041490412373,1.8553564955550823,0.5975495682554053,0.8431613165714741,0.2456117483160688,stable_over
Me,7,落堀,1,0,0,-0.005375641362542767,-0.005375641362542767,0,insufficient_threshold_coverage
Na,5,凹地・浅い谷,3,0.3468692492377535,0.4907421378245122,-1.4770706276599714,-1.0030659905645662,0.4740046370954052,stable_under
Na,5,台地・段丘,3,1.1752466123156935,1.2441310959804686,0.23264392721506177,0.3147969362755287,0.08215300906046691,stable_over
Na,5,山地斜面等,3,1.1486517131494534,1.2025999885119045,0.1998017134989364,0.26590683731306264,0.06610512381412623,stable_over
Na,5,山麓堆積地形,3,1.0609201090627771,1.3116405135239417,0.08336424929249243,0.38487106540997207,0.30150681611747965,stable_over
Na,5,崖・段丘崖,3,1.4244920433979555,1.868503480813952,0.4962752500673877,0.8814873565328879,0.3852121064655002,stable_over
Na,5,後背低地・湿地,3,1.5763767779102034,1.5763767779102034,0.6022152156533351,0.6022152156533351,0,stable_over
Na,5,扇状地,3,0,0,-1.6793938342351926,-1.3432141658193772,0.33617966841581537,stable_under
Na,5,旧水部,3,0,0,-5.83548363165887,-5.834441728290986,0.0010419033678843448,stable_under
Na,5,旧河道,3,0.19234865813285487,0.2832035658594797,-2.242556444634651,-1.6642340639793258,0.578322380655325,stable_under
Na,5,水部,3,0.2540410667034912,0.3103558273669781,-1.9032748471546634,-1.6201019045251805,0.2831729426294829,stable_under
Na,5,氾濫平野・海岸平野,3,0.5443162764486806,0.5661127469115825,-0.8757563927077061,-0.8187295123540792,0.05702688035362691,stable_under
Na,5,河川敷・浜,2,0,0,-0.29947838259609944,-0.10130136214944915,0.19817702044665028,insufficient_threshold_coverage
Na,5,砂州・砂丘,3,1.817732311767027,1.8478173535394082,0.8361587021021951,0.8588941088341104,0.02273540673191532,stable_over
Na,5,自然堤防,3,1.2397678857471968,1.6907146208973869,0.299625755524434,0.7277481592918928,0.42812240376745886,stable_over
Na,5,落堀,1,0,0,-0.012868046479749271,-0.012868046479749271,0,insufficient_threshold_coverage
Pa,1,凹地・浅い谷,3,0.4642563876859654,0.5630533833389718,-1.0859640374994206,-0.8151812931753177,0.2707827443241029,stable_under
Pa,1,台地・段丘,3,1.2365209830193507,1.286082609530305,0.30578426470969783,0.3624508584095983,0.05666659369990046,stable_over
Pa,1,山地斜面等,3,1.1679639392062375,1.2276859630923151,0.22342298324166648,0.2949613641175135,0.07153838087584702,stable_over
Pa,1,山麓堆積地形,3,1.0276892475919293,1.0990460988117623,0.03674340103569756,0.12530176838556178,0.08855836734986422,stable_over
Pa,1,崖・段丘崖,3,1.368277386258598,1.4550590653382018,0.42466450471547146,0.5069317759995761,0.0822672712841046,stable_over
Pa,1,後背低地・湿地,3,0.3935057322437996,0.3935057322437996,-1.019706203568229,-1.019706203568229,0,stable_under
Pa,1,扇状地,3,0,0,-0.6961444546434734,-0.5004772689902774,0.19566718565319596,stable_under
Pa,1,旧水部,3,0,0,-4.897133579173361,-4.896485689274883,6.478898984783044e-4,stable_under
Pa,1,旧河道,3,0.16701822343687384,0.4061580920733963,-2.1126713555024823,-0.9816556412076318,1.1310157142948505,stable_under
Pa,1,水部,3,0.6886556724021262,0.7885698402876096,-0.5078851423229034,-0.3222096004366669,0.18567554188623647,stable_under
Pa,1,氾濫平野・海岸平野,3,0.31103392283072023,0.36384980147725876,-1.6699440129287517,-1.443943232951539,0.2260007799772128,stable_under
Pa,1,河川敷・浜,2,0,0,-0.08620651632234423,-0.08620651632234423,0,insufficient_threshold_coverage
Pa,1,砂州・砂丘,3,0,0,-2.869192225138843,-2.866742973482713,0.0024492516561300803,stable_under
Pa,1,自然堤防,3,0,0,-2.2614246954778943,-1.7316542864753652,0.529770409002529,stable_under
Pa,1,落堀,1,0,0,-5.384663929072557e-4,-5.384663929072557e-4,0,insufficient_threshold_coverage
Ya,3,凹地・浅い谷,3,0.32078627741950055,0.35443596633784663,-1.5734638720038454,-1.440550344381588,0.1329135276222575,stable_under
Ya,3,台地・段丘,3,1.5137309199529592,1.5607700488689789,0.5969383860193898,0.6411577100181128,0.04421932399872308,stable_over
Ya,3,山地斜面等,3,1.0862323182645224,1.1494412366057325,0.11896137677448544,0.20015458967938593,0.08119321290490049,stable_over
Ya,3,山麓堆積地形,3,0.5924249476014727,0.7926551827558305,-0.6687500192229315,-0.3077810001754719,0.36096901904745965,stable_under
Ya,3,崖・段丘崖,3,0.933582472058532,1.0714136679910449,-0.0935030960892333,0.09346782051093437,0.18697091660016768,crosses_neutral
Ya,3,後背低地・湿地,3,1.0777351287536197,1.0777351287536197,0.0978432303686335,0.0978432303686335,0,stable_over
Ya,3,扇状地,3,0,0,-0.5357431317375345,-0.27089045995662275,0.26485267178091176,stable_under
Ya,3,旧水部,3,0,0,-5.56776967825799,-5.567189849535367,5.798287226230769e-4,stable_under
Ya,3,旧河道,3,0,0,-3.598008128436753,-2.9188907779851654,0.6791173504515875,stable_under
Ya,3,水部,3,0.12451633113627741,0.13806301331803236,-2.7278899753831043,-2.5836287368117827,0.14426123857132156,stable_under
Ya,3,氾濫平野・海岸平野,3,0.3738996332279539,0.39634871768581575,-1.4103059179343527,-1.325339229151267,0.08496668878308578,stable_under
Ya,3,河川敷・浜,2,0,0,-0.01601917161210019,-0.01601917161210019,0,insufficient_threshold_coverage
Ya,3,砂州・砂丘,3,0.5686129650573934,0.5869531573017505,-0.7567636250278971,-0.7134666523643517,0.043296972663545374,stable_under
Ya,3,自然堤防,3,1.1155484470422754,1.3896345036846065,0.13934871082735067,0.43210052399013005,0.2927518131627794,stable_over
Ya,3,落堀,1,0,0,-0.0048389776917048336,-0.0048389776917048336,0,insufficient_threshold_coverage
