phase_code,gsi_landform_class,sensitivity_observed_count,sensitivity_expected_count,sensitivity_log2_selection_ratio,primary_observed_count,primary_expected_count,primary_log2_selection_ratio,observed_diff,expected_diff,log2_diff,audit_ok
Pa,凹地・浅い谷,19,39.509638456558235,-1.0368734679856302,19,39.50963845655823,-1.03687346798563,0,7.105427357601002e-15,-2.220446049250313e-16,TRUE
Pa,台地・段丘,371,289.4845724403635,0.3573860617506547,371,289.4845724403635,0.3573860617506547,0,0,0,TRUE
Pa,山地斜面等,211,180.65626250704122,0.22342298324166648,211,180.65626250704128,0.22342298324166593,0,-5.684341886080802e-14,5.551115123125783e-16,TRUE
Pa,山麓堆積地形,7,6.74095788527907,0.05071003574041732,7,6.74095788527907,0.05071003574041732,0,0,0,TRUE
Pa,崖・段丘崖,9,6.185315919053853,0.5069317759995761,9,6.185315919053854,0.5069317759995758,0,-8.881784197001252e-16,2.220446049250313e-16,TRUE
Pa,後背低地・湿地,1,2.5412590416356173,-1.019706203568229,1,2.5412590416356173,-1.019706203568229,0,0,0,TRUE
Pa,扇状地,0,0.26756596823912254,-0.6183626529394983,0,0.2675659682391226,-0.6183626529394985,0,-5.551115123125783e-17,2.220446049250313e-16,TRUE
Pa,旧水部,0,14.398896542661225,-4.897133579173361,0,14.398896542661225,-4.897133579173361,0,0,0,TRUE
Pa,旧河道,1,3.981016275286159,-1.5788634657228413,1,3.981016275286159,-1.5788634657228413,0,0,0,TRUE
Pa,水部,7,9.49488639403187,-0.41429957319246963,7,9.49488639403187,-0.41429957319246963,0,0,0,TRUE
Pa,氾濫平野・海岸平野,33,101.25215921952405,-1.6028264086708583,33,101.25215921952405,-1.6028264086708583,0,0,0,TRUE
Pa,河川敷・浜,0,0.030787579265483752,-0.08620651632234423,0,0.030787579265483752,-0.08620651632234423,0,0,0,TRUE
Pa,砂州・砂丘,0,3.147082850106605,-2.866742973482713,0,3.1470828501066053,-2.8667429734827135,0,-4.440892098500626e-16,4.440892098500626e-16,TRUE
Pa,自然堤防,0,1.3095989209541197,-1.85566997417589,0,1.3095989209541201,-1.8556699741758906,0,-4.440892098500626e-16,6.661338147750939e-16,TRUE
Jo,凹地・浅い谷,50,117.16010959818774,-1.2202699922308136,50,117.16010959818774,-1.2202699922308136,0,0,0,TRUE
Jo,台地・段丘,1304,1057.694439940625,0.3018922016142026,1304,1057.6944399406252,0.3018922016142023,0,-2.2737367544323206e-13,2.7755575615628914e-16,TRUE
Jo,山地斜面等,1621,1310.0711641653752,0.3071333294932965,1621,1310.0711641653752,0.3071333294932965,0,0,0,TRUE
Jo,山麓堆積地形,45,51.91183616427267,-0.20402610704720284,45,51.91183616427267,-0.20402610704720284,0,0,0,TRUE
Jo,崖・段丘崖,30,27.84209349914521,0.10586291528462138,30,27.842093499145214,0.10586291528462138,0,-3.552713678800501e-15,0,TRUE
Jo,後背低地・湿地,9,10.962643567438022,-0.2709403848592008,9,10.962643567438022,-0.2709403848592008,0,0,0,TRUE
Jo,扇状地,1,2.1692260714843403,-0.8314589997370444,1,2.1692260714843403,-0.8314589997370444,0,0,0,TRUE
Jo,旧水部,0,87.12401249867168,-7.453254375279702,0,87.12401249867168,-7.453254375279702,0,0,0,TRUE
Jo,旧河道,2,23.100421124316494,-3.2388126031694213,2,23.100421124316497,-3.2388126031694218,0,-3.552713678800501e-15,4.440892098500626e-16,TRUE
Jo,水部,25,55.45073182041483,-1.133659754301245,25,55.45073182041484,-1.1336597543012452,0,-7.105427357601002e-15,2.220446049250313e-16,TRUE
Jo,氾濫平野・海岸平野,290,620.1336306606956,-1.0952037115688047,290,620.1336306606956,-1.0952037115688047,0,0,0,TRUE
Jo,河川敷・浜,0,0.1150758778780791,-0.2988363023708992,0,0.1150758778780791,-0.2988363023708992,0,0,0,TRUE
Jo,砂州・砂丘,10,17.84782012267679,-0.8052193408982404,10,17.847820122676794,-0.8052193408982407,0,-3.552713678800501e-15,2.220446049250313e-16,TRUE
Jo,自然堤防,3,8.4167948888183,-1.349170309506378,3,8.4167948888183,-1.349170309506378,0,0,0,TRUE
Ya,凹地・浅い谷,8,22.5710728023985,-1.440550344381588,8,22.5710728023985,-1.440550344381588,0,0,0,TRUE
Ya,台地・段丘,353,228.39119176790032,0.627048269123486,353,228.39119176790035,0.6270482691234859,0,-2.842170943040401e-14,1.1102230246251565e-16,TRUE
Ya,山地斜面等,167,153.74243354019936,0.11896137677448544,167,153.74243354019939,0.11896137677448514,0,-2.842170943040401e-14,3.0531133177191805e-16,TRUE
Ya,山麓堆積地形,5,6.307913086011071,-0.3077810001754719,5,6.307913086011071,-0.3077810001754719,0,0,0,TRUE
Ya,崖・段丘崖,8,8.217998776277144,-0.03653415993422744,8,8.217998776277145,-0.03653415993422777,0,-1.7763568394002505e-15,3.2612801348363973e-16,TRUE
Ya,後背低地・湿地,5,4.639358843004779,0.0978432303686335,5,4.639358843004779,0.0978432303686335,0,0,0,TRUE
Ya,扇状地,0,0.20451090932070143,-0.4946939518902994,0,0.20451090932070146,-0.49469395189029963,0,-2.7755575615628914e-17,2.220446049250313e-16,TRUE
Ya,旧水部,0,23.215685719704528,-5.56776967825799,0,23.215685719704528,-5.56776967825799,0,0,0,TRUE
Ya,旧河道,0,4.751143117592413,-3.3926315162197835,0,4.751143117592414,-3.392631516219784,0,-8.881784197001252e-16,4.440892098500626e-16,TRUE
Ya,水部,2,15.400073798018981,-2.669033461596985,2,15.400073798018985,-2.6690334615969853,0,-3.552713678800501e-15,4.440892098500626e-16,TRUE
Ya,氾濫平野・海岸平野,49,127.49779727094129,-1.3706185526263794,49,127.49779727094132,-1.3706185526263797,0,-2.842170943040401e-14,2.220446049250313e-16,TRUE
Ya,河川敷・浜,0,0.0055827589433303,-0.01601917161210019,0,0.0055827589433303,-0.01601917161210019,0,0,0,TRUE
Ya,砂州・砂丘,5,8.737555525591922,-0.7480795124759275,5,8.737555525591922,-0.7480795124759275,0,0,0,TRUE
Ya,自然堤防,6,4.317682084095523,0.43210052399013005,6,4.317682084095523,0.43210052399013005,0,0,0,TRUE
Ko,凹地・浅い谷,16,43.99028050763834,-1.4310241701474187,16,43.990280507638346,-1.431024170147419,0,-7.105427357601002e-15,2.220446049250313e-16,TRUE
Ko,台地・段丘,718,503.56658525735276,0.511373835902708,718,503.56658525735276,0.511373835902708,0,0,0,TRUE
Ko,山地斜面等,375,351.1809304932267,0.09454579918727511,375,351.1809304932267,0.09454579918727511,0,0,0,TRUE
Ko,山麓堆積地形,8,12.65547805163208,-0.6301289286089122,8,12.655478051632082,-0.6301289286089126,0,-1.7763568394002505e-15,3.3306690738754696e-16,TRUE
Ko,崖・段丘崖,38,15.440356153402643,1.27217458216249,38,15.440356153402645,1.2721745821624897,0,-1.7763568394002505e-15,2.220446049250313e-16,TRUE
Ko,後背低地・湿地,6,6.15501951952691,-0.034003179503719436,6,6.15501951952691,-0.034003179503719436,0,0,0,TRUE
Ko,扇状地,1,0.9642470430928113,0.03480351965576088,1,0.9642470430928114,0.03480351965576088,0,-1.1102230246251565e-16,0,TRUE
Ko,旧水部,1,51.23080541214697,-5.107989247626776,1,51.23080541214697,-5.107989247626776,0,0,0,TRUE
Ko,旧河道,7,22.325820132955904,-1.6057041965307004,7,22.325820132955904,-1.6057041965307004,0,0,0,TRUE
Ko,水部,2,25.84217167564153,-3.397374287755716,2,25.842171675641534,-3.397374287755716,0,-3.552713678800501e-15,0,TRUE
Ko,氾濫平野・海岸平野,118,261.5886738789767,-1.145167950049488,118,261.5886738789767,-1.145167950049488,0,0,0,TRUE
Ko,河川敷・浜,0,0.1507344914699181,-0.3801409293431749,0,0.1507344914699181,-0.3801409293431749,0,0,0,TRUE
Ko,砂州・砂丘,18,14.102782256497067,0.34128199990757,18,14.102782256497067,0.34128199990757,0,0,0,TRUE
Ko,自然堤防,15,13.806115126439344,0.11563625893021212,15,13.806115126439346,0.11563625893021182,0,-1.7763568394002505e-15,3.0531133177191805e-16,TRUE
Na,凹地・浅い谷,10,27.760795329741935,-1.4284127394127542,10,27.760795329741935,-1.4284127394127542,0,0,0,TRUE
Na,台地・段丘,472,382.00819970772585,0.30482365459802263,472,382.00819970772585,0.30482365459802263,0,0,0,TRUE
Na,山地斜面等,767,667.7393949964048,0.1998017134989364,767,667.7393949964048,0.1998017134989364,0,0,0,TRUE
Na,山麓堆積地形,34,25.921736672080453,0.38487106540997207,34,25.921736672080453,0.38487106540997207,0,0,0,TRUE
Na,崖・段丘崖,21,14.742097084590947,0.4962752500673877,21,14.742097084590949,0.4962752500673877,0,-1.7763568394002505e-15,0,TRUE
Na,後背低地・湿地,7,4.44056275002977,0.6022152156533351,7,4.44056275002977,0.6022152156533351,0,0,0,TRUE
Na,扇状地,0,1.0222219218921884,-1.6061787019912726,0,1.0222219218921884,-1.6061787019912726,0,0,0,TRUE
Na,旧水部,0,28.051282204326483,-5.83548363165887,0,28.051282204326483,-5.83548363165887,0,0,0,TRUE
Na,旧河道,4,15.89214519452437,-1.8650077617314302,4,15.89214519452437,-1.8650077617314302,0,0,0,TRUE
Na,水部,7,24.916260591565116,-1.760789286394074,7,24.91626059156512,-1.7607892863940742,0,-3.552713678800501e-15,2.220446049250313e-16,TRUE
Na,氾濫平野・海岸平野,181,327.0512121883842,-0.8517509394797975,181,327.0512121883842,-0.8517509394797975,0,0,0,TRUE
Na,河川敷・浜,0,0.03637033820881405,-0.10130136214944915,0,0.03637033820881405,-0.10130136214944915,0,0,0,TRUE
Na,砂州・砂丘,22,11.954267045360492,0.8532848824038098,22,11.954267045360492,0.8532848824038098,0,0,0,TRUE
Na,自然堤防,16,9.46345397516443,0.7277481592918928,16,9.463453975164432,0.7277481592918926,0,-1.7763568394002505e-15,2.220446049250313e-16,TRUE
He,凹地・浅い谷,20,35.26446122584421,-0.8029027984617324,20,35.264461225844215,-0.8029027984617326,0,-7.105427357601002e-15,2.220446049250313e-16,TRUE
He,台地・段丘,564,455.1690860459704,0.30898708386485485,564,455.1690860459704,0.30898708386485485,0,0,0,TRUE
He,山地斜面等,1046,920.724286566913,0.1839479605610593,1046,920.724286566913,0.1839479605610593,0,0,0,TRUE
He,山麓堆積地形,41,36.32547946092551,0.17240702745379416,41,36.32547946092551,0.17240702745379416,0,0,0,TRUE
He,崖・段丘崖,11,15.835084010844676,-0.5063400133625131,11,15.835084010844676,-0.5063400133625131,0,0,0,TRUE
He,後背低地・湿地,8,4.258299157649274,0.8370168633734877,8,4.258299157649274,0.8370168633734877,0,0,0,TRUE
He,扇状地,1,1.2434611973314638,-0.21699175496764023,1,1.2434611973314638,-0.21699175496764023,0,0,0,TRUE
He,旧水部,0,17.199443258846475,-5.145632075515766,0,17.199443258846475,-5.145632075515766,0,0,0,TRUE
He,旧河道,5,18.267927730323937,-1.7707658393527386,5,18.267927730323937,-1.7707658393527386,0,0,0,TRUE
He,水部,19,30.52924522649412,-0.6701544803607296,19,30.529245226494123,-0.6701544803607298,0,-3.552713678800501e-15,2.220446049250313e-16,TRUE
He,氾濫平野・海岸平野,208,403.73923249666467,-0.9551619622477955,208,403.73923249666467,-0.9551619622477955,0,0,0,TRUE
He,河川敷・浜,0,0.06994929694596295,-0.18890548702472995,0,0.06994929694596295,-0.18890548702472995,0,0,0,TRUE
He,砂州・砂丘,21,11.220768721961765,0.8752694659084461,21,11.220768721961765,0.8752694659084461,0,0,0,TRUE
He,自然堤防,15,9.15327560328443,0.6831777416073171,15,9.153275603284431,0.683177741607317,0,-1.7763568394002505e-15,1.1102230246251565e-16,TRUE
Me,凹地・浅い谷,5,19.48921391946372,-1.861718215126502,5,19.489213919463722,-1.8617182151265024,0,-3.552713678800501e-15,4.440892098500626e-16,TRUE
Me,台地・段丘,324,232.1282773159294,0.4801920028066913,324,232.12827731592944,0.48019200280669105,0,-2.842170943040401e-14,2.220446049250313e-16,TRUE
Me,山地斜面等,355,347.7552209019482,0.029704578553295977,355,347.7552209019483,0.029704578553295665,0,-1.1368683772161603e-13,3.122502256758253e-16,TRUE
Me,山麓堆積地形,32,13.49697283504964,1.215324872977233,32,13.49697283504964,1.215324872977233,0,0,0,TRUE
Me,崖・段丘崖,9,7.22005322290187,0.2993167198165629,9,7.22005322290187,0.2993167198165629,0,0,0,TRUE
Me,後背低地・湿地,6,3.283192562901753,0.7808355073173495,6,3.283192562901753,0.7808355073173495,0,0,0,TRUE
Me,扇状地,1,0.7875125640657248,0.22037598995782565,1,0.7875125640657249,0.22037598995782565,0,-1.1102230246251565e-16,0,TRUE
Me,旧水部,0,28.849803623853894,-5.8752789453490974,0,28.849803623853894,-5.8752789453490974,0,0,0,TRUE
Me,旧河道,4,9.665952051482268,-1.1757484247747076,4,9.665952051482268,-1.1757484247747076,0,0,0,TRUE
Me,水部,1,20.147901117694822,-3.782960731695185,1,20.147901117694826,-3.7829607316951854,0,-3.552713678800501e-15,4.440892098500626e-16,TRUE
Me,氾濫平野・海岸平野,115,183.42348631790054,-0.6712128664492998,115,183.42348631790057,-0.6712128664492998,0,-2.842170943040401e-14,0,TRUE
Me,河川敷・浜,0,0.03637033820881405,-0.10130136214944915,0,0.03637033820881405,-0.10130136214944915,0,0,0,TRUE
Me,砂州・砂丘,18,9.299218819021487,0.9167866215892944,18,9.299218819021487,0.9167866215892944,0,0,0,TRUE
Me,自然堤防,13,7.416824409577787,0.7699656485349348,13,7.416824409577787,0.7699656485349348,0,0,0,TRUE
