gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,phase_code,phase_order,coverage_threshold,selection_model
氾濫平野・海岸平野,33,101.25215921952405,0.32591897550009724,-1.6028264086708583,-6.782881792499944,5e-4,0.00175,eligible,underrepresented,Pa,1,0.95,basin_conditioned
台地・段丘,371,289.4845724403635,1.2815881581269049,0.3573860617506547,4.791010238503481,5e-4,0.00175,eligible,overrepresented,Pa,1,0.95,basin_conditioned
旧水部,0,14.398896542661225,0,-4.897133579173361,-3.794587796146141,5e-4,0.00175,eligible,underrepresented,Pa,1,0.95,basin_conditioned
凹地・浅い谷,19,39.50963845655823,0.48089531421278237,-1.03687346798563,-3.2629203831232374,5e-4,0.00175,eligible,underrepresented,Pa,1,0.95,basin_conditioned
山地斜面等,211,180.65626250704128,1.1679639392062373,0.22342298324166593,2.25757694875664,0.001,0.0028,eligible,overrepresented,Pa,1,0.95,basin_conditioned
砂州・砂丘,0,3.1470828501066053,0,-2.8667429734827135,-1.7740019306941595,0.077,0.17966666666666667,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,basin_conditioned
旧河道,1,3.981016275286159,0.25119214061191425,-1.5788634657228413,-1.4940577016628485,0.206,0.412,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,basin_conditioned
自然堤防,0,1.3095989209541201,0,-1.8556699741758906,-1.1443770886181357,0.4065,0.5690999999999999,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,basin_conditioned
崖・段丘崖,9,6.185315919053854,1.4550590653382016,0.5069317759995758,1.1317453366803278,0.296,0.518,eligible,no_clear_signal,Pa,1,0.95,basin_conditioned
後背低地・湿地,1,2.5412590416356173,0.3935057322437996,-1.019706203568229,-0.9668323401083648,0.3875,0.5690999999999999,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,basin_conditioned
水部,7,9.49488639403187,0.7372389420477888,-0.41429957319246963,-0.8096659733287495,0.494,0.6287272727272727,eligible,no_clear_signal,Pa,1,0.95,basin_conditioned
扇状地,0,0.2675659682391226,0,-0.6183626529394985,-0.5172677916119682,1,1,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,basin_conditioned
河川敷・浜,0,0.030787579265483752,0,-0.08620651632234423,-0.17546389732786558,1,1,low_expected_descriptive_only,no_clear_signal,Pa,1,0.95,basin_conditioned
山麓堆積地形,7,6.74095788527907,1.0384280867985582,0.05071003574041732,0.09977220489183328,1,1,eligible,no_clear_signal,Pa,1,0.95,basin_conditioned
氾濫平野・海岸平野,290,620.1336306606956,0.46764114323396966,-1.0952037115688047,-13.257057071558034,5e-4,0.001,eligible,underrepresented,Jo,2,0.95,basin_conditioned
旧水部,0,87.12401249867168,0,-7.453254375279702,-9.33402445350727,5e-4,0.001,eligible,underrepresented,Jo,2,0.95,basin_conditioned
山地斜面等,1621,1310.0711641653752,1.23733736329714,0.3071333294932965,8.590403370624639,5e-4,0.001,eligible,overrepresented,Jo,2,0.95,basin_conditioned
台地・段丘,1304,1057.6944399406252,1.2328702418755282,0.3018922016142023,7.573455971108174,5e-4,0.001,eligible,overrepresented,Jo,2,0.95,basin_conditioned
凹地・浅い谷,50,117.16010959818774,0.42676641539069887,-1.2202699922308136,-6.204710337132806,5e-4,0.001,eligible,underrepresented,Jo,2,0.95,basin_conditioned
旧河道,2,23.100421124316497,0.0865785082114678,-3.2388126031694218,-4.390168349931404,5e-4,0.001,eligible,underrepresented,Jo,2,0.95,basin_conditioned
水部,25,55.45073182041484,0.4508506773358031,-1.1336597543012452,-4.089254058359534,5e-4,0.001,eligible,underrepresented,Jo,2,0.95,basin_conditioned
自然堤防,3,8.4167948888183,0.3564302135941908,-1.349170309506378,-1.8671061913026994,0.067,0.10422222222222223,eligible,no_clear_signal,Jo,2,0.95,basin_conditioned
砂州・砂丘,10,17.847820122676794,0.5602925136663811,-0.8052193408982407,-1.8576181683383173,0.062,0.10422222222222223,eligible,no_clear_signal,Jo,2,0.95,basin_conditioned
山麓堆積地形,45,51.91183616427267,0.8668543308235047,-0.20402610704720284,-0.9593128016087271,0.3535,0.49489999999999995,eligible,no_clear_signal,Jo,2,0.95,basin_conditioned
扇状地,1,2.1692260714843403,0.4609939061426309,-0.8314589997370444,-0.7938639541048399,0.5495,0.6993636363636363,low_expected_descriptive_only,no_clear_signal,Jo,2,0.95,basin_conditioned
後背低地・湿地,9,10.962643567438022,0.8209698641240515,-0.2709403848592008,-0.5927666864412046,0.645,0.7463076923076922,eligible,no_clear_signal,Jo,2,0.95,basin_conditioned
崖・段丘崖,30,27.842093499145214,1.0775051811718481,0.10586291528462138,0.40896079799983165,0.693,0.7463076923076922,eligible,no_clear_signal,Jo,2,0.95,basin_conditioned
河川敷・浜,0,0.1150758778780791,0,-0.2988363023708992,-0.3392283565359463,1,1,low_expected_descriptive_only,no_clear_signal,Jo,2,0.95,basin_conditioned
台地・段丘,353,228.39119176790035,1.5455937563421087,0.6270482691234859,8.245349462373607,5e-4,0.0023333333333333335,eligible,overrepresented,Ya,3,0.95,basin_conditioned
氾濫平野・海岸平野,49,127.49779727094132,0.3843203651265577,-1.3706185526263797,-6.951941826723138,5e-4,0.0023333333333333335,eligible,underrepresented,Ya,3,0.95,basin_conditioned
旧水部,0,23.215685719704528,0,-5.56776967825799,-4.818265841535161,5e-4,0.0023333333333333335,eligible,underrepresented,Ya,3,0.95,basin_conditioned
水部,2,15.400073798018985,0.12986950752517,-2.6690334615969853,-3.4146468064895563,0.001,0.0035,eligible,underrepresented,Ya,3,0.95,basin_conditioned
凹地・浅い谷,8,22.5710728023985,0.35443596633784663,-1.440550344381588,-3.0670116617158913,0.0015,0.0042,eligible,underrepresented,Ya,3,0.95,basin_conditioned
旧河道,0,4.751143117592414,0,-3.392631516219784,-2.1797117051556185,0.032,0.07466666666666667,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,basin_conditioned
砂州・砂丘,5,8.737555525591922,0.5722424292875984,-0.7480795124759275,-1.264423849834348,0.2195,0.384125,eligible,no_clear_signal,Ya,3,0.95,basin_conditioned
山地斜面等,167,153.74243354019939,1.0862323182645222,0.11896137677448514,1.0692196642292828,0.1455,0.291,eligible,no_clear_signal,Ya,3,0.95,basin_conditioned
自然堤防,6,4.317682084095523,1.3896345036846065,0.43210052399013005,0.8096228172446491,0.4145,0.6447777777777778,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,basin_conditioned
山麓堆積地形,5,6.307913086011071,0.7926551827558305,-0.3077810001754719,-0.5207581010317779,0.679,0.9506,eligible,no_clear_signal,Ya,3,0.95,basin_conditioned
扇状地,0,0.20451090932070146,0,-0.49469395189029963,-0.45222882407106857,1,1,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,basin_conditioned
後背低地・湿地,5,4.639358843004779,1.0777351287536197,0.0978432303686335,0.16743502253972387,1,1,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,basin_conditioned
崖・段丘崖,8,8.217998776277145,0.9734730094014565,-0.03653415993422777,-0.0760450622249585,1,1,eligible,no_clear_signal,Ya,3,0.95,basin_conditioned
河川敷・浜,0,0.0055827589433303,0,-0.01601917161210019,-0.07471786227757256,1,1,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,basin_conditioned
台地・段丘,718,503.56658525735276,1.4258293163615272,0.511373835902708,9.555733064759046,5e-4,0.0014,eligible,overrepresented,Ko,4,0.95,basin_conditioned
氾濫平野・海岸平野,118,261.5886738789767,0.4510898665841794,-1.145167950049488,-8.877909558894473,5e-4,0.0014,eligible,underrepresented,Ko,4,0.95,basin_conditioned
旧水部,1,51.23080541214697,0.019519505734003104,-5.107989247626776,-7.017857573211426,5e-4,0.0014,eligible,underrepresented,Ko,4,0.95,basin_conditioned
崖・段丘崖,38,15.440356153402645,2.461083126740299,1.2721745821624897,5.741211977408081,5e-4,0.0014,eligible,overrepresented,Ko,4,0.95,basin_conditioned
水部,2,25.842171675641534,0.07739287646189472,-3.397374287755716,-4.690091409404013,5e-4,0.0014,eligible,underrepresented,Ko,4,0.95,basin_conditioned
凹地・浅い谷,16,43.990280507638346,0.3637167077673398,-1.431024170147419,-4.220159692703083,0.001,0.002,eligible,underrepresented,Ko,4,0.95,basin_conditioned
旧河道,7,22.325820132955904,0.3135383138587174,-1.6057041965307004,-3.2435456417271094,0.001,0.002,eligible,underrepresented,Ko,4,0.95,basin_conditioned
山麓堆積地形,8,12.655478051632082,0.632137321669038,-0.6301289286089126,-1.3086545094043676,0.1945,0.3025555555555556,eligible,no_clear_signal,Ko,4,0.95,basin_conditioned
山地斜面等,375,351.1809304932267,1.067825634704367,0.09454579918727511,1.2710403248380178,0.081,0.14175000000000001,eligible,no_clear_signal,Ko,4,0.95,basin_conditioned
砂州・砂丘,18,14.102782256497067,1.2763438924760757,0.34128199990757,1.037772769476261,0.316,0.44239999999999996,eligible,no_clear_signal,Ko,4,0.95,basin_conditioned
河川敷・浜,0,0.1507344914699181,0,-0.3801409293431749,-0.3882454010930691,1,1,low_expected_descriptive_only,no_clear_signal,Ko,4,0.95,basin_conditioned
自然堤防,15,13.806115126439346,1.0864750773571568,0.11563625893021182,0.32131182175061157,0.7595,0.9666363636363635,eligible,no_clear_signal,Ko,4,0.95,basin_conditioned
後背低地・湿地,6,6.15501951952691,0.9748141303150855,-0.034003179503719436,-0.06248440939484669,1,1,eligible,no_clear_signal,Ko,4,0.95,basin_conditioned
扇状地,1,0.9642470430928114,1.0370786274775718,0.03480351965576088,0.03640975927389975,1,1,low_expected_descriptive_only,no_clear_signal,Ko,4,0.95,basin_conditioned
氾濫平野・海岸平野,181,327.0512121883842,0.5534301456609263,-0.8517509394797975,-8.076018112474234,5e-4,0.00175,eligible,underrepresented,Na,5,0.95,basin_conditioned
旧水部,0,28.051282204326483,0,-5.83548363165887,-5.296346118252327,5e-4,0.00175,eligible,underrepresented,Na,5,0.95,basin_conditioned
台地・段丘,472,382.00819970772585,1.2355755723597734,0.30482365459802263,4.604331641133044,5e-4,0.00175,eligible,overrepresented,Na,5,0.95,basin_conditioned
山地斜面等,767,667.7393949964048,1.1486517131494534,0.1998017134989364,3.8412574740617993,5e-4,0.00175,eligible,overrepresented,Na,5,0.95,basin_conditioned
水部,7,24.91626059156512,0.28094103343780663,-1.7607892863940742,-3.589268424850636,0.0015,0.0035000000000000005,eligible,underrepresented,Na,5,0.95,basin_conditioned
凹地・浅い谷,10,27.760795329741935,0.3602202271664153,-1.4284127394127542,-3.3709045672350455,0.0015,0.0035000000000000005,eligible,underrepresented,Na,5,0.95,basin_conditioned
旧河道,4,15.89214519452437,0.2516966684509149,-1.8650077617314302,-2.9831077533887425,0.005,0.00875,eligible,underrepresented,Na,5,0.95,basin_conditioned
砂州・砂丘,22,11.954267045360492,1.8403470423172708,0.8532848824038098,2.9054951344547884,0.0025,0.005,eligible,overrepresented,Na,5,0.95,basin_conditioned
自然堤防,16,9.463453975164432,1.6907146208973867,0.7277481592918926,2.1248265598685037,0.023,0.035777777777777776,eligible,overrepresented,Na,5,0.95,basin_conditioned
