gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,phase_code,phase_order,coverage_threshold,selection_model
崖・段丘崖,21,14.742097084590949,1.4244920433979553,0.4962752500673877,1.6298558206013223,0.109,0.14572727272727273,eligible,no_clear_signal,Na,5,0.95,basin_conditioned
山麓堆積地形,34,25.921736672080453,1.3116405135239417,0.38487106540997207,1.5866676185939117,0.1145,0.14572727272727273,eligible,no_clear_signal,Na,5,0.95,basin_conditioned
後背低地・湿地,7,4.44056275002977,1.5763767779102034,0.6022152156533351,1.21457819649506,0.213,0.2485,low_expected_descriptive_only,no_clear_signal,Na,5,0.95,basin_conditioned
扇状地,0,1.0222219218921884,0,-1.6061787019912726,-1.0110499106830426,0.4405,0.47438461538461535,low_expected_descriptive_only,no_clear_signal,Na,5,0.95,basin_conditioned
河川敷・浜,0,0.03637033820881405,0,-0.10130136214944915,-0.19071008942584566,1,1,low_expected_descriptive_only,no_clear_signal,Na,5,0.95,basin_conditioned
氾濫平野・海岸平野,208,403.73923249666467,0.5151840179458367,-0.9551619622477955,-9.741535209062208,5e-4,0.00175,eligible,underrepresented,He,6,0.95,basin_conditioned
台地・段丘,564,455.1690860459704,1.2390999681007293,0.30898708386485485,5.101124195192829,5e-4,0.00175,eligible,overrepresented,He,6,0.95,basin_conditioned
旧水部,0,17.199443258846475,0,-5.145632075515766,-4.147221149016107,5e-4,0.00175,eligible,underrepresented,He,6,0.95,basin_conditioned
山地斜面等,1046,920.724286566913,1.1360621363646224,0.1839479605610593,4.12859312651514,5e-4,0.00175,eligible,overrepresented,He,6,0.95,basin_conditioned
旧河道,5,18.267927730323937,0.27370373223560684,-1.7707658393527386,-3.1042626163876617,0.002,0.0056,eligible,underrepresented,He,6,0.95,basin_conditioned
砂州・砂丘,21,11.220768721961765,1.8715295288902898,0.8752694659084461,2.9193987101212895,0.0025,0.005833333333333334,eligible,overrepresented,He,6,0.95,basin_conditioned
凹地・浅い谷,20,35.264461225844215,0.5671432174140981,-0.8029027984617326,-2.570471858263805,0.008,0.016,eligible,underrepresented,He,6,0.95,basin_conditioned
水部,19,30.529245226494123,0.6223540693207599,-0.6701544803607298,-2.086617488565779,0.0275,0.048125,eligible,underrepresented,He,6,0.95,basin_conditioned
自然堤防,15,9.153275603284431,1.638757604394389,0.683177741607317,1.932521583113696,0.0445,0.06922222222222223,eligible,no_clear_signal,He,6,0.95,basin_conditioned
後背低地・湿地,8,4.258299157649274,1.8786843535004882,0.8370168633734877,1.813221990174722,0.0805,0.1127,low_expected_descriptive_only,no_clear_signal,He,6,0.95,basin_conditioned
崖・段丘崖,11,15.835084010844676,0.6946600341663256,-0.5063400133625131,-1.2150491293253367,0.28,0.3563636363636364,eligible,no_clear_signal,He,6,0.95,basin_conditioned
山麓堆積地形,41,36.32547946092551,1.1286843452156707,0.17240702745379416,0.7755885602353899,0.4435,0.5174166666666667,eligible,no_clear_signal,He,6,0.95,basin_conditioned
河川敷・浜,0,0.06994929694596295,0,-0.18890548702472995,-0.26447929398340986,1,1,low_expected_descriptive_only,no_clear_signal,He,6,0.95,basin_conditioned
扇状地,1,1.2434611973314638,0.8042068398644486,-0.21699175496764023,-0.2183301106029866,1,1,low_expected_descriptive_only,no_clear_signal,He,6,0.95,basin_conditioned
台地・段丘,324,232.12827731592944,1.39577997022324,0.48019200280669105,6.030007269337178,5e-4,0.00175,eligible,overrepresented,Me,7,0.95,basin_conditioned
旧水部,0,28.849803623853894,0,-5.8752789453490974,-5.371201320361572,5e-4,0.00175,eligible,underrepresented,Me,7,0.95,basin_conditioned
氾濫平野・海岸平野,115,183.42348631790057,0.6269644215609753,-0.6712128664492998,-5.0521673366400615,5e-4,0.00175,eligible,underrepresented,Me,7,0.95,basin_conditioned
山麓堆積地形,32,13.49697283504964,2.370902008256306,1.215324872977233,5.0364508435257695,0.001,0.0028,eligible,overrepresented,Me,7,0.95,basin_conditioned
水部,1,20.147901117694826,0.049632961476158595,-3.7829607316951854,-4.265856781371238,5e-4,0.00175,eligible,underrepresented,Me,7,0.95,basin_conditioned
凹地・浅い谷,5,19.489213919463722,0.25655216370766704,-1.8617182151265024,-3.282068667472095,0.003,0.007000000000000001,eligible,underrepresented,Me,7,0.95,basin_conditioned
砂州・砂丘,18,9.299218819021487,1.9356464613114734,0.9167866215892944,2.853218379764859,0.0055,0.011,eligible,overrepresented,Me,7,0.95,basin_conditioned
自然堤防,13,7.416824409577787,1.7527717095759103,0.7699656485349348,2.0500869820728638,0.0285,0.049875,eligible,overrepresented,Me,7,0.95,basin_conditioned
旧河道,4,9.665952051482268,0.41382369565826704,-1.1757484247747076,-1.8224288282715835,0.073,0.11355555555555555,eligible,no_clear_signal,Me,7,0.95,basin_conditioned
後背低地・湿地,6,3.283192562901753,1.8274895197426608,0.7808355073173495,1.4993764308397401,0.1395,0.1953,low_expected_descriptive_only,no_clear_signal,Me,7,0.95,basin_conditioned
崖・段丘崖,9,7.22005322290187,1.2465282072232062,0.2993167198165629,0.662425156459751,0.563,0.6568333333333333,eligible,no_clear_signal,Me,7,0.95,basin_conditioned
山地斜面等,355,347.7552209019483,1.0208329844172042,0.029704578553295665,0.38849758050185884,0.5615,0.6568333333333333,eligible,no_clear_signal,Me,7,0.95,basin_conditioned
扇状地,1,0.7875125640657249,1.2698210106480805,0.22037598995782565,0.23944430399114813,1,1,low_expected_descriptive_only,no_clear_signal,Me,7,0.95,basin_conditioned
河川敷・浜,0,0.03637033820881405,0,-0.10130136214944915,-0.19071008942584566,1,1,low_expected_descriptive_only,no_clear_signal,Me,7,0.95,basin_conditioned
