phase_code,n_common_landform_classes,spearman_rho,mean_abs_difference,threshold_a,threshold_b
He,14,0.9428571428571428,0.1401447798638747,0.9,0.95
Jo,14,0.9956043956043956,0.08695752802646153,0.9,0.95
Ko,14,0.9648351648351647,0.19652242085698232,0.9,0.95
Me,14,0.956043956043956,0.12038407526806143,0.9,0.95
Na,14,0.9384615384615385,0.14975838568155486,0.9,0.95
Pa,14,0.9912087912087912,0.10793130045447252,0.9,0.95
Ya,14,1,0.053917628991627546,0.9,0.95
He,13,0.8241758241758242,0.3280670815339685,0.9,0.99
Jo,14,0.9164835164835166,0.23998224284404035,0.9,0.99
Ko,13,0.9615384615384616,0.3106692177796383,0.9,0.99
Me,13,0.8406593406593407,0.2900557405881599,0.9,0.99
Na,13,0.8846153846153846,0.2240107099923273,0.9,0.99
Pa,13,0.9615384615384616,0.2158376410895036,0.9,0.99
Ya,13,0.989010989010989,0.15276753224511358,0.9,0.99
He,13,0.9340659340659341,0.18630960102223917,0.95,0.99
Jo,14,0.9296703296703297,0.17812952105612614,0.95,0.99
Ko,13,0.9285714285714286,0.2063364720462514,0.95,0.99
Me,13,0.9615384615384616,0.17665738897064123,0.95,0.99
Na,13,0.9725274725274725,0.09389130368873855,0.95,0.99
Pa,13,0.9835164835164835,0.10501174763682633,0.95,0.99
Ya,13,0.989010989010989,0.14548926181149718,0.95,0.99
