gsi_landform_class,available_area_m2,geometry_area_m2,geometry_minus_attribute_m2,audit_ok
凹地・浅い谷,46164800,46164800,0,TRUE
台地・段丘,384584700,384584700,0,TRUE
山地斜面等,197178600,197178600,0,TRUE
山麓堆積地形,6122600,6122600,0,TRUE
崖・段丘崖,7497200,7497200,0,TRUE
後背低地・湿地,5313100,5313100,0,TRUE
扇状地,709800,709800,0,TRUE
旧水部,91659200,91659200,0,TRUE
旧河道,7549800,7549800,0,TRUE
水部,34092300,34092300,0,TRUE
氾濫平野・海岸平野,202058400,202058400,0,TRUE
河川敷・浜,157800,157800,0,TRUE
砂州・砂丘,13339100,13339100,0,TRUE
自然堤防,19793800,19793800,0,TRUE
