landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
78004,78,4,830304,NA,120,B_830304_120,台地・段丘,LF_CLASS::台地・段丘,B_830304_120_LF_CLASS::台地・段丘,32561,3256100,3.2561,95979,9597900,95976,9597600,0.9999687431625668,0.33926189880803537,0.33925129455401704,10,21,15,7.124499874968743,2.1054109429773566,1.0235536025375656,2.9505362257781367,expected_ge_5,Ko,4,0.95
190011,190,11,830305,NA,3,B_830305_3,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_3_LF_CLASS::氾濫平野・海岸平野,4740,474000,0.474,22750,2275000,22314,2231400,0.9808351648351648,0.21242269427265395,0.20835164835164835,10,38,0,8.07206238236085,0,-4.099642349127288,-2.841137515566758,expected_ge_5,Ko,4,0.95
277004,277,4,unknown,NA,0,B_unknown_0,台地・段丘,LF_CLASS::台地・段丘,B_unknown_0_LF_CLASS::台地・段丘,534811,53481100,53.4811,1844542,184454200,1835378,183537800,0.9950318290394038,0.2913901114647773,0.2899424355747931,10,138,58,40.21183538213926,1.442361420432991,0.5229883617781053,2.805137744791288,expected_ge_5,Ko,4,0.95
190001,190,1,830305,NA,3,B_830305_3,山地斜面等,LF_CLASS::山地斜面等,B_830305_3_LF_CLASS::山地斜面等,6435,643500,0.6435,22750,2275000,22314,2231400,0.9808351648351648,0.2883839741866093,0.28285714285714286,10,38,20,10.958591019091154,1.8250521408416145,0.8391942526114613,2.7312330248302583,expected_ge_5,Ko,4,0.95
159004,159,4,830304,NA,88,B_830304_88,台地・段丘,LF_CLASS::台地・段丘,B_830304_88_LF_CLASS::台地・段丘,87759,8775900,8.7759,123284,12328400,123283,12328300,0.9999918886473508,0.7118499712044645,0.7118441971383148,10,9,0,6.40664974084018,0,-3.7879860616449412,-2.531136057354519,expected_ge_5,Ko,4,0.95
172013,172,13,830305,NA,12,B_830305_12,旧河道,LF_CLASS::旧河道,B_830305_12_LF_CLASS::旧河道,7226,722600,0.7226,55436,5543600,55305,5530500,0.997636914640306,0.1306572642618208,0.13034850999350603,10,59,1,7.708778591447428,0.129722236556315,-2.4522050743695325,-2.4162989939168833,expected_ge_5,Ko,4,0.95
210004,210,4,830305,NA,48,B_830305_48,台地・段丘,LF_CLASS::台地・段丘,B_830305_48_LF_CLASS::台地・段丘,33499,3349900,3.3499,96024,9602400,93229,9322900,0.9708926934932932,0.3593195250404917,0.34886070149129383,10,5,5,1.7965976252024585,2.7830382996507357,1.259933506795453,2.3899349621812176,expected_1_to_5,Ko,4,0.95
29011,29,11,130000,NA,5,B_130000_5,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_130000_5_LF_CLASS::氾濫平野・海岸平野,15338,1533800,1.5338,80274,8027400,80274,8027400,1,0.19107058325236068,0.19107058325236068,10,29,0,5.54104691431846,0,-3.594798590479749,-2.3539428443185404,expected_ge_5,Ko,4,0.95
121004,121,4,830304,NA,37,B_830304_37,台地・段丘,LF_CLASS::台地・段丘,B_830304_37_LF_CLASS::台地・段丘,33406,3340600,3.3406,128210,12821000,128204,12820400,0.9999532017783324,0.26056909300801845,0.26055689883784416,10,7,5,1.8239836510561291,2.741252640671907,1.2428316990442576,2.351647689262927,expected_1_to_5,Ko,4,0.95
70013,70,13,830303,NA,517,B_830303_517,旧河道,LF_CLASS::旧河道,B_830303_517_LF_CLASS::旧河道,10937,1093700,1.0937,47653,4765300,47653,4765300,1,0.22951335697647576,0.22951335697647576,10,8,5,1.836106855811806,2.7231530584255284,1.2353253526282684,2.3349244415910864,expected_1_to_5,Ko,4,0.95
127011,127,11,830304,NA,42,B_830304_42,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830304_42_LF_CLASS::氾濫平野・海岸平野,27804,2780400,2.7804,46439,4643900,46439,4643900,1,0.5987209026895497,0.5987209026895497,10,15,2,8.980813540343245,0.2226969740564907,-1.9230827659514291,-2.3294221361651535,expected_ge_5,Ko,4,0.95
164011,164,11,830305,NA,10,B_830305_10,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_10_LF_CLASS::氾濫平野・海岸平野,8080,808000,0.808,45366,4536600,44399,4439900,0.978684477361901,0.18198608076758485,0.17810695234316448,10,57,3,10.373206603752337,0.28920661803022407,-1.6353506393328163,-2.2892851412270616,expected_ge_5,Ko,4,0.95
277016,277,16,unknown,NA,0,B_unknown_0,水部,LF_CLASS::水部,B_unknown_0_LF_CLASS::水部,67056,6705600,6.7056,1844542,184454200,1835378,183537800,0.9950318290394038,0.03653525322849026,0.03635373984436245,10,138,0,5.041864945531656,0,-3.470371552972731,-2.2454097500304164,expected_ge_5,Ko,4,0.95
108011,108,11,830304,NA,27,B_830304_27,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830304_27_LF_CLASS::氾濫平野・海岸平野,18904,1890400,1.8904,56798,5679800,56475,5647500,0.9943131800415508,0.33473218238158475,0.3328286207260819,10,15,0,5.020982735723772,0,-3.4649250897868633,-2.24075494771824,expected_ge_5,Ko,4,0.95
29004,29,4,130000,NA,5,B_130000_5,台地・段丘,LF_CLASS::台地・段丘,B_130000_5_LF_CLASS::台地・段丘,46600,4660000,4.66,80274,8027400,80274,8027400,1,0.5805117472656153,0.5805117472656153,10,29,26,16.834840670702842,1.5444161610182034,0.6123177832818021,2.2337548784896097,expected_ge_5,Ko,4,0.95
