from_phase,to_phase,phase_pair,phase_pair_order,n_landforms,spearman_rho,mean_abs_delta,rms_delta
Pa,Jo,Pa→Jo,1,14,0.8065934065934066,0.725998128193479,1.0519202126640061
Jo,Ya,Jo→Ya,2,14,0.7054945054945055,0.5469020682073983,0.8340189904876033
Ya,Ko,Ya→Ko,3,14,0.7846153846153846,0.5294616750872242,0.733567781626749
Ko,Na,Ko→Na,4,14,0.7846153846153846,0.6215908414632063,0.7954854638586648
Na,He,Na→He,5,14,0.868131868131868,0.40120667519094466,0.6048601396333488
He,Me,He→Me,6,14,0.8461538461538461,0.6188368725947535,0.9920739441186475
