place_id,weight_set,w_presence,w_run,w_gapfree,continuity_index,rank_desc,top_n,top_fraction_flag
13119009400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119010400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119013300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119017500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13120008900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13122001500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201010100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201012900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201013900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201014500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201015700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201016700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201024600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201035600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201051700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201073400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201085000,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201089600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201091100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13204004300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13208002300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209006000,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209009100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209021500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209027600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209043700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209056400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209067700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209068500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209082900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209085100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209095800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13209095900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13212000600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13212003800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13213001800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13213002600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13213015200,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13219003600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13219006900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13305001800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13105011500,baseline,0.35,0.4,0.25,0.7940476190476191,121,563,TRUE
13111009001,baseline,0.35,0.4,0.25,0.7940476190476191,121,563,TRUE
13112004800,baseline,0.35,0.4,0.25,0.7940476190476191,121,563,TRUE
13224032200,baseline,0.35,0.4,0.25,0.7940476190476191,121,563,TRUE
13104010100,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13106000405,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13110000800,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13110004700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13112001900,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13112024700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13120005000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13120010800,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201025800,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201036600,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201038900,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201039700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201040100,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201042000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201047700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201052400,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13201071201,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13204001400,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13204002700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13205013900,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13208003600,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13208004500,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
