k,mean_silhouette_unweighted,mean_silhouette_frequency_weighted,stability_ari_mean,stability_ari_sd,min_cluster_patterns,max_cluster_patterns,min_cluster_places,max_cluster_places,max_cluster_share_places
2,0.21468160187482602,0.21676319313744974,0.3002757458140048,0.4390658179423792,2,96,51,5428,0.9906917320678956
3,0.13287101749518118,0.14980270302082604,0.36649864776775753,0.26489637754207385,2,93,48,5380,0.9819310093082679
4,0.11877476646260393,0.16273275637659138,0.3756977913863726,0.20818008299875881,2,86,48,4490,0.8194926081401716
5,0.07966040015549437,0.16916641015325298,0.4081622604350216,0.17875610365254976,2,86,48,4490,0.8194926081401716
6,0.12638576300651982,0.17547916025285792,0.34711418435040065,0.16248957663670166,2,63,48,3846,0.701952911115167
7,0.12066114683245674,0.16385624307181446,0.4792750936325491,0.21037896349331012,2,63,48,3846,0.701952911115167
8,0.11346632000551757,0.16901528201462357,0.49036511917440717,0.17533631200929395,2,61,48,2214,0.4040883372878262
9,0.09770034076086424,0.16008344110024533,0.4713051278862765,0.20989805011157922,2,61,29,2214,0.4040883372878262
10,0.09355923428264831,0.1452324879083021,0.46997385599813324,0.1977494858072572,2,61,29,2214,0.4040883372878262
