place_id,continuity_weight_mean,continuity_weight_sd,continuity_weight_min,continuity_weight_max,continuity_weight_range
13101000200,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101000300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101000400,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101000500,0.2857142857142857,0,0.2857142857142857,0.2857142857142857,0
13101000600,0,0,0,0,0
13101000800,0.7142857142857143,9.614813431917819e-17,0.7142857142857142,0.7142857142857144,2.220446049250313e-16
13101000900,0.355,0.012777531299998786,0.33571428571428574,0.37142857142857144,0.0357142857142857
13101001000,0.2857142857142857,0,0.2857142857142857,0.2857142857142857,0
13101001100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101001200,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101001300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101001400,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101002100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101002200,0.6473015873015873,0.013239941251518611,0.6261904761904762,0.661904761904762,0.03571428571428581
13101003000,0,0,0,0,0
13101004100,0.5018095238095238,0.013016647286300859,0.48142857142857143,0.5171428571428571,0.0357142857142857
13101004200,0.49785714285714283,0.012777531299998791,0.47857142857142854,0.5142857142857142,0.0357142857142857
13101004500,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101004900,0.2857142857142857,0,0.2857142857142857,0.2857142857142857,0
13101005100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101005200,0,0,0,0,0
13101005300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101005500,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101005600,0.2857142857142857,0,0.2857142857142857,0.2857142857142857,0
13101005700,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101005800,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101006000,0.5077380952380952,0.013586562155372982,0.4857142857142857,0.5214285714285714,0.03571428571428564
13101006500,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101006600,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101007100,0.355,0.012777531299998786,0.33571428571428574,0.37142857142857144,0.0357142857142857
13101007300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101007500,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101007800,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101009400,0,0,0,0,0
13101009800,0,0,0,0,0
13101009900,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13101010200,0.2857142857142857,0,0.2857142857142857,0.2857142857142857,0
13102000100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13102000200,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13102000300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13102001200,0,0,0,0,0
13102007700,0.8571428571428571,7.850462293418876e-17,0.8571428571428571,0.8571428571428572,1.1102230246251565e-16
13102014000,0,0,0,0,0
13103000100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103000200,0.2857142857142857,0,0.2857142857142857,0.2857142857142857,0
13103000300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103000500,0.42857142857142855,3.925231146709438e-17,0.42857142857142855,0.4285714285714286,5.551115123125783e-17
13103000700,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103000800,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103000900,0.36158730158730157,0.013239941251518571,0.3404761904761905,0.3761904761904762,0.0357142857142857
13103000902,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103001500,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103001700,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103001800,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002100,0,0,0,0,0
13103002300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002400,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002500,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002501,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002502,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002503,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002504,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002505,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002506,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002507,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002508,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002509,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002600,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002700,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002800,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103002900,0.42857142857142855,3.925231146709438e-17,0.42857142857142855,0.4285714285714286,5.551115123125783e-17
13103003000,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103003100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103003300,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103003600,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103003700,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103003800,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103003900,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103004000,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103004100,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
13103004200,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0
