model_id,metric,n_points,moran_i,expectation,variance,statistic,p_value,distance_band_m
fixed_1000m,continuity_index,5624,0.14386677298884198,-1.793400286944046e-4,2.4045567968017897e-5,29.375415876276065,5.659788530862589e-190,1000
fixed_1000m,longest_run_length,5624,0.12287597732449322,-1.793400286944046e-4,2.4033173306362478e-5,25.10121974365643,2.411564650664957e-139,1000
fixed_1000m,gap_count,5624,0.1618508725193545,-1.793400286944046e-4,2.4056628187449085e-5,33.035328043371344,1.2635907494542657e-239,1000
fixed_1000m,max_gap_length,5624,0.14963119689433543,-1.793400286944046e-4,2.405237324516883e-5,30.5466362414164,3.1336212394104577e-205,1000
fixed_1000m,intermittency_index,5624,0.1506020513862879,-1.793400286944046e-4,2.4056407718196415e-5,30.742017028768046,7.81675590806914e-208,1000
fixed_2000m,continuity_index,5624,0.10510555448328715,-1.779676098949991e-4,7.683691392041132e-6,37.98179176095167,5.7655428e-316,2000
fixed_2000m,longest_run_length,5624,0.08931742180857807,-1.779676098949991e-4,7.679761306757838e-6,32.29436883844796,4.195736946124426e-229,2000
fixed_2000m,gap_count,5624,0.13028275123916716,-1.779676098949991e-4,7.68719835389495e-6,47.05391065314357,0,2000
fixed_2000m,max_gap_length,5624,0.12749003944826628,-1.779676098949991e-4,7.685849201614574e-6,46.050690795258845,0,2000
fixed_2000m,intermittency_index,5624,0.12604219050610246,-1.779676098949991e-4,7.68712844775395e-6,45.52465370450994,0,2000
fixed_5000m,continuity_index,5624,0.06172858561928291,-1.7784101013693757e-4,1.4276282561932441e-6,51.81173896073717,0,5000
fixed_5000m,longest_run_length,5624,0.05188130704839634,-1.7784101013693757e-4,1.426898836532245e-6,43.58132849214684,0,5000
fixed_5000m,gap_count,5624,0.09883116397544732,-1.7784101013693757e-4,1.4282791445944247e-6,82.84535220104702,0,5000
fixed_5000m,max_gap_length,5624,0.0968973424381888,-1.7784101013693757e-4,1.4280287433618687e-6,81.23435666466084,0,5000
fixed_5000m,intermittency_index,5624,0.09731249908748885,-1.7784101013693757e-4,1.4282661700887858e-6,81.57498650834106,0,5000
