model_id,k,phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_points,moran_i,expectation,variance,statistic,p_value
knn_k4,4,Pa->Jo,1,continue,634,0.11273115220483641,5624,0.15757536629518792,-1.7784101013693757e-4,7.240772377695375e-5,18.538976338380618,5.005452124753559e-77
knn_k4,4,Pa->Jo,1,drop,60,0.010668563300142247,5624,0.0943285919688081,-1.7784101013693757e-4,7.13149074515852e-5,11.191059637909905,2.255055993919357e-29
knn_k4,4,Pa->Jo,1,new,3212,0.5711237553342816,5624,0.26821889939993176,-1.7784101013693757e-4,7.248399989177419e-5,31.525077408835596,1.9690907667831896e-218
knn_k4,4,Jo->Ya,2,continue,549,0.09761735419630156,5624,0.1602244587469313,-1.7784101013693757e-4,7.239025678814036e-5,18.85256870013266,1.3995731327300498e-79
knn_k4,4,Jo->Ya,2,drop,3297,0.5862375533428165,5624,0.32813648101077275,-1.7784101013693757e-4,7.248348370061312e-5,38.56295443269125,0
knn_k4,4,Jo->Ya,2,new,98,0.017425320056899004,5624,0.11615809517716481,-1.7784101013693757e-4,7.178349898103496e-5,13.73098135097021,3.3115156329685535e-43
knn_k4,4,Ya->Ko,3,continue,358,0.06365576102418208,5624,0.13635040851105343,-1.7784101013693757e-4,7.232029780170459e-5,16.05433862654722,2.665203567266654e-58
knn_k4,4,Ya->Ko,3,drop,289,0.05138691322901849,5624,0.11497417494297593,-1.7784101013693757e-4,7.227210999924752e-5,13.54522359327409,4.2278020460555263e-42
knn_k4,4,Ya->Ko,3,new,1279,0.2274182076813656,5624,0.36266666555276267,-1.7784101013693757e-4,7.246325242220292e-5,42.62472998018522,0
knn_k4,4,Ko->Na,4,continue,651,0.11575391180654339,5624,0.1615042291206492,-1.7784101013693757e-4,7.241066119567157e-5,19.00030640419043,8.477589043903345e-81
knn_k4,4,Ko->Na,4,drop,986,0.17532005689900426,5624,0.379999825861124,-1.7784101013693757e-4,7.244745718408357e-5,44.665790818181215,0
knn_k4,4,Ko->Na,4,new,1054,0.18741109530583214,5624,0.23425912749988442,-1.7784101013693757e-4,7.24519698063425e-5,27.542350336560872,2.7324597185734385e-167
knn_k4,4,Na->He,5,continue,1485,0.2640469416785206,5624,0.28284206909416265,-1.7784101013693757e-4,7.24702874786421e-5,33.24581597698369,1.1731381673174353e-242
knn_k4,4,Na->He,5,drop,220,0.03911806543385491,5624,0.13443489697651614,-1.7784101013693757e-4,7.219357902616544e-5,15.842979908000492,7.859586135000857e-57
knn_k4,4,Na->He,5,new,689,0.12251066856330015,5624,0.3072270306250435,-1.7784101013693757e-4,7.241669295174006e-5,36.12363136500588,4.827430971858475e-286
