model_id,k,phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_points,moran_i,expectation,variance,statistic,p_value
knn_k4,4,He->Me,6,continue,571,0.10152916073968705,5624,0.14165609831975937,-1.7784101013693757e-4,7.239528419233206e-5,16.669594161572526,1.0903505027758517e-62
knn_k4,4,He->Me,6,drop,1603,0.2850284495021337,5624,0.26463254199360886,-1.7784101013693757e-4,7.247336824184782e-5,31.106115948459795,9.954515651350134e-213
knn_k4,4,He->Me,6,new,452,0.08036984352773827,5624,0.09354505543100924,-1.7784101013693757e-4,7.236217615967449e-5,11.017673346496853,1.5703611227228955e-28
knn_k8,8,Pa->Jo,1,continue,634,0.11273115220483641,5624,0.14412204140425974,-1.7784101013693757e-4,3.695402373369379e-5,23.737507256099992,7.39459574584826e-125
knn_k8,8,Pa->Jo,1,drop,60,0.010668563300142247,5624,0.07116354888820811,-1.7784101013693757e-4,3.6396293110651204e-5,11.825322379669027,1.4439594926135443e-32
knn_k8,8,Pa->Jo,1,new,3212,0.5711237553342816,5624,0.24956716014299152,-1.7784101013693757e-4,3.699295207330083e-5,41.061736272666664,0
knn_k8,8,Jo->Ya,2,continue,549,0.09761735419630156,5624,0.14368019699653573,-1.7784101013693757e-4,3.6945109267165946e-5,23.667678174643154,3.881533363192244e-124
knn_k8,8,Jo->Ya,2,drop,3297,0.5862375533428165,5624,0.30934551294991924,-1.7784101013693757e-4,3.699268862956268e-5,50.89035427102158,0
knn_k8,8,Jo->Ya,2,new,98,0.017425320056899004,5624,0.08160456782850635,-1.7784101013693757e-4,3.663544386234257e-5,13.511674343574366,6.67256988876271e-42
knn_k8,8,Ya->Ko,3,continue,358,0.06365576102418208,5624,0.13015783767020628,-1.7784101013693757e-4,3.690940494230688e-5,21.453334087653705,2.1253320938892337e-102
knn_k8,8,Ya->Ko,3,drop,289,0.05138691322901849,5624,0.08330923825985699,-1.7784101013693757e-4,3.688481177649892e-5,13.746605898984722,2.6687708862080547e-43
knn_k8,8,Ya->Ko,3,new,1279,0.2274182076813656,5624,0.34256739390590685,-1.7784101013693757e-4,3.698236337796208e-5,56.360403653902026,0
knn_k8,8,Ko->Na,4,continue,651,0.11575391180654339,5624,0.14140279413822981,-1.7784101013693757e-4,3.6955522877084676e-5,23.28971535148457,2.8179368048319808e-120
knn_k8,8,Ko->Na,4,drop,986,0.17532005689900426,5624,0.35253055492891217,-1.7784101013693757e-4,3.6974302107469584e-5,58.005049950402686,0
knn_k8,8,Ko->Na,4,new,1054,0.18741109530583214,5624,0.22875851648557993,-1.7784101013693757e-4,3.697660517301282e-5,37.64880974403946,1.7108616332534e-310
knn_k8,8,Na->He,5,continue,1485,0.2640469416785206,5624,0.26584534075731814,-1.7784101013693757e-4,3.698595379505221e-5,43.74224534266932,0
knn_k8,8,Na->He,5,drop,220,0.03911806543385491,5624,0.11997732921903473,-1.7784101013693757e-4,3.684473264560706e-5,19.794965916048216,1.6448728942524796e-87
knn_k8,8,Na->He,5,new,689,0.12251066856330015,5624,0.28378847329433793,-1.7784101013693757e-4,3.695860124898673e-5,46.70991332860656,0
knn_k8,8,He->Me,6,continue,571,0.10152916073968705,5624,0.1256036096183163,-1.7784101013693757e-4,3.6947675057232434e-5,20.69298016024617,2.0033383115030386e-95
knn_k8,8,He->Me,6,drop,1603,0.2850284495021337,5624,0.24768476236678022,-1.7784101013693757e-4,3.698752609585178e-5,40.75523152260719,0
knn_k8,8,He->Me,6,new,452,0.08036984352773827,5624,0.07792471992601759,-1.7784101013693757e-4,3.6930778014927e-5,12.852009736230837,4.1902167588138696e-38
knn_k12,12,Pa->Jo,1,continue,634,0.11273115220483641,5624,0.1427715854246322,-1.7784101013693757e-4,2.4827640548189615e-5,28.688952576900935,2.6201717845187043e-181
knn_k12,12,Pa->Jo,1,drop,60,0.010668563300142247,5624,0.05698069590057395,-1.7784101013693757e-4,2.445292928776237e-5,11.558877406252074,3.3286695499108e-31
knn_k12,12,Pa->Jo,1,new,3212,0.5711237553342816,5624,0.24438257462541,-1.7784101013693757e-4,2.4853794549059997e-5,49.055737791336476,0
knn_k12,12,Jo->Ya,2,continue,549,0.09761735419630156,5624,0.13442115240977245,-1.7784101013693757e-4,2.4821651364790537e-5,27.01633770735564,4.750275776118089e-161
knn_k12,12,Jo->Ya,2,drop,3297,0.5862375533428165,5624,0.2999871085059828,-1.7784101013693757e-4,2.4853617554412234e-5,60.20952103191298,0
knn_k12,12,Jo->Ya,2,new,98,0.017425320056899004,5624,0.07664741720335304,-1.7784101013693757e-4,2.4613602695131564e-5,15.485186332832777,2.1839760070275576e-54
knn_k12,12,Ya->Ko,3,continue,358,0.06365576102418208,5624,0.1324773289664345,-1.7784101013693757e-4,2.4797663417889475e-5,26.639054106721975,1.198357115466482e-156
knn_k12,12,Ya->Ko,3,drop,289,0.05138691322901849,5624,0.06731441695041054,-1.7784101013693757e-4,2.4781140502028183e-5,13.557927672178373,3.555851092423869e-42
knn_k12,12,Ya->Ko,3,new,1279,0.2274182076813656,5624,0.33042370811099153,-1.7784101013693757e-4,2.4846680535210415e-5,66.32399779470396,0
knn_k12,12,Ko->Na,4,continue,651,0.11575391180654339,5624,0.13479479245303547,-1.7784101013693757e-4,2.48286477475191e-5,27.08751644578552,6.907734167289397e-162
knn_k12,12,Ko->Na,4,drop,986,0.17532005689900426,5624,0.3403039497309141,-1.7784101013693757e-4,2.484126457147794e-5,68.31357920946148,0
knn_k12,12,Ko->Na,4,new,1054,0.18741109530583214,5624,0.22100079425135255,-1.7784101013693757e-4,2.4842811885820916e-5,44.37545290622184,0
knn_k12,12,Na->He,5,continue,1485,0.2640469416785206,5624,0.25487120163608334,-1.7784101013693757e-4,2.484909275655476e-5,51.16446403345908,0
knn_k12,12,Na->He,5,drop,220,0.03911806543385491,5624,0.11101662775434025,-1.7784101013693757e-4,2.475421334215414e-5,22.34902696714662,6.1701839629459444e-111
knn_k12,12,Na->He,5,new,689,0.12251066856330015,5624,0.2649831142774553,-1.7784101013693757e-4,2.48307159513577e-5,53.21265816272129,0
knn_k12,12,He->Me,6,continue,571,0.10152916073968705,5624,0.11400258140869104,-1.7784101013693757e-4,2.4823375190576835e-5,22.917182838502146,1.5659858926104888e-116
knn_k12,12,He->Me,6,drop,1603,0.2850284495021337,5624,0.23797937231686603,-1.7784101013693757e-4,2.485014910668158e-5,47.77483991923869,0
knn_k12,12,He->Me,6,new,452,0.08036984352773827,5624,0.06993319391711007,-1.7784101013693757e-4,2.481202291448121e-5,14.075223220646574,2.6967161071891237e-45
