model_id,k,n_points,n_edges,n_isolates,mean_degree,median_degree,max_degree,edge_min_m,edge_median_m,edge_p90_m,edge_p95_m,edge_p99_m,edge_max_m,n_edges_gt_2000m,prop_edges_gt_2000m,n_edges_gt_5000m,prop_edges_gt_5000m
knn_k4,4,5624,14069,0,5.003200568990042,5,10,0,256.32914376865085,646.8601470291051,847.0935838207938,1747.153438778309,4301.395812672292,92,0.006539199658824366,0,0
knn_k8,8,5624,27390,0,9.740398293029871,9,17,0,356.55428525419904,898.5082385029699,1145.9302649950737,2228.4674422998905,5225.4825399458405,398,0.014530850675428988,1,3.650967506389193e-5
knn_k12,12,5624,40668,0,14.46230440967283,14,26,0,440.43204721342215,1087.7976499749323,1391.5290133984827,2623.1895231544477,6680.81481862943,900,0.02213042195337858,13,3.196616504376906e-4
