scheme,group_id,group_label,activity_domain,n_places,median_presence_phase_count,median_longest_run_length,gap_place_rate,median_gap_count,median_continuity_index,median_intermittency_index,analysis_status
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,27,1,1,0.18518518518518517,0,0.14285714285714285,0,eligible
unit_basin,B_830305_42,多摩川 / basin 42,all_land_use,26,1,1,0.15384615384615385,0,0.14285714285714285,0,eligible
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,25,1,1,0.12,0,0.14285714285714285,0,eligible
unit_basin,B_830304_83,荒川 / basin 83,all_land_use,25,3,2,0.76,1,0.35,0.3333333333333333,eligible
unit_basin,B_830305_48,多摩川 / basin 48,all_land_use,25,2,1,0.52,1,0.2017857142857143,0.25,eligible
unit_basin,B_130000_1,名称不明 / basin 1,all_land_use,24,2,1.5,0.08333333333333333,0,0.24821428571428572,0,eligible
unit_basin,B_140013_19,境川 / basin 19,all_land_use,24,2,1.5,0.5416666666666666,1,0.2857142857142857,0.225,eligible
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,24,2.5,2,0.20833333333333334,0,0.28928571428571426,0,eligible
unit_basin,B_830305_27,多摩川 / basin 27,all_land_use,24,2,1.5,0.16666666666666666,0,0.2857142857142857,0,eligible
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,21,1,1,0.14285714285714285,0,0.14285714285714285,0,eligible
unit_basin,B_830304_56,荒川 / basin 56,all_land_use,21,3,2,0.38095238095238093,0,0.42857142857142855,0,eligible
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,20,1,1,0.25,0,0.14285714285714285,0,eligible
unit_basin,B_830305_5,多摩川 / basin 5,all_land_use,20,1,1,0.05,0,0.14285714285714285,0,eligible
unit_basin,B_830305_75,多摩川 / basin 75,all_land_use,19,1,1,0.42105263157894735,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_87,荒川 / basin 87,all_land_use,18,1,1,0.2777777777777778,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_62,多摩川 / basin 62,all_land_use,17,1,1,0.4117647058823529,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_44,多摩川 / basin 44,all_land_use,16,2,1,0.5625,1,0.21071428571428572,0.25,low_n_descriptive_only
unit_basin,B_830305_50,多摩川 / basin 50,all_land_use,16,1,1,0.25,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_90,多摩川 / basin 90,all_land_use,16,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_16,多摩川 / basin 16,all_land_use,15,2,2,0.4666666666666667,0,0.2857142857142857,0,low_n_descriptive_only
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,14,2,2,0.21428571428571427,0,0.2857142857142857,0,low_n_descriptive_only
unit_basin,B_830306_17,鶴見川 / basin 17,all_land_use,14,2.5,2,0.42857142857142855,0,0.3196428571428571,0,low_n_descriptive_only
unit_basin,B_130000_3,名称不明 / basin 3,all_land_use,13,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_98,多摩川 / basin 98,all_land_use,13,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_1,多摩川 / basin 1,all_land_use,12,0.5,0.5,0,0,0.07142857142857142,0,low_n_descriptive_only
unit_basin,B_830305_41,多摩川 / basin 41,all_land_use,12,3,1.5,0.5,0.5,0.29642857142857143,0.125,low_n_descriptive_only
unit_basin,B_830305_72,多摩川 / basin 72,all_land_use,12,1,1,0.4166666666666667,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,11,1,1,0.18181818181818182,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,11,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_79,荒川 / basin 79,all_land_use,11,1,1,0.18181818181818182,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_52,多摩川 / basin 52,all_land_use,11,1,1,0.36363636363636365,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,10,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_26,多摩川 / basin 26,all_land_use,10,1,1,0.3,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_37,多摩川 / basin 37,all_land_use,10,1,1,0.2,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_49,多摩川 / basin 49,all_land_use,10,1,1,0.1,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,9,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_51,多摩川 / basin 51,all_land_use,9,1,1,0.2222222222222222,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_81,多摩川 / basin 81,all_land_use,9,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_91,多摩川 / basin 91,all_land_use,9,1,1,0.1111111111111111,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,8,3.5,3.5,0,0,0.5,0,low_n_descriptive_only
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,8,3.5,2.5,0.25,0,0.4392857142857143,0,low_n_descriptive_only
unit_basin,B_830304_53,荒川 / basin 53,all_land_use,8,4.5,4,0.125,0,0.6083333333333333,0,low_n_descriptive_only
unit_basin,B_830305_24,多摩川 / basin 24,all_land_use,8,1,1,0.375,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_68,多摩川 / basin 68,all_land_use,8,1.5,1,0.5,0.5,0.17232142857142857,0.375,low_n_descriptive_only
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,7,1,1,0.2857142857142857,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_51,荒川 / basin 51,all_land_use,7,4,3,0.2857142857142857,0,0.5,0,low_n_descriptive_only
unit_basin,B_830305_32,多摩川 / basin 32,all_land_use,7,2,1,0.8571428571428571,1,0.2017857142857143,0.5,low_n_descriptive_only
unit_basin,B_830305_66,多摩川 / basin 66,all_land_use,7,1,1,0.2857142857142857,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_70,多摩川 / basin 70,all_land_use,7,1,1,0.42857142857142855,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_73,多摩川 / basin 73,all_land_use,7,2,1,0.7142857142857143,1,0.2017857142857143,0.25,low_n_descriptive_only
unit_basin,B_130000_2,名称不明 / basin 2,all_land_use,6,2,1.5,0.16666666666666666,0,0.24375,0,low_n_descriptive_only
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,6,1,1,0.3333333333333333,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_38,多摩川 / basin 38,all_land_use,6,3,2,0.6666666666666666,1,0.3580357142857143,0.225,low_n_descriptive_only
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,5,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,5,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_39,多摩川 / basin 39,all_land_use,5,1,1,0.2,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_55,多摩川 / basin 55,all_land_use,5,2,1,0.6,1,0.21071428571428572,0.5,low_n_descriptive_only
unit_basin,B_830305_69,多摩川 / basin 69,all_land_use,5,1,1,0.2,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_78,多摩川 / basin 78,all_land_use,5,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,4,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_31,多摩川 / basin 31,all_land_use,4,1.5,1,0.5,0.5,0.17232142857142857,0.25,low_n_descriptive_only
unit_basin,B_830305_87,多摩川 / basin 87,all_land_use,4,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
