scope_type,scope_id,scope_label,activity_domain,metric,candidate_order,left_label,right_label,change_label,left_mean,right_mean,delta_mean,sse_no_break,sse_with_break,change_score,best_candidate,n_places_group,score_rank,second_best_score,break_clarity
unit_basin,B_130000_1,名称不明 / basin 1,all_land_use,continue_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.36846405228758167,0.625,0.25653594771241833,0.44263112834095153,0.35488353838267334,0.1982408925625485,TRUE,24,1,0.14930245931222105,0.04893843325032746
unit_basin,B_130000_1,名称不明 / basin 1,all_land_use,drop_active_transition_composition,3,Ya->Ko,Ko->Na,Ya->Ko | Ko->Na,0.1721132897603486,0.4722222222222222,0.30010893246187365,0.5200799728024833,0.38498191578737523,0.2597640056915166,TRUE,24,1,0.25695033270388973,0.0028136729876268585
unit_basin,B_130000_1,名称不明 / basin 1,all_land_use,new_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.5833333333333334,0.044117647058823525,-0.5392156862745099,0.5360278098167373,0.14835640138408307,0.7232300289889723,TRUE,24,1,0.5609216700038852,0.1623083589850871
unit_basin,B_130000_1,名称不明 / basin 1,all_land_use,presence_rate,4,Ko,Na,Ko | Na,0.4166666666666667,0.12499999999999999,-0.2916666666666667,0.3090277777777778,0.16319444444444448,0.4719101123595505,TRUE,24,1,0.31853932584269656,0.15337078651685393
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,continue_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.24041811846689895,0.327299016772701,0.08688089830580206,0.021699488297656357,0.011635100977092205,0.46380758764948166,TRUE,47,1,0.42596518390284493,0.03784240374663672
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,drop_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.4075814536340852,0.25384615384615383,-0.15373529978793138,0.31184302826490273,0.2803303050637226,0.10105315926579218,TRUE,47,1,0.001184935975755535,0.09986822329003665
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,new_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.4143437862950058,0.3108155002891845,-0.10352828600582131,0.36095987651239586,0.34666906850799156,0.039591126145328046,TRUE,47,1,0.021743395985979658,0.017847730159348388
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,presence_rate,2,Jo,Ya,Jo | Ya,0.5212765957446809,0.20425531914893616,-0.31702127659574475,0.4050960356981182,0.2615210502489815,0.3544220945083015,TRUE,47,1,0.2720439548744147,0.0823781396338868
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,continue_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.33610880398671095,0.6116883116883116,0.27557950770160067,0.33875283704846937,0.23749408362839391,0.2989163258449321,TRUE,64,1,0.19103791977981474,0.10787840606511737
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,drop_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.20930232558139536,0.3101052048726467,0.10080287929125134,0.2988100552401719,0.28526176127562974,0.045340823466106475,TRUE,64,1,0.022932675711632697,0.02240814775447378
