coordinate_policy,k,metric,n_points,moran_i,p_value,model_id,expectation,variance,statistic
separate_records,4,continuity_index,5624,0.202571356735523,9.513848733247562e-126,knn_k4,-1.7784101013693757e-4,7.242759317241954e-5,23.823585137395842
separate_records,4,longest_run_length,5624,0.1748983068865688,2.1973189486611474e-94,knn_k4,-1.7784101013693757e-4,7.239057055159164e-5,20.577185975351565
separate_records,4,gap_count,5624,0.1968590296599913,7.775770684195852e-119,knn_k4,-1.7784101013693757e-4,7.246062983946687e-5,23.14709260329611
separate_records,4,max_gap_length,5624,0.18560947609479433,6.365730462481527e-106,knn_k4,-1.7784101013693757e-4,7.24479204070462e-5,21.827454993511108
separate_records,4,intermittency_index,5624,0.18161776618161204,1.6889803195368363e-101,knn_k4,-1.7784101013693757e-4,7.245997130196317e-5,21.356707818873502
separate_records,8,continuity_index,5624,0.1853977402696129,6.410190176579685e-205,knn_k8,-1.7784101013693757e-4,3.6964164294422394e-5,30.52322257959322
separate_records,8,longest_run_length,5624,0.157776259736693,3.4985227595647273e-149,knn_k8,-1.7784101013693757e-4,3.6945269399734535e-5,25.986721165596787
separate_records,8,gap_count,5624,0.18235219403615516,3.08470919235535e-198,knn_k8,-1.7784101013693757e-4,3.6981024914517305e-5,30.015450465483884
separate_records,8,max_gap_length,5624,0.16732923260709537,2.3724090192284783e-167,knn_k8,-1.7784101013693757e-4,3.697453851831518e-5,27.547473271783936
separate_records,8,intermittency_index,5624,0.16446786169175995,9.791033872120256e-162,knn_k8,-1.7784101013693757e-4,3.698068882278468e-5,27.074653162210808
separate_records,12,continuity_index,5624,0.17430475795206857,7.22511093970816e-269,knn_k12,-1.7784101013693757e-4,2.4834453482848515e-5,35.012636740662884
separate_records,12,longest_run_length,5624,0.14787065027892574,2.3983994822702988e-194,knn_k12,-1.7784101013693757e-4,2.4821758949839903e-5,29.715819324323135
separate_records,12,gap_count,5624,0.1782006502690708,9.037529070065053e-281,knn_k12,-1.7784101013693757e-4,2.4845781288685827e-5,35.78624718518631
separate_records,12,max_gap_length,5624,0.16129719942027146,1.467989869366219e-230,knn_k12,-1.7784101013693757e-4,2.484142340407969e-5,32.39792258959941
separate_records,12,intermittency_index,5624,0.16072040078767852,6.781865477058571e-229,knn_k12,-1.7784101013693757e-4,2.4845555485490613e-5,32.2795106975733
aggregated,4,continuity_index,5618,0.20325955611000046,1.974034981654725e-126,coordinate_aggregated_knn_k4,-1.7803097739006588e-4,7.251906561093967e-5,23.889391972069134
aggregated,4,longest_run_length,5618,0.17569830596981956,4.118697140099472e-95,coordinate_aggregated_knn_k4,-1.7803097739006588e-4,7.248193201988724e-5,20.658202549989564
aggregated,4,gap_count,5618,0.1966610361225434,1.868856225838967e-118,coordinate_aggregated_knn_k4,-1.7803097739006588e-4,7.255226201276933e-5,23.109248326168714
aggregated,4,max_gap_length,5618,0.18548041123030287,1.1977811450648383e-105,coordinate_aggregated_knn_k4,-1.7803097739006588e-4,7.253953111677032e-5,21.798536147625292
aggregated,4,intermittency_index,5618,0.1814988759310565,3.036847936172566e-101,coordinate_aggregated_knn_k4,-1.7803097739006588e-4,7.255161914508442e-5,21.32927888464796
aggregated,8,continuity_index,5618,0.18585108592030475,1.0532314131075656e-205,coordinate_aggregated_knn_k8,-1.7803097739006588e-4,3.700175970639968e-5,30.582271195149215
aggregated,8,longest_run_length,5618,0.158088392637364,1.294852587209374e-149,coordinate_aggregated_knn_k8,-1.7803097739006588e-4,3.698281282946309e-5,26.024884984173173
aggregated,8,gap_count,5618,0.1824803545555047,2.589849583068406e-198,coordinate_aggregated_knn_k8,-1.7803097739006588e-4,3.701869768956743e-5,30.02126904401938
aggregated,8,max_gap_length,5618,0.1673253847850666,3.550531296663215e-167,coordinate_aggregated_knn_k8,-1.7803097739006588e-4,3.701220193429708e-5,27.532852376098663
aggregated,8,intermittency_index,5618,0.16438443902730518,2.0607504312031905e-161,coordinate_aggregated_knn_k8,-1.7803097739006588e-4,3.701836967564345e-5,27.047190086756885
aggregated,12,continuity_index,5618,0.1745481841327386,2.611175914442468e-269,coordinate_aggregated_knn_k12,-1.7803097739006588e-4,2.4862601020933295e-5,35.041669485785754
aggregated,12,longest_run_length,5618,0.14794792694393796,2.490935020062492e-194,coordinate_aggregated_knn_k12,-1.7803097739006588e-4,2.4849870084176537e-5,29.71454678330149
aggregated,12,gap_count,5618,0.1780394782742116,5.930844462977175e-280,coordinate_aggregated_knn_k12,-1.7803097739006588e-4,2.4873982125756922e-5,35.73367727200915
aggregated,12,max_gap_length,5618,0.1611119256785614,8.86052847409656e-230,coordinate_aggregated_knn_k12,-1.7803097739006588e-4,2.48696174460363e-5,32.34243937759326
aggregated,12,intermittency_index,5618,0.1604875708784899,5.519157091707344e-228,coordinate_aggregated_knn_k12,-1.7803097739006588e-4,2.4873761724023406e-5,32.21455751015261
