model_id,metric,n_points,moran_i,expectation,variance,statistic,p_value,distance_band_m,phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_apparent_absence_continue_excluded,analysis_universe
transition_Na_He_fixed_1000m,Na->He__new,2394,0.3211910794217876,-4.2643923240938164e-4,9.541706648898824e-5,32.92506694925238,4.8121413470841565e-238,1000,Na->He,5,new,689,0.2878028404344194,3230,active_transition_only_excluding_0to0
transition_He_Me_fixed_1000m,He->Me__continue,2626,0.11428107153756906,-3.8895371450797355e-4,9.541110510077879e-5,11.739522839643621,3.9968083646208544e-32,1000,He->Me,6,continue,571,0.21744097486671743,2998,active_transition_only_excluding_0to0
transition_He_Me_fixed_1000m,He->Me__drop,2626,0.21188268409766528,-3.8895371450797355e-4,9.547322941130801e-5,21.724568759403454,6.010457024502589e-105,1000,He->Me,6,drop,1603,0.6104341203351105,2998,active_transition_only_excluding_0to0
transition_He_Me_fixed_1000m,He->Me__new,2626,0.22544927365641337,-3.8895371450797355e-4,9.536870810196117e-5,23.125679718536574,1.2773228127074418e-118,1000,He->Me,6,new,452,0.17212490479817213,2998,active_transition_only_excluding_0to0
transition_Pa_Jo_fixed_2000m,Pa->Jo__continue,3906,0.1093167007216857,-2.5660764690787786e-4,1.3823222460992074e-5,29.47135650218161,3.3528821831249736e-191,2000,Pa->Jo,1,continue,634,0.16231438812083973,1718,active_transition_only_excluding_0to0
transition_Pa_Jo_fixed_2000m,Pa->Jo__drop,3906,0.05975723952897163,-2.5660764690787786e-4,1.3614530816682395e-5,16.264852469816113,8.764440027012215e-60,2000,Pa->Jo,1,drop,60,0.015360983102918587,1718,active_transition_only_excluding_0to0
transition_Pa_Jo_fixed_2000m,Pa->Jo__new,3906,0.13231035296026952,-2.5660764690787786e-4,1.3825034958084503e-5,35.65350085844959,1.0397945132509018e-278,2000,Pa->Jo,1,new,3212,0.8223246287762417,1718,active_transition_only_excluding_0to0
transition_Jo_Ya_fixed_2000m,Jo->Ya__continue,3944,0.13927292068912353,-2.5412960609911054e-4,1.4249856404936867e-5,36.96180479005926,2.35344894949293e-299,2000,Jo->Ya,2,continue,549,0.13919878296146046,1680,active_transition_only_excluding_0to0
transition_Jo_Ya_fixed_2000m,Jo->Ya__drop,3944,0.19999037106120382,-2.5412960609911054e-4,1.4253677509840387e-5,53.03922059433827,0,2000,Jo->Ya,2,drop,3297,0.8359533468559838,1680,active_transition_only_excluding_0to0
transition_Jo_Ya_fixed_2000m,Jo->Ya__new,3944,0.12698324319991577,-2.5412960609911054e-4,1.413044947894953e-5,33.848287793091984,1.922962956438004e-251,2000,Jo->Ya,2,new,98,0.02484787018255578,1680,active_transition_only_excluding_0to0
transition_Ya_Ko_fixed_2000m,Ya->Ko__continue,1926,0.14387121434252317,-5.202913631633715e-4,4.669554422759299e-5,21.13021541360785,2.0981429138214267e-99,2000,Ya->Ko,3,continue,358,0.18587746625129803,3698,active_transition_only_excluding_0to0
transition_Ya_Ko_fixed_2000m,Ya->Ko__drop,1926,0.14428012042065974,-5.202913631633715e-4,4.666552991291742e-5,21.196868032342444,5.103347723507985e-100,2000,Ya->Ko,3,drop,289,0.15005192107995846,3698,active_transition_only_excluding_0to0
transition_Ya_Ko_fixed_2000m,Ya->Ko__new,1926,0.24675927590353403,-5.202913631633715e-4,4.6747297517919214e-5,36.16679108226736,1.0131913438434305e-286,2000,Ya->Ko,3,new,1279,0.6640706126687436,3698,active_transition_only_excluding_0to0
transition_Ko_Na_fixed_2000m,Ko->Na__continue,2691,0.10756002209664195,-3.729951510630362e-4,2.3301330136690605e-5,22.35959646334816,4.8694641352360046e-111,2000,Ko->Na,4,continue,651,0.241917502787068,2933,active_transition_only_excluding_0to0
transition_Ko_Na_fixed_2000m,Ko->Na__drop,2691,0.3624745281657303,-3.729951510630362e-4,2.3311294615305717e-5,75.15207331067322,0,2000,Ko->Na,4,drop,986,0.3664065403195838,2933,active_transition_only_excluding_0to0
transition_Ko_Na_fixed_2000m,Ko->Na__new,2691,0.37911472993421574,-3.729951510630362e-4,2.331225618535707e-5,78.59692935486643,0,2000,Ko->Na,4,new,1054,0.3916759568933482,2933,active_transition_only_excluding_0to0
transition_Na_He_fixed_2000m,Na->He__continue,2394,0.24821382822865892,-4.1946308724832214e-4,3.231611705727269e-5,43.737070703904195,0,2000,Na->He,5,continue,1485,0.6203007518796992,3230,active_transition_only_excluding_0to0
transition_Na_He_fixed_2000m,Na->He__drop,2394,0.30501323046651496,-4.1946308724832214e-4,3.221115705503881e-5,53.816117074226575,0,2000,Na->He,5,drop,220,0.091896407685881365,3230,active_transition_only_excluding_0to0
transition_Na_He_fixed_2000m,Na->He__new,2394,0.24596767197097433,-4.1946308724832214e-4,3.230753110544001e-5,43.3477082913192,0,2000,Na->He,5,new,689,0.2878028404344194,3230,active_transition_only_excluding_0to0
transition_He_Me_fixed_2000m,He->Me__continue,2626,0.0822433876901377,-3.8255547054322876e-4,2.998449397903311e-5,15.089264379599884,9.527746412311638e-52,2000,He->Me,6,continue,571,0.21744097486671743,2998,active_transition_only_excluding_0to0
transition_He_Me_fixed_2000m,He->Me__drop,2626,0.1512950772307205,-3.8255547054322876e-4,3.0003694636294154e-5,27.690715233624953,4.516286131188591e-169,2000,He->Me,6,drop,1603,0.6104341203351105,2998,active_transition_only_excluding_0to0
transition_He_Me_fixed_2000m,He->Me__new,2626,0.17803387380021166,-3.8255547054322876e-4,2.997139040917038e-5,32.58977769041932,2.8623563291151035e-233,2000,He->Me,6,new,452,0.17212490479817213,2998,active_transition_only_excluding_0to0
transition_Pa_Jo_fixed_5000m,Pa->Jo__continue,3906,0.07988062693174791,-2.5608194622279127e-4,3.0755777817758686e-6,45.694943540316665,0,5000,Pa->Jo,1,continue,634,0.16231438812083973,1718,active_transition_only_excluding_0to0
transition_Pa_Jo_fixed_5000m,Pa->Jo__drop,3906,0.010661749394775778,-2.5608194622279127e-4,3.0292577559428693e-6,6.2728985920934175,1.7719386819044088e-10,5000,Pa->Jo,1,drop,60,0.015360983102918587,1718,active_transition_only_excluding_0to0
transition_Pa_Jo_fixed_5000m,Pa->Jo__new,3906,0.0882714886112102,-2.5608194622279127e-4,3.07598007345564e-6,50.47621566692672,0,5000,Pa->Jo,1,new,3212,0.8223246287762417,1718,active_transition_only_excluding_0to0
transition_Jo_Ya_fixed_5000m,Jo->Ya__continue,3944,0.1064285934362337,-2.53613999492772e-4,2.8601865443348974e-6,63.08045450123864,0,5000,Jo->Ya,2,continue,549,0.13919878296146046,1680,active_transition_only_excluding_0to0
transition_Jo_Ya_fixed_5000m,Jo->Ya__drop,3944,0.15750770233873385,-2.53613999492772e-4,2.8609516397349275e-6,93.27070574726686,0,5000,Jo->Ya,2,drop,3297,0.8359533468559838,1680,active_transition_only_excluding_0to0
transition_Jo_Ya_fixed_5000m,Jo->Ya__new,3944,0.08640872389470557,-2.53613999492772e-4,2.8362778341289914e-6,51.45836882032014,0,5000,Jo->Ya,2,new,98,0.02484787018255578,1680,active_transition_only_excluding_0to0
transition_Ya_Ko_fixed_5000m,Ya->Ko__continue,1926,0.11312542929220153,-5.194805194805195e-4,9.961603537500823e-6,36.00686925251323,3.2655612000981045e-284,5000,Ya->Ko,3,continue,358,0.18587746625129803,3698,active_transition_only_excluding_0to0
