LGC,Name,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13202,立川市,8,14,0,3,0,7,6,7,4,0,0,0,0,4,0,0,0,0,0
13203,武蔵野市,3,3,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0
13204,三鷹市,27,48,3,17,0,22,21,15,8,0,0,0,0,36,0,0,0,0,0
13205,青梅市,8,138,8,21,0,66,55,66,28,0,0,0,0,14,0,0,0,0,5
13206,府中市,11,19,2,43,0,13,13,13,11,0,0,0,0,8,0,0,0,0,4
13207,昭島市,4,24,0,6,0,23,11,20,4,0,0,0,0,3,0,0,0,0,1
13208,調布市,19,46,7,61,0,39,37,27,22,0,0,0,0,24,0,0,0,0,0
13209,町田市,56,738,102,178,0,581,511,565,135,0,0,0,0,102,0,0,1,1,14
13210,小金井市,17,22,0,4,0,1,0,1,5,0,0,0,0,5,0,0,0,0,1
13211,小平市,3,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13212,日野市,6,24,4,24,0,29,20,24,23,0,0,0,0,6,0,0,0,0,1
13213,東村山市,22,120,13,49,0,62,49,52,54,0,0,0,0,4,0,0,0,0,3
13214,国分寺市,19,36,1,0,0,26,25,23,6,0,0,0,0,1,0,0,0,0,0
13215,国立市,5,15,0,34,0,20,8,18,9,0,0,0,0,11,0,0,1,0,0
13218,福生市,0,16,0,1,0,4,0,4,2,0,0,0,0,1,0,0,0,0,1
13219,狛江市,1,22,15,64,0,33,32,25,10,0,0,0,0,31,0,0,0,0,1
13220,東大和市,18,68,0,0,0,41,5,40,2,0,0,0,0,12,0,0,2,0,0
13221,清瀬市,7,47,3,3,0,57,3,57,5,0,0,0,0,2,0,0,0,0,0
13222,東久留米市,40,131,4,0,0,9,1,9,0,0,0,0,0,2,0,0,0,0,0
13223,武蔵村山市,6,33,4,15,0,9,1,9,1,0,0,0,0,3,0,0,0,0,0
13224,多摩市,29,228,8,35,0,163,110,156,79,0,0,0,0,112,0,0,0,0,4
13225,稲城市,15,112,7,23,0,71,55,60,38,0,0,0,0,35,0,0,0,0,6
13227,羽村市,0,8,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13228,あきる野市,3,89,6,107,0,32,15,27,23,0,0,0,0,15,0,0,0,0,0
13229,西東京市,7,12,2,1,0,3,0,3,1,0,0,0,0,6,0,0,0,0,1
13303,瑞穂町,5,16,2,2,0,4,3,2,5,0,0,0,0,5,0,0,0,0,0
13305,日の出町,1,15,2,9,0,6,5,6,8,0,0,0,0,8,0,0,0,0,0
13307,檜原村,1,38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
13308,奥多摩町,0,47,0,0,0,12,1,12,2,0,0,0,0,0,0,0,0,0,0
13360,島嶼部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13361,大島町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13363,新島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13364,神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13381,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13401,八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13421,小笠原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,東京都計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
