JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,LGCCheck,TownCheck,OverallCheck,AddressCandidates,DictionaryCandidates,PointBoundaryLGC,PointBoundaryTown,MatchedAddressCandidate,MatchedBoundaryTown,NormalizedLGC,SourceRowNumber
13209043200,13209,432,のうがやへいわだいいせきNo.4,能ケ谷平和台遺跡No.4,町田市 能ヶ谷七丁目,[縄文時代（前期）][古墳時代],包蔵地,,縄文土器　土師器　須恵器,139.484729,35.59250136,Match,Mismatch,TownMismatch,能ヶ谷七丁目,,13209,能ケ谷七丁目,,,13209,4455
13209043300,13209,433,のうがやへいわだいいせきNo.5,能ケ谷平和台遺跡No.5,町田市 能ヶ谷七丁目,[旧石器時代][縄文時代（早期・中期）][古墳時代],集落,[縄文時代]住居　炉穴　[古墳時代]住居,ナイフ形石器　縄文土器　打斧　礫器　石鏃　石皿　土師器　須恵器,139.4815349,35.59458434,Match,Mismatch,TownMismatch,能ヶ谷七丁目,,13209,能ケ谷七丁目,,,13209,4456
13209050400,13209,504,きそだんちいせきぐん,木曽団地遺跡群,町田市 木曽東四丁目,[旧石器時代][縄文時代（中期〜後期）],集落,[縄文時代]住居　配石遺構,尖頭器　縄文土器　石器,139.432022,35.56701274,Match,Mismatch,TownMismatch,木曽東四丁目,木曽東四丁目,13209,本町田,,,13209,4516
13209068300,13209,683,,町田市No.683遺跡,町田市 小川,[縄文時代（中期〜後期）],包蔵地,,縄文土器,139.4705528,35.52152344,Match,Mismatch,TownMismatch,小川,,13209,南町田二丁目,,,13209,4677
13209069400,13209,694,,町田市No.694遺跡,町田市 鶴間,[奈良時代][平安時代],包蔵地,,土師器,139.4666664,35.51920001,Match,Mismatch,TownMismatch,鶴間,,13209,南町田三丁目,,,13209,4688
13209084100,13209,841,みわみなみいせきぐん（しー-1）,三輪南遺跡群(C−1),町田市 三輪町,[縄文時代（前期〜中期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器,139.4912016,35.56753129,Match,Mismatch,TownMismatch,三輪町,三輪町,13209,三輪緑山一丁目,,,13209,4812
13209092800,13209,928,のうがやとうぶしーちてんいせき,能ヶ谷東部C地点遺跡,町田市 能ヶ谷四丁目,[縄文時代][古墳時代][平安時代],集落,[縄文時代]陥穴　[古墳時代]住居　[奈良時代][平安時代]土坑,縄文土器　石器　土師器　須恵器　陶磁器　石製品　古銭,139.4870899,35.58681748,Match,Mismatch,TownMismatch,能ヶ谷四丁目,,13209,能ケ谷四丁目,,,13209,4895
13209092900,13209,929,のうがやかごやまこふんぐん,能ヶ谷香山古墳群,町田市 能ヶ谷二丁目,[縄文時代（早期〜中期）][弥生時代][古墳時代][奈良時代][中世],古墳・横穴墓・包蔵地,円墳2基　横穴墓20基　[縄文時代？]床状硬化面　焼土　竪穴状プラン　[古墳時代]円墳,縄文土器　土師器　須恵器　耳環　勾玉　玉類　直刀　鉄製品　灰釉陶器　板碑　古銭,139.4825824,35.58564458,Match,Mismatch,TownMismatch,能ヶ谷二丁目,,13209,能ケ谷二丁目,,,13209,4896
13209093800,13209,938,みょうぎょうじよこあなぼぐん,妙行寺横穴墓群,町田市 能ヶ谷四丁目,[古墳時代],横穴墓,,,139.4880859,35.58600749,Match,Mismatch,TownMismatch,能ヶ谷四丁目,,13209,能ケ谷四丁目,,,13209,4905
13209093900,13209,939,,町田市No.939遺跡,町田市 能ヶ谷三丁目,[奈良時代][平安時代],包蔵地,,土師器　須恵器,139.4921229,35.58532433,Match,Mismatch,TownMismatch,能ヶ谷三丁目,,13209,能ケ谷三丁目,,,13209,4906
13209094000,13209,940,,町田市No.940遺跡,町田市 能ヶ谷七丁目,[奈良時代][平安時代],包蔵地,,土師器,139.4796975,35.59195675,Match,Mismatch,TownMismatch,能ヶ谷七丁目,,13209,能ケ谷七丁目,,,13209,4907
13209100500,13209,1005,,町田市No.1005遺跡,町田市 鶴間,[古墳時代][奈良時代][平安時代],包蔵地,,土師器　須恵器　古銭,139.4653274,35.52090456,Match,Mismatch,TownMismatch,鶴間,,13209,南町田一丁目,,,13209,4972
13209100900,13209,1009,のうがやにしよこあなぼ,能ヶ谷西横穴墓,町田市 能ヶ谷二丁目,[古墳時代],横穴墓,,人骨,139.4793712,35.58459716,Match,Mismatch,TownMismatch,能ヶ谷二丁目,,13209,能ケ谷二丁目,,,13209,4976
13210000900,13210,9,ぬくいみなみいせき,貫井南遺跡,小金井市 貫井南二丁目,[旧石器時代][縄文時代（早期〜後期）],集落,[縄文時代]住居 集石 土坑群,ナイフ形石器 尖頭器 縄文土器 打斧 磨斧 石鏃 石皿 磨石 けつ状耳飾,139.4984891,35.69393329,Match,Mismatch,TownMismatch,貫井南二丁目,,13210,貫井南町二丁目,,,13210,4989
13212001500,13212,15,たむらしやかたあと,田村氏館跡,日野市 下田,[中世],城館,,,139.4150309,35.67084244,Match,Mismatch,TownMismatch,下田,,13212,万願寺四丁目,,,13212,5022
13212001600,13212,16,,日野市No.16遺跡,日野市 川辺堀之内,[縄文時代][古墳時代][中世],集落,ピット 溝 中世水田 畑 竪穴住居 土坑,縄文土器 石器 土師器 須恵器 中世陶器 木製品,139.4029803,35.66908529,Match,Mismatch,TownMismatch,川辺堀之内,,13212,大字川辺堀之内,,,13212,5023
13212001700,13212,17,かわべほりのうちいせき,川辺堀之内遺跡,日野市 川辺堀之内 豊田,[縄文時代（前期〜中期）][平安時代][中世],包蔵地,竪穴状遺構 ピット 集石 土坑 溝 柱穴 落し穴,縄文土器 土師器 須恵器 古瀬戸 瓶子,139.3978648,35.66526407,Match,Mismatch,TownMismatch,川辺堀之内｜豊田,,13212,大字川辺堀之内,,,13212,5024
13212002800,13212,28,みなみだいらいせき,南平遺跡,日野市 南平,[旧石器時代],包蔵地,[旧石器時代]礫群,礫器 敲石 台石,139.3998752,35.65271619,Match,Mismatch,TownMismatch,南平,,13212,程久保七丁目,,,13212,5034
13214000100,13214,1,くまのごういせき,熊ノ郷遺跡,国分寺市 西恋ヶ窪三丁目 西恋ヶ窪四丁目,[旧石器時代][縄文時代],集落,[旧石器時代]石器集中部 礫群,尖頭器 石刃 礫器 剥片,139.4669101,35.70531943,Match,Mismatch,TownMismatch,西恋ヶ窪三丁目｜西恋ヶ窪四丁目,,13214,西恋ケ窪四丁目,,,13214,5208
13214000200,13214,2,こいがくぼいせき,恋ヶ窪遺跡,国分寺市 西恋ヶ窪一丁目　 東恋ヶ窪一丁目　 東恋ヶ窪三丁目,[旧石器時代][縄文時代（早期・中期〜後期）][奈良時代][平安時代][中世],集落,[縄文時代]住居　敷石住居　集石　土坑　屋外埋甕　[中世]溝,(縄文)縄文土器　打斧　磨斧　石槍　石鏃　掻器　彫器　石匙　石錐　ピエス・エスキーユ　スタンプ形石器　敲石　砥石　土錘　土製円板　耳飾　硬玉製大珠　器台　(中世)陶器,139.4705243,35.70254176,Match,Mismatch,TownMismatch,西恋ヶ窪一丁目｜東恋ヶ窪一丁目｜東恋ヶ窪三丁目,,13214,西恋ケ窪一丁目,,,13214,5209
13214000500,13214,5,はねざわいせき,羽根沢遺跡,国分寺市 東恋ヶ窪一丁目、三丁目,[縄文時代（早期・中期）][奈良時代][平安時代],集落,[縄文時代]住居　敷石住居　集石　土坑　埋甕　[古代]井戸,縄文土器　打斧　磨斧　石鏃　石匙　石皿　磨石　土製円板　耳飾,139.4739233,35.70318815,Match,Mismatch,TownMismatch,東恋ヶ窪一丁目｜三丁目,,13214,東恋ケ窪一丁目,,,13214,5211
13214000900,13214,9,ひかげやまいせき,日影山遺跡,国分寺市 泉町二丁目 西恋ヶ窪一丁目,[旧石器時代][縄文時代（中期）][奈良時代][平安時代][中世],包蔵地,[旧石器時代]石器集中部 集石 ユニット 礫群 [縄文時代]竪穴住居 [歴史時代]掘立柱建物 柵列 井戸 火葬墓 土壙墓 井戸 道路跡（鎌倉街道） 溝 土坑 集石 特殊遺構,(旧石器時代)尖頭器 ナイフ形石器 スクレイパー 剥片遺物 石核 (縄文時代)土器 打製石斧 (歴史時代)土師質土器 瓦質土器 土器（在地土器） 陶磁器 銭貨 金属製品（刀子） 砥石 板碑 銭貨 鉄製品（鉄釘） 瓦,139.4717981,35.69264697,Match,Mismatch,TownMismatch,泉町二丁目｜西恋ヶ窪一丁目,泉町二丁目,13214,西元町二丁目,,,13214,5215
13214001100,13214,11,たきくぼいせき,多喜窪遺跡,国分寺市 西元町二丁目 西元町四丁目,[旧石器時代][縄文時代（中期）],集落,[縄文時代]住居 土壙,縄文土器 打斧 磨斧 石鏃 掻器 石皿 磨石 スタンプ形石器,139.4674663,35.69221292,Mismatch,Mismatch,LGCAndTownMismatch,西元町二丁目｜西元町四丁目,西元町二丁目｜西元町四丁目,13206,武蔵台二丁目,,,13214,5217
13214001300,13214,13,,国分寺市No.13遺跡,国分寺市 西元町四丁目,[中世],修法壇跡か塚,［中世］塚,素焼土器 陶器（灰釉） 銭貨,139.4789428,35.69559391,Match,Mismatch,TownMismatch,西元町四丁目,西元町四丁目,13214,東元町三丁目,,,13214,5219
13214001400,13214,14,たきくぼよこあなぼぐん,多喜窪横穴墓群,国分寺市 西元町二丁目 西元町四丁目,[奈良時代],横穴墓,［奈良時代］横穴墓,陶器（緑釉） 鉄釘 木棺 人骨,139.4875978,35.69943317,Match,Mismatch,TownMismatch,西元町二丁目｜西元町四丁目,西元町二丁目｜西元町四丁目,13214,南町一丁目,,,13214,5220
13214001800,13214,18,はちまんまえいせき,八幡前遺跡,国分寺市 東元町三丁目,[縄文時代（中期〜後期）],包蔵地,,縄文土器 石錐 浮石,139.4848388,35.69845044,Match,Mismatch,TownMismatch,東元町三丁目,東元町三丁目,13214,南町二丁目,,,13214,5221
13214002000,13214,20,とのがやときたいせき,殿ヶ谷戸北遺跡,国分寺市 南町一丁目,[旧石器時代][縄文時代（早期・中期）],集落,[旧石器時代]礫群,ナイフ形石器 尖頭器 掻器 石核 縄文土器,139.4827089,35.69219995,Match,Mismatch,TownMismatch,南町一丁目,南町一丁目,13214,東元町二丁目,,,13214,5223
13214002200,13214,22,こいがくぼはいじあと,恋ヶ窪廃寺跡,国分寺市 泉町三丁目,[縄文時代][平安時代][中世],社寺,[平安時代][中世]礎石建物 掘立柱建物 土坑 溝 火葬墓 土壙墓,土師器 須恵器 陶器（灰釉） 瓦 板碑 宝筐印塔 銭貨 人骨,139.4853228,35.69644562,Match,Mismatch,TownMismatch,泉町三丁目,泉町三丁目,13214,東元町一丁目,,,13214,5225
