自治体コード,名称,よみがな,roman
13100,区部,くぶ,TokyoMet Districts
13101,千代田区,ちよだく,Chiyoda District
13102,中央区,ちゅうおうく, Chuo District
13103,港区,みなとく, Minato District
13104,新宿区,しんじゅくく, Shinjuku District
13105,文京区,ぶんきょうく, Bunkyo District
13106,台東区,たいとうく, Taito District
13107,墨田区,すみだく, Sumida District
13108,江東区,こうとうく, Koto District
13109,品川区,しながわく, Shinagawa District
13110,目黒区,めぐろく, Meguro District
13111,大田区,おおたく, Ota District
13112,世田谷区,せたがやく, Setagaya District
13113,渋谷区,しぶやく, Shibuya District
13114,中野区,なかのく, Nakano District
13115,杉並区,すぎなみく, Suginami District
13116,豊島区,としまく, Toshima District
13117,北区,きたく, Kita District
13118,荒川区,あらかわく, Arakawa District
13119,板橋区,いたばしく, Itabashi District
13120,練馬区,ねりまく, Nerima District
13121,足立区,あだちく, Adachi District
13122,葛飾区,かつしかく, Katsushika District
13123,江戸川区,えどがわく, Edogawa District
13200,多摩地区, たまちく, Tama Area
13201,八王子市,はちおうじし, Hachioji City
13202,立川市,たちかわし, Tachikawa City
13203,武蔵野市,むさしのし, Musashino City
13204,三鷹市,みたかし, Mitaka City
13205,青梅市,おうめし, Ome City
13206,府中市,ふちゅうし, Fuchu City
13207,昭島市,あきしまし, Akishima City
13208,調布市,ちょうふし, Chofu City
13209,町田市,まちだし, Machida City
13210,小金井市,こがねいし, Koganei City
13211,小平市,こだいらし, Kodaira City
13212,日野市,ひのし, Hino City
13213,東村山市,ひがしむらやまし, Higashimurayama City
13214,国分寺市,こくぶんじし, Kokubunji City
13215,国立市,くにたちし, Kunitachi City
13218,福生市,ふっさし, Fussa City
13219,狛江市,こまえし, Komae City
13220,東大和市,ひがしやまとし, Higashiyamato City
13221,清瀬市,きよせし, Kiyose Cisty
13222,東久留米市,ひがしくるめし, Higashikurume City
13223,武蔵村山市,むさしむらやまし, Musashimurayama City
13224,多摩市,たまし, Tama City
13225,稲城市,いなぎし, Inagi City
13227,羽村市,はむらし, Hamura City
13228,あきる野市,あきるのし, Akiruno City
13229,西東京市,にしとうきょうし, Nishitokyo City
13303,瑞穂町,みずほまち, Mizuho Town
13305,日の出町,ひのでまち, Hinode Town
13307,檜原村,ひのはらむら, Hinohara Village
13308,奥多摩町,おくたままち, Okutama Town
13360,島嶼部,とうしょぶ, Izu-Ogasawara Islands
13361,大島町,おおしままち, Oshima Town
13362,利島村,としまむら, Toshima Village
13363,新島村,にいじまむら, Niijima Village
13364,神津島村,こうづしまむら, Kodushima Village
13381,三宅村,みやけむら, Miyake Village
13382,御蔵島村,みくらじまむら, Mikurajima Village
13401,八丈町,はちじょうまち, Hachijojima Village
13402,青ヶ島村,あおがしまむら, Aogashima Village
13421,小笠原村,おがさわらむら, Ogasawara Village
13000,東京都計,とうきょうと, Tokyo
