first_mesh,zip_name,zip_path,url,download_status,n_candidate_files
5338,W07-09_5338-jgd_GML.zip,W07_cache/W07-09_5338-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/W07/W07-09/W07-09_5338-jgd_GML.zip,downloaded,3
5339,W07-09_5339-jgd_GML.zip,W07_cache/W07-09_5339-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/W07/W07-09/W07-09_5339-jgd_GML.zip,downloaded,3
