JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341003700,11341,39,37,小川谷III遺跡,散布地,,,,,,1,,,,,,,,,,139.36315063844100,36.08787421139200
11341003600,11341,39,36,耕作II遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36380294957800,36.08892849175220
11341003500,11341,39,35,耕作遺跡,集落跡,,,,,,1,,,,,,,,,,139.36199718998700,36.08868007544570
11341003400,11341,39,34,亀ヶ入遺跡,集落跡,,,,,,1,,,,,,,,,,139.3626161052690,36.09173588236110
11341003300,11341,39,33,亀ヶ入II遺跡,集落跡,,,,,,1,,1,,,,,,,,139.36507864937100,36.09266148075330
11341001100,11341,39,11,薬王子遺跡,集落跡,,,,,,1,,,,,,,,,,139.3625116156340,36.09894378536180
11341001200,11341,39,12,油免遺跡,散布地,,,,,,1,,1,,,,,,,,139.3635759169570,36.098666379831100
11341035100,11341,39,351,寺谷廃寺,寺院跡,,,,,,,1,,,,,,,,,139.3579507676070,36.05570294751640
11341036000,11341,39,360,寺沼東遺跡,集落跡,,,,,,,,1,,,,,,,,139.36030914151900,36.05601149654530
11341032200,11341,39,322,寺谷東遺跡,集落跡,,,,,,1,,,,,,,,,,139.36080851279500,36.056563731431000
11341032000,11341,39,320,狸塚遺跡,集落跡,,,,,,,,1,,,,,,,,139.3592635597480,36.05817353134960
11341019800,11341,39,198,大谷遺跡,集落跡,,,,,,1,,,,,,,,,,139.35654913631800,36.059772813813500
11341024200,11341,39,242,平谷遺跡,集落跡,,,,1,1,1,,,,,,,,,,139.3571678468480,36.05785812938320
11341019900,11341,39,199,大谷II遺跡,集落跡 古墳群,,,,1,,1,,,,,,,,,,139.3593478374150,36.06009147202740
11341019700,11341,39,197,花気古墳,集落跡,,1,,,1,1,,,,,,,,,,139.35573784526000,36.06124788805720
11341029200,11341,39,292,上の山遺跡,集落跡,,,,1,,1,,,,,,,,,,139.35939136488900,36.045391583633800
11341029300,11341,39,293,築地前東遺跡,集落跡,,,,,,1,,,,,,,,,,139.35515133243000,36.0456136604129
11341028300,11341,39,283,新道上遺跡,集落跡,,,,,,1,,,,,,,,,,139.3609229688280,36.047251135217800
11341028200,11341,39,282,溝半田II遺跡,集落跡,,,,,,1,,,,,,,,,,139.3584149302100,36.04725982490940
11341028000,11341,39,280,築地遺跡,集落跡,,,,,,1,,,,,,,,,,139.35611040128600,36.04812905124850
11341027900,11341,39,279,古屋敷II遺跡,集落跡,,,,,,1,,,,,,,,,,139.35640581521400,36.04859715102390
11341027800,11341,39,278,古屋敷I遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.3564744797000,36.0496242015097
11341035600,11341,39,356,東平II遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3547287764120,36.05140985093290
11341024800,11341,39,248,平遺跡,集落跡,,,,,,,1,1,,,,,,,,139.35481037614900,36.05419481307120
11341035800,11341,39,358,稲荷前II遺跡,集落跡,,,,,,,,1,,,,,,,,139.3580948185460,36.04991979676870
11341035700,11341,39,357,東平III遺跡,散布地,,,,,,,,,,,,,,,1,139.35682792766300,36.051148365401000
11341024900,11341,39,249,平沼下遺跡,集落跡,,,,,,,,1,,,,,,,,139.3584449964050,36.054207913779400
11341025000,11341,39,250,五厘沼窯跡群,窯跡,,,,,,,1,,,,,,,,,139.3578733079600,36.054353451528500
11341025400,11341,39,254,平谷窯跡,窯跡,,,,,,,1,,,,,,,,,139.3563371507290,36.05492578255140
11341025600,11341,39,256,平谷古墳群,古墳群,,,,,,1,,,,,,,,,,139.35446245232900,36.05531815752370
11341028700,11341,39,287,両家II遺跡,集落跡,,,,1,1,1,,,,,,,,,,139.36983496918600,36.046892356268800
11341034200,11341,39,342,川田遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36984936043000,36.04997144583740
11341028800,11341,39,288,両家南遺跡,集落跡,,,,,,1,,,,,,,,,,139.37226596791500,36.04644643348970
11341028900,11341,39,289,両家I遺跡,集落跡,,,,,,1,,,,,,,,,,139.37230689262200,36.047419773438600
11341033700,11341,39,337,糠ヶ谷戸III遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37294517803500,36.04994401338160
11341007400,11341,39,74,西ノ谷遺跡,集落跡,,,,,,1,,,,,,,,,,139.377911396159,36.046602322627300
11341007100,11341,39,71,東ノ谷II遺跡,集落跡,,,,,,1,,,,,,,,,,139.38023996845600,36.0468853925569
11341007200,11341,39,72,東ノ谷III遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.37885955560300,36.04764878233230
11341036700,11341,39,367,蟹山遺跡,集落跡,,,,,,,1,1,,,,,,,,139.377525398743,36.048613387552600
11341007000,11341,39,70,東ノ谷遺跡,集落跡,,,,1,,1,,,,,,,,,,139.3805877487770,36.04806000399940
11341033400,11341,39,334,植松遺跡,集落跡,,,,,,1,,,,,,,,,,139.37454547750000,36.053043707140600
11341033300,11341,39,333,山屋敷南遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37334947000500,36.05308894279450
11341006500,11341,39,65,西打越遺跡,集落跡,,,,,,1,,,,,,,,,,139.37673670985100,36.05486022753010
11341006300,11341,39,63,打越東遺跡,集落跡,,,,1,,,1,1,,,,,,,,139.37805892815800,36.057399266974500
11341006400,11341,39,64,打越遺跡,集落跡,,,,1,,1,,,,,,,,,,139.3738652883680,36.0574232375416
11341033200,11341,39,332,山屋敷遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37375374113300,36.054257131591400
11341006600,11341,39,66,羽尾遺跡,城跡,,,,,,,,,,,,,1,,,139.3787467189000,36.05255866294180
11341006000,11341,39,60,城原遺跡,集落跡,,,,,1,1,1,,,,,,,,,139.38097190990400,36.05811741472160
11341006200,11341,39,62,照ヶ谷遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37743584242200,36.060109975248500
11341006700,11341,39,67,蟹山遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37718906296700,36.0506288380472
11341006900,11341,39,69,東金光地遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.3833478572160,36.05080450089780
