JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,不明,経度,緯度
11365407200,11365,45,72,,散布地,,,1,,,1,1,,,,,1,,139.0225046006840,36.012006618080300
11365407000,11365,45,70,,散布地,,,1,,,1,1,,,,,1,,139.02873915783300,36.011115969060600
11365410200,11365,45,102,,散布地,,,,,,1,1,,,1,,,,139.0400121098460,36.00850063718480
11365414000,11365,45,140,千歳野古墳群,古墳群,,,,,1,,,,,,,,,139.0329613383340,36.01141740674120
11365414100,11365,45,141,千歳野古墳群,古墳群,,,,,1,,,,,,,,,139.03302593323100,36.011061870342900
11365413900,11365,45,139,千歳野古墳群,古墳群,,,,,1,,,,,,,,,139.03307743184100,36.01174226904610
11365406500,11365,45,65,,散布地,,,1,,,1,1,,,,,1,,139.03365792971300,36.0099825402656
11365413800,11365,45,138,千歳野古墳群,古墳群,,,,,1,,,,,,,,,139.03359072609500,36.01164045149480
11365407100,11365,45,71,根鹿野遺跡,集落跡,,,1,,,1,1,,,,,1,,139.02473190324500,36.01059328155010
11365402000,11365,45,20,千尋原古墳群,古墳,,,,,1,,,,,,,,,139.02704524858900,36.010217396892100
11365415000,11365,45,150,千尋原古墳群,古墳,,,,,1,,,,,,,,,139.02800727925200,36.010847287873400
11365414900,11365,45,149,千尋原古墳群,古墳群,,,,,1,,,,,,,,,139.02963621216100,36.01064659202010
11365414800,11365,45,148,千尋原古墳群,古墳群,,,,,1,,,,,,,,,139.02978539440700,36.010437643555900
11365414700,11365,45,147,千尋原古墳群,古墳群,,,,,1,,,,,,,,,139.02994549763600,36.01024275295790
11365415700,11365,45,157,,古墳,,,,,1,,,,,,,,,139.03067133178700,35.99348759016000
11365401000,11365,45,10,旗居遺跡,集落跡,,,1,,,,,,,,,,,139.0311519841670,35.99495979366190
11365401800,11365,45,18,斎藤義彦の墓,墓,,,,,,,,,,,,1,,139.03036234078500,35.995182010491700
11365408000,11365,45,80,,散布地,,,1,,,,,,,1,,,,139.0227449268740,36.007590878777800
11365410700,11365,45,107,,散布地,,,1,,,,,,,,,,,139.03185800111400,36.00361204966680
11365407900,11365,45,79,,散布地,,,,,,,,,,,,,,139.02655816065100,36.00767430954480
11365410900,11365,45,109,,散布地,,,1,,,,,,,,,,,139.03183862967400,35.99707083012160
11365401300,11365,45,13,長留屋敷跡,城跡,,,,,,,,,,,1,1,,139.03503153233400,35.98720958333780
