JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11362005600,11362,47,56,内手古墳群,古墳群,,,,,1,,,,,,,,,,139.0922394398100,36.063480203924500
11362005700,11362,47,57,中之芝古墳群,古墳群,,,,,1,,,,,,,,,,139.09665312025100,36.0617401348874
11362005800,11362,47,58,大塚古墳,散布地,,,,,1,,,,,,,,,,139.09683996523600,36.06043194368970
11362005900,11362,47,59,小池氏館跡,城跡　その他,,,,,,,,,,,1,,,,139.09855657900500,36.06223593860410
11362006000,11362,47,60,西山遺跡,散布地,,,1,,,,,,,,,,,,139.13037899412100,36.05797892091300
11362006100,11362,47,61,玉川入経塚,その他,,,,,,,,,,,,,,1,139.14337979583500,36.058568700125000
11362006200,11362,47,62,蓑山山頂遺跡,経塚,,,1,,,,,,,,,,,,139.1128469504320,36.058302982699900
11362006300,11362,47,63,木毛遺跡,経塚,,,1,,,,,,,,,,,,139.0980092447360,36.05878431705530
11362006400,11362,47,64,松葉遺跡,経塚,,,1,,,,,,,,,,,,139.13135627653200,36.05326722268940
11362006500,11362,47,65,上の平入定塚,古墳,,,,,1,,,,,,,,,,139.13004368649900,36.053488787252900
11362006600,11362,47,66,坊谷戸遺跡,集落跡　散布地,,,1,,,,,,,,,,,,139.13048089165800,36.03997078409040
11362006700,11362,47,67,金崎古墳群（大堺1号墳）,古墳,,,,,1,,,,,,,,,,139.1112043175180,36.0848420546577
11362006800,11362,47,68,金崎古墳群（大堺2号墳）,古墳,,,,,1,,,,,,,,,,139.11100642159100,36.085321767288500
11362006900,11362,47,69,金崎古墳群（大堺3号墳）,古墳,,,,,1,,,,,,,,,,139.11167804614700,36.084818272274800
11362007000,11362,47,70,金崎古墳群（氷雨塚）,古墳,,,,,1,,,,,,,,,,139.10760371908900,36.0836351168293
11362007100,11362,47,71,長瀞,その他,天然記念物,,,,,,,,,,,,,,139.1126737493300,36.083174615584500
11362007200,11362,47,72,国神の大イチョウ,その他,天然記念物,,,,,,,,,,,,,,139.0908495689600,36.08111019910450
11362007300,11362,47,73,妙音寺跡,墓　寺院跡,,,,,,,,,,,1,,,,139.11992362646900,36.07564281989780
11362007400,11362,47,74,雨乞城,城跡,,,,,,,1,,,,,,,,139.01805979906200,36.096862224946700
11362007500,11362,47,75,大手門,城跡,,,,,,,1,,,,,,,,139.03140974623800,36.085410963009800
