JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,不明,経度,緯度
11363500100,11363,46,1,,その他,,,1,,,,,,,,,,,139.12257410437000,36.14113275875230
11363500200,11363,46,2,,散布地,,,1,,,,,,,,,,,139.1226877517710,36.13737355651430
11363500300,11363,46,3,塚越古墳,古墳,,,,,1,,,,,,,,,139.12111407674700,36.13697870034590
11363500400,11363,46,4,,散布地,,,1,,,,,,,,,,,139.12853389639000,36.13567993969940
11363500500,11363,46,5,,散布地,,,1,,,,,,,,,,,139.1089441888140,36.1136796134727
11363500600,11363,46,6,,集落　散布地,,,1,,,,,,,,,,,139.1217792645830,36.136264724834000
11363500700,11363,46,7,No.46-004に統合,集落　散布地,抹消,,1,,,,,,,,,,,139.1089441888140,36.1136796134727
11363500800,11363,46,8,No.46-004に統合,集落　散布地,抹消,,1,,,,,,,,,,,139.1089441888140,36.1136796134727
11363500900,11363,46,9,愛宕塚,古墳,,,,,1,,,,,,,,,139.1282418751260,36.13490374715550
11363501000,11363,46,10,,散布地,,,1,,1,,,,,,,,,139.12465141945000,36.13506993253850
11363501100,11363,46,11,樫樹古墳,古墳,,,,,1,,,,,,,,,139.12208549110900,36.13922501045550
11363501200,11363,46,12,浅倉古墳,古墳,,,,,1,,,,,,,,,139.12104801850200,36.13400291747230
11363501300,11363,46,13,,集落跡　その他,,,1,,,,,,,,,,,139.09769700752000,36.1340211706093
11363501400,11363,46,14,,集落　散布地,,,1,,,,,,,,,,,139.09773218399900,36.13165255776720
11363501500,11363,46,15,中野遺跡,集落　散布地,,,1,,1,,,,,,,,,139.12408707543000,36.1293263945653
11363501600,11363,46,16,,散布地,,,1,,,,,,,,,,,139.12261065660800,36.12940682366910
11363501700,11363,46,17,,集落　散布地,,,1,,,,,,,,,,,139.1348423704980,36.1297056922935
11363501800,11363,46,18,,集落　散布地,,,1,,,,,,,,,,,139.12122719458300,36.12746321185560
