JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341028300,11341,39,283,新道上遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.360922968828,36.0472511352178
11341028200,11341,39,282,溝半田II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.35841493021,36.0472598249094
11341028000,11341,39,280,築地遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.356110401286,36.0481290512485
11341027900,11341,39,279,古屋敷II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.356405815214,36.0485971510239
11341027800,11341,39,278,古屋敷I遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3564744797,36.0496242015097
11341035600,11341,39,356,東平II遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.354728776412,36.0514098509329
11341024800,11341,39,248,平遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.354810376149,36.0541948130712
11341035800,11341,39,358,稲荷前II遺跡,集落跡,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.358094818546,36.0499197967687
11341035700,11341,39,357,東平III遺跡,散布地,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,139.356827927663,36.051148365401
11341024900,11341,39,249,平沼下遺跡,集落跡,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.358444996405,36.0542079137794
11341025000,11341,39,250,五厘沼窯跡群,窯跡,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,139.35787330796,36.0543534515285
11341025400,11341,39,254,平谷窯跡,窯跡,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,139.356337150729,36.0549257825514
11341025600,11341,39,256,平谷古墳群,古墳群,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.354462452329,36.0553181575237
11341028700,11341,39,287,両家II遺跡,集落跡,,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.369834969186,36.0468923562688
11341034200,11341,39,342,川田遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.36984936043,36.0499714458374
11341028800,11341,39,288,両家南遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.372265967915,36.0464464334897
11341028900,11341,39,289,両家I遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.372306892622,36.0474197734386
11341033700,11341,39,337,糠ヶ谷戸III遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.372945178035,36.0499440133816
11341007400,11341,39,74,西ノ谷遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.377911396159,36.0466023226273
11341007100,11341,39,71,東ノ谷II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.380239968456,36.0468853925569
11341007200,11341,39,72,東ノ谷III遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.378859555603,36.0476487823323
11341036700,11341,39,367,蟹山遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.377525398743,36.0486133875526
11341007000,11341,39,70,東ノ谷遺跡,集落跡,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.380587748777,36.0480600039994
11341033400,11341,39,334,植松遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3745454775,36.0530437071406
11341033300,11341,39,333,山屋敷南遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.373349470005,36.0530889427945
11341006500,11341,39,65,西打越遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.376736709851,36.0548602275301
11341006300,11341,39,63,打越東遺跡,集落跡,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.378058928158,36.0573992669745
11341006400,11341,39,64,打越遺跡,集落跡,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.373865288368,36.0574232375416
11341033200,11341,39,332,山屋敷遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.373753741133,36.0542571315914
11341006600,11341,39,66,羽尾遺跡,城跡,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,139.3787467189,36.0525586629418
11341006000,11341,39,60,城原遺跡,集落跡,,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,139.380971909904,36.0581174147216
11341006200,11341,39,62,照ヶ谷遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.377435842422,36.0601099752485
11341006700,11341,39,67,蟹山遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.377189062967,36.0506288380472
11341006900,11341,39,69,東金光地遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.383347857216,36.0508045008978
11341006800,11341,39,68,金光地遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.380828073657,36.0509468310565
11341033500,11341,39,335,糠ヶ谷戸I遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.373503721166,36.0518124625734
11341033600,11341,39,336,糠ヶ谷戸II遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.372743231739,36.0507910145037
11341036100,11341,39,361,東両家原遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.376941749799,36.0440886609901
11341007600,11341,39,76,新宿遺跡,集落跡,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.380181350119,36.0446650977417
11341029000,11341,39,290,両家原I遺跡,その他,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.373062202942,36.0447271349159
11341036200,11341,39,362,十三塚遺跡,散布地,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.382702981467,36.0455858993937
11341007500,11341,39,75,東ノ谷南遺跡,集落跡,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.380335411424,36.045599201211
11341032700,11341,39,327,西谷シノ遺跡,集落跡,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.369834976929,36.0574884600934
11341032900,11341,39,329,東谷ツ遺跡,集落跡,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.370804614891,36.056733696218
11341033000,11341,39,330,東谷ツI遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.371794229233,36.0567669306761
11341033100,11341,39,331,東谷ツII遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.372624225225,36.0559287851189
11341032800,11341,39,328,内田遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.371350480546,36.0575323033288
11341031200,11341,39,312,新道南遺跡,集落跡,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.366319920775,36.0412767702926
11341031300,11341,39,313,都遺跡,その他,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.367914250057,36.0407972993071
11341029100,11341,39,291,東部敷地内遺跡,集落跡 その他,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.368049690604,36.0452545655323
11341028600,11341,39,286,又五良遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.368352089306,36.0471959238449
11341004800,11341,39,48,三本木遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.375389026418,36.0788628984561
11341004600,11341,39,46,中里前I遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.375623486262,36.0816487562842
11341004700,11341,39,47,中里前遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.376413129644,36.081870730746
11341036900,11341,39,369,宮田遺跡,集落跡,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.376344466141,36.084145913796
11341002700,11341,39,27,根肥遺跡,集落跡,,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.377202771716,36.0853667164851
11341002600,11341,39,26,根肥南遺跡,集落跡,,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.376962445526,36.0863932859693
11341008200,11341,39,82,西山古墳群,古墳群 古墳,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.36323173747,36.0720887840923
11341008300,11341,39,83,糟沢古墳群,古墳群 古墳,,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.363050722379,36.0758308039223
11341007800,11341,39,78,中山古墳群,集落跡 古墳,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.367519056353,36.0766865672101
11341008700,11341,39,87,矢崎遺跡,集落跡 古墳群,,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.361343463633,36.0823399789982
11341008600,11341,39,86,分山谷古墳群,古墳群,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.363678056788,36.0802589730395
11341031800,11341,39,318,妻前II遺跡,その他,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.362204119012,36.0837732239031
11341004200,11341,39,42,妻前遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.361187185802,36.0838170015793
11341004100,11341,39,41,妻前西遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.362956179286,36.0843085680795
11341004000,11341,39,40,小川谷東遺跡,集落跡 散布地,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.366217745448,36.085584859178
11341005100,11341,39,51,谷城遺跡,城跡,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,139.373887129946,36.0711235975894
11341005000,11341,39,50,東遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.372793864257,36.0726204435322
11341007900,11341,39,79,城山北遺跡,集落跡,,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.367651144427,36.0726261263754
11341003200,11341,39,32,鎌倉街道,その他,,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,139.368825695997,36.0832580450269
11341007700,11341,39,77,矢崎前遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.369977299737,36.0766819520458
11341004400,11341,39,44,笹山遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.371949935153,36.0802614154595
11341004500,11341,39,45,後谷古墳群,集落跡 古墳群,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.369169020715,36.0807053668269
11341004300,11341,39,43,後谷遺跡,集落跡,,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,139.37212159653,36.0823146738205
11341003000,11341,39,30,本納地遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.372018599966,36.0872533730108
11341005900,11341,39,59,丸山I遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.380684725655,36.0612437812852
11341005800,11341,39,58,長淵遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.375300122718,36.0629906757419
11341004900,11341,39,49,新井遺跡,集落跡,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.377119731742,36.0732864362033
11341020900,11341,39,209,早稲田遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.367204823799,36.0641396987107
11341020800,11341,39,208,悪戸遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.365639494937,36.0634478421437
11341021200,11341,39,212,市場II遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.363256613439,36.0643840065272
11341021100,11341,39,211,市場遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.363982695247,36.062561558753
11341021000,11341,39,210,大道III遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.364257353189,36.0613681561635
11341021300,11341,39,213,唐子遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362054982491,36.0624467598936
11341020200,11341,39,202,大谷V遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362995908815,36.0608112590201
11341008000,11341,39,80,山田遺跡,集落跡 城跡,,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,139.36578908653,36.0693966213087
11341008100,11341,39,81,城山遺跡,古墳,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.364720217599,36.0697082352184
11341006100,11341,39,61,水深遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.374895254829,36.0607483192264
11341020600,11341,39,206,蔵ノ前遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.367685476179,36.0616141539822
11341005500,11341,39,55,山王西遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.371707594213,36.062811164276
11341020700,11341,39,207,小江戸遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.368056011825,36.0620193080372
11341005700,11341,39,57,山王III遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.373673246592,36.0631703113501
11341005600,11341,39,56,山王II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.37243754016,36.0634754444916
11341005200,11341,39,52,追越遺跡,集落跡,,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.37488257059,36.0685981955675
11341005300,11341,39,53,根岸遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.37017135424,36.0680547098838
11341005400,11341,39,54,山王遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.37195688778,36.066000928415
11341020400,11341,39,204,大道遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.365453878278,36.0597823903877
11341020100,11341,39,201,大谷IV遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.361505667427,36.0600822214593
11341020300,11341,39,203,大谷VI遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.363283825022,36.0602153076266
11341036300,11341,39,363,大道古墳,古墳,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.364788879792,36.0606331938727
11341020000,11341,39,200,大谷III遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.36128699006,36.0606887021113
11341032100,11341,39,321,寺谷遺跡,集落跡,,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.359422290955,36.05706376053
11341024700,11341,39,247,東平I遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.354409779271,36.0526505475615
11341032500,11341,39,325,堀ノ内III遺跡,城跡,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,139.36500590489,36.0579017950691
11341035000,11341,39,350,灯篭沼南遺跡,窯跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.359662617799,36.0549543312368
11341034100,11341,39,341,山屋敷III遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.370155746198,36.0504075924086
11341034500,11341,39,345,表古墳2,古墳,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.364062345434,36.0539774890489
11341024300,11341,39,243,西平中遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.35289915863,36.054038376197
11341034900,11341,39,349,寺谷南遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.360611373247,36.0542102949526
