"LGC","Name","Sum","P","J","Y","K","N","H","M","E","D","U"
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11207,"秩父市",469,2,127,14,284,25,40,31,7,0,0
11209,"飯能市",698,97,533,25,166,167,215,66,43,0,0
11212,"東松山市",290,0,64,35,236,67,68,11,7,0,0
11215,"狭山市",74,2,43,0,13,17,39,2,0,0,0
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,2
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,2
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,2
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,3
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
