"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11209000300,11209,"飯能市","3","所沢市No.3遺跡","集落跡",35.7824406576584,139.41174859069,0,1,0,1,1,1,0,0,NA,0
11209000500,11209,"飯能市","5","東原遺跡","集落跡",35.7875098303382,139.450701812533,0,1,0,0,0,1,0,0,NA,0
11209000500,11209,"飯能市","5","東原遺跡","集落跡",35.7875098303382,139.450701812533,0,1,0,0,0,1,0,0,NA,0
11209000600,11209,"飯能市","6","向原Ｂ遺跡","集落跡",35.8630610638777,139.367259806356,0,1,0,0,0,1,0,0,NA,0
11209000600,11209,"飯能市","6","向原Ｂ遺跡","集落跡",35.8630610638777,139.367259806356,0,1,0,0,0,1,0,0,NA,0
11209000700,11209,"飯能市","7","張摩久保遺跡","集落跡",35.8661212764051,139.354041626923,0,1,0,1,1,1,0,1,NA,0
11209000700,11209,"飯能市","7","張摩久保遺跡","集落跡",35.8661212764051,139.354041626923,0,1,0,1,1,1,1,1,NA,0
11209000800,11209,"飯能市","8","中台遺跡","集落跡",35.8589216765312,139.33703926528,0,1,0,0,0,1,0,0,NA,0
11209000900,11209,"飯能市","9","栗屋遺跡","集落跡",35.8643751893347,139.336695942526,0,1,0,0,1,1,0,0,NA,0
11209000900,11209,"飯能市","9","栗屋遺跡","集落跡",35.8643751893347,139.336695942526,0,1,0,0,1,1,1,0,NA,0
11209000900,11209,"飯能市","9","栗屋遺跡","集落跡",35.8643751893347,139.336695942526,0,1,0,0,1,1,0,0,NA,0
11209001000,11209,"飯能市","10","天王前遺跡","集落跡",35.8688343783352,139.333783816448,0,1,0,0,1,1,0,0,NA,0
11209001000,11209,"飯能市","10","天王前遺跡","集落跡",35.8688343783352,139.333783816448,0,1,0,0,1,1,0,0,NA,0
11209001100,11209,"飯能市","11","加能里遺跡","集落跡",35.8420891596509,139.339121051812,0,1,0,1,1,1,0,0,NA,0
11209001100,11209,"飯能市","11","加能里遺跡","集落跡",35.8420891596509,139.339121051812,0,1,0,1,1,1,1,0,NA,0
11209001200,11209,"飯能市","12","西上遺跡","集落跡",35.8270795493384,139.475999378497,0,1,0,0,1,1,0,0,NA,0
11209001200,11209,"飯能市","12","西上遺跡","集落跡",35.8270795493384,139.475999378497,0,1,0,0,1,1,0,0,NA,0
11209001500,11209,"飯能市","15","東谷ツ遺跡","集落跡",35.8636761870207,139.309199562211,0,1,0,0,1,1,0,0,NA,0
11209001500,11209,"飯能市","15","東谷ツ遺跡","集落跡",35.8636761870207,139.309199562211,0,1,0,0,1,1,0,0,NA,0
