"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11209015500,11209,"飯能市","155","双柳宿遺跡","集落跡",35.8525280649773,139.333795512448,0,0,0,0,0,0,0,1,NA,0
11209015500,11209,"飯能市","155","双柳宿遺跡","集落跡",35.8525280649773,139.333795512448,0,0,0,0,0,0,0,1,NA,0
11209302800,11209,"飯能市","28","柏林寺経塚","経塚",35.8998413018038,139.168314942289,0,0,0,0,0,0,0,1,NA,0
11212000200,11212,"東松山市","2","高坂館跡","古墳　城跡",36.0062046067417,139.401987134869,0,0,0,1,0,0,1,1,NA,0
11212005800,11212,"東松山市","58","下寺前遺跡","集落跡",35.9998450166162,139.398867553496,0,0,1,1,1,1,1,1,NA,0
11212019100,11212,"東松山市","191","不動山塚","その他",36.041908482529,139.402595147907,0,0,0,0,0,0,0,1,NA,0
11212023200,11212,"東松山市","232","物見山塚群塚群","その他",35.9925119589222,139.376654569746,0,0,0,0,0,0,0,1,NA,0
11212023500,11212,"東松山市","235","加賀爪氏累代墓","墓",36.0068864274601,139.401385308536,0,0,0,0,0,0,0,1,NA,0
11212036400,11212,"東松山市","364","十三塚","その他",36.0921570109606,139.383457571151,0,0,0,0,0,0,1,1,NA,0
11212036500,11212,"東松山市","365","No.365遺跡・日野原塚","その他",36.0394002515006,139.408924920074,0,0,0,0,0,0,0,1,NA,0
11225002400,11225,"入間市","24","大森錦治郎館","城跡",35.8021907443102,139.378776492906,0,0,0,0,0,0,0,1,NA,0
11227000900,11227,"朝霞市","9","道合・立出遺跡","集落跡",35.8246695263466,139.585401183165,0,1,1,1,1,1,1,1,NA,0
11227001100,11227,"朝霞市","11","八ケタ・中通遺跡","集落跡 その他",35.8265423758391,139.591240599417,1,1,1,1,1,1,1,1,NA,0
11227001300,11227,"朝霞市","13","人部・峡遺跡","集落跡 古墳",35.8216671050128,139.596592703531,1,1,1,1,1,1,1,1,NA,0
11227001400,11227,"朝霞市","14","中道・中道下遺跡","集落跡",35.8189665480014,139.595963260296,1,1,1,1,1,1,1,1,NA,0
11227002000,11227,"朝霞市","20","泉水山・富士谷遺跡","集落跡",35.8072682724075,139.581026743405,1,1,1,1,1,1,1,1,NA,0
11227005400,11227,"朝霞市","54","宮台・宮原遺跡","集落跡",35.8069032722896,139.605048873461,1,1,1,1,1,1,1,1,NA,0
11227005500,11227,"朝霞市","55","宮台遺跡","集落跡 古墳",35.8096534392788,139.605494168065,1,1,1,1,1,1,1,1,NA,0
11227006900,11227,"朝霞市","69","原畑・越戸第二遺跡","集落跡",35.793458802105,139.60265707372,0,1,0,1,0,0,1,1,NA,0
11227007000,11227,"朝霞市","70","平沢・原畑遺跡","集落跡",35.7939848164228,139.599147552527,0,1,0,1,0,0,1,1,NA,0
11228000200,11228,"志木市","2","中野遺跡","旧石器 集落跡 墓",35.8334709608062,139.573111521771,1,1,1,1,0,1,1,1,NA,0
11228000300,11228,"志木市","3","城山遺跡","旧石器 貝塚 集落跡 城跡",35.8323266688993,139.569602000577,1,1,1,1,1,1,1,1,NA,0
11228000500,11228,"志木市","5","中道遺跡","旧石器 集落跡 墓",35.8294813309497,139.568915353105,1,1,1,1,1,1,1,1,NA,0
11228000700,11228,"志木市","7","西原大塚遺跡","旧石器 集落跡 墓",35.8244398814343,139.565711007184,1,1,1,1,1,1,1,1,NA,0
11228000800,11228,"志木市","8","新邸遺跡","貝塚 集落跡 墓",35.8283988384278,139.567503915262,0,1,0,1,0,0,1,1,NA,0
11228001000,11228,"志木市","10","田子山遺跡","集落跡 墓",35.8319138365892,139.582762706362,0,1,1,1,1,1,1,1,NA,1
11228001100,11228,"志木市","11","富士前遺跡","集落跡",35.8299035425986,139.580626476184,0,1,1,1,0,1,0,1,NA,1
11228001600,11228,"志木市","16","大原遺","集落跡",35.8276992628148,139.581436942062,0,0,0,0,0,0,0,1,NA,1
11229003200,11229,"和光市","32","妙蓮寺遺跡","集落跡",35.7901829798989,139.618053710934,1,1,1,1,1,1,1,1,NA,0
11230002600,11230,"新座市","26","陣屋遺跡","その他",35.792054128671,139.569077761131,0,0,0,0,0,0,0,1,NA,0
11230002700,11230,"新座市","27","野火止用水","その他",35.7890979467217,139.555022246108,0,0,0,0,0,0,0,1,NA,0
11230003400,11230,"新座市","34","","散布地",35.7695676974584,139.564357646766,0,1,0,0,0,0,0,1,NA,0
11230004100,11230,"新座市","41","","散布地",35.8205773382463,139.542898235991,0,0,1,0,0,0,0,1,NA,0
11230005700,11230,"新座市","57","","散布地",35.7951173348922,139.577136516821,0,0,1,0,0,0,0,1,NA,0
11230007900,11230,"新座市","79","宮前遺跡","散布地",35.7798447416384,139.568194568036,0,1,0,1,0,1,0,1,NA,0
11230008300,11230,"新座市","83","","散布地",35.7740674209908,139.571122714612,0,1,0,0,0,1,1,1,NA,0
11230009700,11230,"新座市","97","","散布地",35.7585825715597,139.555078943358,0,0,0,0,0,0,0,1,NA,0
11230010000,11230,"新座市","100","","散布地",35.7678171880543,139.550507232437,0,1,0,0,0,1,0,1,NA,0
11235000100,11235,"富士見市","1","オトウカ山遺跡","その他",35.8578182711619,139.51790709566,0,0,0,0,0,0,0,1,NA,0
11235000200,11235,"富士見市","2","中沢遺跡","集落跡",35.8597041928646,139.52320952395,1,1,0,0,1,1,1,1,NA,0
11235000300,11235,"富士見市","3","稲荷久保南遺跡","散布地",35.8632594937259,139.524544668465,0,1,0,1,0,0,1,1,NA,0
11235000600,11235,"富士見市","6","外記塚遺跡","集落跡",35.8610555755898,139.52641216996,1,0,0,0,1,1,1,1,NA,0
11235001500,11235,"富士見市","15","渡戸遺跡","集落跡 その他",35.8582328434211,139.533950177234,0,1,0,0,0,0,1,1,NA,0
11235001600,11235,"富士見市","16","東渡戸遺跡","集落跡",35.8603042515272,139.537879316145,0,1,0,1,0,0,1,1,NA,0
11235001700,11235,"富士見市","17","羽沢遺跡","集落跡 その他",35.8579232316805,139.539296523907,1,1,0,0,0,0,1,1,NA,0
11235002000,11235,"富士見市","20","羽沢前遺跡","散布地",35.8547696286607,139.540402785168,0,1,0,1,0,0,1,1,NA,0
11235002100,11235,"富士見市","21","山室遺跡","貝塚 集落跡 その他",35.8565010334597,139.543950454498,1,1,0,0,0,1,1,1,NA,0
11235002500,11235,"富士見市","25","宮脇遺跡","貝塚 集落跡 墓",35.8526888169116,139.544579350598,0,1,0,1,0,1,1,1,NA,0
11235002600,11235,"富士見市","26","黒貝戸遺跡","貝塚 集落跡 その他",35.8522250287598,139.548622928681,1,1,0,1,1,1,1,1,NA,0
11235002700,11235,"富士見市","27","折戸遺跡","集落跡",35.8542038366129,139.549805485561,0,1,0,0,0,0,1,1,NA,0
11235002800,11235,"富士見市","28","宿（多門氏館跡）遺跡","集落跡 城跡 その他",35.8527815748533,139.551712834776,1,1,0,0,0,1,1,1,NA,0
11235003100,11235,"富士見市","31","御庵遺跡","貝塚 集落跡 城跡",35.8460464100174,139.545677642077,0,1,0,0,0,1,1,1,NA,0
11235003200,11235,"富士見市","32","新田遺跡","集落跡",35.8442220090797,139.54365585238,0,1,0,0,0,0,1,1,NA,0
11235003500,11235,"富士見市","35","節沢遺跡","集落跡",35.8390728967666,139.543029123595,0,1,0,0,0,0,1,1,NA,0
11235003800,11235,"富士見市","38","松ノ木遺跡","集落跡 その他",35.8371105656365,139.548047167433,1,1,0,0,0,1,1,1,NA,0
11235004000,11235,"富士見市","40","松山遺跡","貝塚 集落跡 墓",35.8438509397961,139.556015471521,0,1,1,1,0,1,1,1,NA,0
11235004200,11235,"富士見市","42","水子貝塚","貝塚 集落跡",35.8452647227761,139.560919807213,1,1,1,1,0,1,1,1,NA,0
11235004400,11235,"富士見市","44","観音前遺跡","集落跡 墓 その他",35.84374953122,139.568587346971,1,1,1,1,0,1,1,1,NA,0
11235004500,11235,"富士見市","45","神明遺跡","集落跡 散布地",35.8415230719692,139.565535587703,0,1,0,0,0,0,1,1,NA,0
11235004600,11235,"富士見市","46","東台遺跡","貝塚 集落跡",35.8391110111776,139.562674561261,0,1,1,0,0,1,1,1,NA,0
11235005200,11235,"富士見市","52","南通遺跡","貝塚 集落跡",35.8300551584108,139.551821508033,0,1,1,1,1,1,0,1,NA,0
11235005300,11235,"富士見市","53","上内手遺跡","集落跡",35.8685069699787,139.550886477022,0,0,1,1,1,1,1,1,NA,0
11235005400,11235,"富士見市","54","山形遺跡","その他",35.8573161982713,139.562636666739,0,0,0,1,0,1,0,1,NA,0
11235005500,11235,"富士見市","55","難波田氏館跡","集落跡 寺院跡 城跡",35.8580891270274,139.567633920739,0,0,1,1,0,0,1,1,NA,0
11235005700,11235,"富士見市","57","西ノ原遺跡","集落跡",35.8566432034214,139.517173100492,1,1,0,0,0,1,0,1,NA,0
11239000500,11239,"坂戸市","5","黒川丹波守正直墓","その他",35.9676332291339,139.409894371578,0,0,0,0,0,0,0,1,NA,0
11239003100,11239,"坂戸市","31","大穴城址","城跡",35.9511285295383,139.438593045774,0,0,0,0,0,0,0,1,NA,0
11239003200,11239,"坂戸市","32","景台遺跡","集落跡 墓",35.9555196360265,139.443777218507,0,1,0,1,0,0,0,1,NA,0
