"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11212014800,11212,"東松山市",148,"鷲神社裏遺跡","集落跡",36.01964289,139.4356976,NA,1,1,1,1,1,0,NA,NA,NA
11212016100,11212,"東松山市",161,"五領遺跡","集落跡",36.02884855,139.4130914,NA,1,1,1,NA,NA,0,NA,NA,NA
11212017400,11212,"東松山市",174,"岩の上遺跡","集落跡",36.02956927,139.3716491,NA,1,1,NA,1,1,0,NA,NA,NA
11212018800,11212,"東松山市",188,"下松1号墳","古墳群　古墳",36.03854561,139.4148691,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212019000,11212,"東松山市",190,"上松本遺跡","集落跡　古墳",36.03941137,139.4130605,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212020100,11212,"東松山市",201,"201遺跡","集落跡",36.07355365,139.3879927,NA,1,1,1,1,1,0,NA,NA,NA
11212021700,11212,"東松山市",217,"長坂遺跡","集落跡",36.08293948,139.3964896,NA,1,1,NA,NA,NA,0,NA,NA,NA
11212022200,11212,"東松山市",222,"No.222遺跡","集落跡",36.09159483,139.3903581,NA,1,1,1,NA,NA,0,NA,NA,NA
11212023000,11212,"東松山市",230,"緑山遺跡","集落跡",35.98986138,139.3810053,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212023100,11212,"東松山市",231,"児沢遺跡","集落跡",35.98752429,139.3801664,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212024300,11212,"東松山市",243,"観音寺遺跡","集落跡",36.03929294,139.4171154,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212024400,11212,"東松山市",244,"向台遺跡","集落跡",36.0534852,139.4111722,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212028100,11212,"東松山市",281,"根平遺跡","集落跡　窯跡",35.99680873,139.3701261,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212029400,11212,"東松山市",294,"中内手遺跡","集落跡",36.07786795,139.3946017,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212029500,11212,"東松山市",295,"No.295遺跡","集落跡",36.07921523,139.3927175,NA,1,1,1,1,1,0,NA,NA,NA
11212029600,11212,"東松山市",296,"No.296遺跡","集落跡",36.07948855,139.3857078,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212029700,11212,"東松山市",297,"No.297遺跡","集落跡",36.07551707,139.3796454,NA,1,1,1,1,1,0,NA,NA,NA
11212029900,11212,"東松山市",299,"No.299遺跡","集落跡",36.07404803,139.3839966,NA,1,1,1,NA,NA,0,NA,NA,NA
11212030100,11212,"東松山市",301,"吉ヶ谷南遺跡","集落跡",36.07135006,139.3883505,NA,1,1,1,NA,NA,0,NA,NA,NA
11212030200,11212,"東松山市",302,"庚塚","集落跡",36.07145428,139.3942975,NA,1,1,1,NA,NA,0,NA,NA,NA
11212030300,11212,"東松山市",303,"吉ヶ谷遺跡","集落跡",36.06871406,139.3867138,NA,1,1,NA,NA,NA,0,NA,NA,NA
11212033200,11212,"東松山市",332,"かんべ塚","古墳",36.01652826,139.4376756,NA,1,1,1,NA,NA,0,NA,NA,NA
11212035100,11212,"東松山市",351,"天神原遺跡","集落跡",36.00582682,139.4380635,NA,1,1,1,1,1,0,NA,NA,NA
11212035700,11212,"東松山市",357,"毛塚23号墳","古墳　その他",35.99541213,139.3952043,NA,1,1,1,NA,NA,0,NA,NA,NA
11212036000,11212,"東松山市",360,"扇谷遺跡","集落跡",36.07935293,139.3875268,NA,NA,1,1,NA,NA,0,NA,NA,NA
11218607100,11218,"深谷市",71,"","集落跡",36.1406203,139.2161828,NA,1,1,1,NA,NA,0,NA,NA,NA
11218711000,11218,"深谷市",110,"荷鞍ヶ谷戸遺跡","窯跡",36.12366262,139.3062998,NA,1,1,NA,1,1,0,NA,NA,NA
11218711300,11218,"深谷市",113,"平方前古墳群","古墳 古墳群 散布地",36.124711,139.3083613,NA,1,1,1,NA,NA,0,NA,NA,NA
11218713700,11218,"深谷市",137,"川端遺跡","集落跡",36.11584965,139.2845595,NA,1,1,NA,NA,NA,0,NA,NA,NA
11218715400,11218,"深谷市",154,"上本田東遺跡","集落跡",36.11533347,139.281844,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11218715800,11218,"深谷市",158,"上篠場遺跡","散布地",36.11401188,139.2974834,NA,1,1,NA,NA,NA,1,NA,NA,NA
11218715900,11218,"深谷市",159,"下篠場遺跡","散布地",36.11844114,139.3046427,NA,1,1,NA,1,1,1,NA,NA,NA
11218716000,11218,"深谷市",160,"万願寺遺跡","集落跡",36.12031468,139.3055462,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11218716400,11218,"深谷市",164,"金井遺跡","集落跡",36.12796145,139.2702937,NA,1,1,NA,1,1,1,NA,NA,NA
11218716800,11218,"深谷市",168,"四反歩東遺跡","集落跡",36.11974898,139.3030965,NA,1,1,NA,NA,NA,0,NA,NA,NA
11218717400,11218,"深谷市",174,"向山遺跡","集落跡",36.12200867,139.3089137,NA,1,1,NA,NA,NA,0,NA,NA,NA
11227000100,11227,"朝霞市",1,"大山第一遺跡","集落跡",35.83010782,139.5865562,1,1,1,1,NA,NA,0,NA,NA,NA
11227000900,11227,"朝霞市",9,"道合・立出遺跡","集落跡",35.82466953,139.5854012,NA,1,1,1,1,1,1,1,NA,NA
11227001100,11227,"朝霞市",11,"八ケタ・中通遺跡","集落跡 その他",35.82654238,139.5912406,1,1,1,1,1,1,1,1,NA,NA
11227001200,11227,"朝霞市",12,"長塚遺跡","集落跡",35.82477964,139.5942027,NA,1,1,1,NA,NA,0,NA,NA,NA
11227001300,11227,"朝霞市",13,"人部・峡遺跡","集落跡 古墳",35.82166711,139.5965927,1,1,1,1,1,1,1,1,NA,NA
11227001400,11227,"朝霞市",14,"中道・中道下遺跡","集落跡",35.81896655,139.5959633,1,1,1,1,1,1,1,1,NA,NA
11227001600,11227,"朝霞市",16,"北原・谷津遺跡","集落跡",35.8193374,139.5886413,NA,1,1,1,NA,1,0,NA,NA,NA
11227001700,11227,"朝霞市",17,"北原・西原遺跡","集落跡",35.81734751,139.5867869,NA,1,1,NA,NA,NA,0,NA,NA,NA
11227001800,11227,"朝霞市",18,"南割・西久保遺跡","集落跡",35.81348782,139.5870675,NA,1,1,NA,NA,NA,0,NA,NA,NA
11227001900,11227,"朝霞市",19,"弁財上・弁財谷遺跡","集落跡",35.81174782,139.583286,NA,1,1,NA,NA,NA,0,NA,NA,NA
11227002000,11227,"朝霞市",20,"泉水山・富士谷遺跡","集落跡",35.80726827,139.5810267,1,1,1,1,1,1,1,1,NA,NA
11227002900,11227,"朝霞市",29,"膝折宿","集落跡",35.79363518,139.5841186,NA,1,1,1,NA,NA,0,NA,NA,NA
11227003800,11227,"朝霞市",38,"芹沢遺跡","集落跡",35.80190074,139.5842001,NA,1,1,1,NA,NA,1,NA,NA,NA
11227004500,11227,"朝霞市",45,"中道・岡台遺跡","集落跡 寺院跡 城跡",35.81081882,139.5975892,NA,1,1,1,NA,NA,1,NA,NA,NA
11227004700,11227,"朝霞市",47,"向山遺跡","集落跡",35.8096731,139.6030372,NA,1,1,1,NA,1,0,NA,NA,NA
11227005400,11227,"朝霞市",54,"宮台・宮原遺跡","集落跡",35.80690327,139.6050489,1,1,1,1,1,1,1,1,NA,NA
11227005500,11227,"朝霞市",55,"宮台遺跡","集落跡 古墳",35.80965344,139.6054942,1,1,1,1,1,1,1,1,NA,NA
11227005800,11227,"朝霞市",58,"根岸通第三遺跡","集落跡",35.80503033,139.6084173,NA,1,1,1,NA,1,1,NA,NA,NA
11227005900,11227,"朝霞市",59,"新屋敷遺跡","集落跡",35.80324317,139.6111246,NA,1,1,1,NA,NA,1,NA,NA,NA
11227006100,11227,"朝霞市",61,"南ヶ谷戸遺跡","集落跡",35.7977716,139.6129693,NA,1,1,1,NA,NA,1,NA,NA,NA
11228000200,11228,"志木市",2,"中野遺跡","旧石器 集落跡 墓",35.83347096,139.5731115,1,1,1,1,NA,1,1,1,NA,NA
11228000300,11228,"志木市",3,"城山遺跡","旧石器 貝塚 集落跡 城跡",35.83232667,139.569602,1,1,1,1,1,1,1,1,NA,NA
11228000500,11228,"志木市",5,"中道遺跡","旧石器 集落跡 墓",35.82948133,139.5689154,1,1,1,1,1,1,1,1,NA,NA
11228000700,11228,"志木市",7,"西原大塚遺跡","旧石器 集落跡 墓",35.82443988,139.565711,1,1,1,1,1,1,1,1,NA,NA
11228001000,11228,"志木市",10,"田子山遺跡","集落跡 墓",35.83191384,139.5827627,NA,1,1,1,1,1,1,1,NA,1
11228001100,11228,"志木市",11,"富士前遺跡","集落跡",35.82990354,139.5806265,NA,1,1,1,NA,1,0,1,NA,1
11228001500,11228,"志木市",15,"市場裏遺跡","集落跡",35.83295699,139.5774697,NA,NA,1,1,NA,NA,0,NA,NA,1
11229000100,11229,"和光市",1,"上之郷遺跡","集落跡",35.80062422,139.6163731,NA,NA,1,1,NA,NA,0,NA,NA,NA
11229000200,11229,"和光市",2,"花ノ木遺跡","集落跡",35.79784408,139.6172872,NA,1,1,1,1,1,0,1,NA,NA
11229000300,11229,"和光市",3,"峯前遺跡","集落跡",35.79509511,139.619934,NA,NA,1,1,NA,1,0,NA,NA,NA
11229000400,11229,"和光市",4,"四ツ木遺跡","集落跡",35.79398121,139.6222991,1,1,1,1,NA,1,0,NA,NA,NA
11229000500,11229,"和光市",5,"午王山遺跡","集落跡",35.79581211,139.6268027,1,1,1,1,1,1,1,NA,NA,NA
11229000900,11229,"和光市",9,"小井戸遺跡","集落跡",35.79225009,139.6100892,NA,1,1,NA,NA,NA,0,NA,NA,NA
11229001200,11229,"和光市",12,"下里遺跡","集落跡　貝塚　散布地",35.79233597,139.6305653,NA,NA,1,NA,1,NA,0,NA,NA,NA
11229001300,11229,"和光市",13,"吹上遺跡","集落跡　散布地",35.79150052,139.6331974,NA,1,1,1,1,1,0,NA,NA,NA
11229001400,11229,"和光市",14,"妙典寺遺跡","集落跡　散布地",35.79105728,139.6271596,NA,1,1,1,NA,NA,0,NA,NA,NA
11229001500,11229,"和光市",15,"吹上原遺跡","集落跡　古墳",35.78952881,139.6303755,1,1,1,1,NA,NA,0,1,NA,NA
11229002200,11229,"和光市",22,"城山遺跡","集落跡",35.784744,139.6247807,NA,1,1,1,NA,1,0,NA,NA,NA
11229002300,11229,"和光市",23,"榎堂遺跡","集落跡　墓",35.77450593,139.6090666,NA,NA,1,1,1,1,0,NA,NA,NA
11229003100,11229,"和光市",31,"谷戸島遺跡","集落跡",35.78848107,139.6179011,NA,1,1,NA,NA,NA,0,NA,NA,NA
11229003400,11229,"和光市",34,"半三池遺跡","集落跡",35.77450593,139.6090666,NA,1,1,1,NA,NA,0,NA,NA,NA
11229003500,11229,"和光市",35,"峯遺跡","集落跡",35.77450593,139.6090666,1,1,1,1,NA,1,0,NA,NA,NA
11229003800,11229,"和光市",38,"北原新田遺跡","集落跡",35.79118306,139.60652,NA,1,1,NA,NA,NA,0,NA,NA,NA
